ID,Location,Capacity
1,1,100
2,2,100
3,3,25
4,4,100
5,5,25
6,6,25
7,7,25
8,8,50
9,9,50
10,10,25
11,11,50
12,12,50
13,13,25
14,14,25
15,15,25
16,16,25
17,17,25
18,18,25
19,19,100
20,20,100
21,21,50
22,22,25
23,23,100
24,24,25
25,25,25
26,26,100
27,27,25
28,28,100
29,29,25
30,30,25
31,31,50
32,32,100
33,33,25
34,34,25
35,35,50
36,36,25
37,37,25
38,38,100
39,39,25
40,40,50
41,41,100
42,42,100
43,43,100
44,44,100
45,45,100
46,46,100
47,47,50
48,48,50
49,49,25
50,50,25
51,51,100
52,52,25
53,53,100
54,54,50
55,55,50
56,56,100
57,57,100
58,58,100
59,59,25
60,60,25
61,61,50
62,62,100
63,63,100
64,64,50
65,65,50
66,66,100
67,67,25
68,68,25
69,69,25
70,70,25
71,71,25
72,72,100
73,73,25
74,74,100
75,75,100
76,76,100
77,77,25
78,78,25
79,79,25
80,80,50
81,81,25
82,82,25
83,83,25
84,84,100
85,85,100
86,86,100
87,87,25
88,88,100
89,89,25
90,90,50
91,91,50
92,92,100
93,93,100
94,94,25
95,95,100
96,96,100
97,97,25
98,98,100
99,99,25
100,100,25
101,101,100
102,102,100
103,103,25
104,104,100
105,105,100
106,106,25
107,107,25
108,108,25
109,109,50
110,110,100
111,111,100
112,112,25
113,113,25
114,114,100
115,115,100
116,116,25
117,117,50
118,118,25
119,119,50
120,120,50
121,121,25
122,122,50
123,123,100
124,124,25
125,125,50
126,126,50
127,127,50
128,128,50
129,129,25
130,130,25
131,131,100
132,132,25
133,133,100
134,134,25
135,135,25
136,136,100
137,137,25
138,138,100
139,139,25
140,140,100
141,141,100
142,142,100
143,143,25
144,144,25
145,145,25
146,146,100
147,147,100
148,148,50
149,149,100
150,150,25
151,151,25
152,152,100
153,153,100
154,154,25
155,155,100
156,156,50
157,157,25
158,158,100
159,159,50
160,160,25
161,161,100
162,162,25
163,163,25
164,164,100
