ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
27,44,27,11,4422,28
28,12,29,7,121562,30
29,31,27,11,4422,31
30,12,32,6,115150,33
31,27,29,8,121562,34
32,100,29,10,121562,35
33,29,27,11,4422,36
34,10,29,7,121562,37
35,58,27,12,4422,38
36,27,27,10,4422,39
37,100,29,11,121562,40
38,18,32,6,115150,41
39,18,32,6,115150,42
40,3,43,8,113009,44
41,18,43,11,113009,45
42,6,46,6,136022,47
43,16,29,7,121562,48
44,6,49,12,143237,50
45,9,43,9,113009,51
46,19,32,7,115150,52
47,18,32,6,115150,53
48,35,32,9,115150,54
49,19,55,9,148439,56
50,6,57,11,153204,58
51,76,27,12,4422,59
52,18,60,17,137533,61
53,12,62,18,29184,63
