Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0,37,23,21,25,28,31,22,20,21,22,0,33,22,30,24,21,20,25,23,21,26,21,20,22,22,28,25,33,24,31,41,30,42,25,0
2,37,0,27,26,25,23,33,28,21,29,28,38,33,29,23,25,28,29,24,29,22,24,25,24,24,30,22,22,31,26,7,2,17,11,28,40
3,23,27,0,2,5,7,10,2,6,2,2,22,11,1,8,4,1,2,4,1,6,5,3,6,4,1,6,6,11,2,22,30,19,33,2,21
4,21,26,2,0,4,8,11,0,6,1,0,23,11,2,9,3,1,2,4,2,5,4,2,4,3,2,6,5,11,3,21,28,18,32,3,22
5,25,25,5,4,0,4,10,4,6,5,5,26,9,4,4,3,5,6,1,5,6,1,4,6,5,6,2,2,9,4,18,24,17,29,4,25
6,28,23,7,8,4,0,12,7,9,8,8,29,10,6,1,6,8,8,4,7,9,4,7,8,8,8,2,5,10,6,15,24,20,27,6,28
7,31,33,10,11,10,12,0,12,12,12,11,31,1,10,11,10,12,12,9,10,12,11,11,12,11,10,12,10,1,9,27,35,24,36,9,34
8,22,28,2,0,4,7,12,0,6,2,0,22,12,2,8,3,1,2,5,2,5,4,2,4,3,2,6,4,11,3,20,27,18,30,3,22
9,20,21,6,6,6,9,12,6,0,7,6,20,12,7,10,3,6,8,6,7,1,5,4,2,3,7,7,4,13,6,15,22,14,25,6,20
10,21,29,2,1,5,8,12,2,7,0,2,20,12,2,9,4,0,2,5,2,6,5,3,6,4,2,7,6,12,3,22,29,19,32,3,22
11,22,28,2,0,5,8,11,0,6,2,0,22,11,2,8,3,1,2,5,2,5,5,2,4,3,2,6,5,11,3,21,28,18,32,3,22
12,0,38,22,23,26,29,31,22,20,20,22,0,34,22,30,23,22,20,26,23,22,24,23,21,22,23,26,24,31,24,32,39,30,43,25,0
13,33,33,11,11,9,10,1,12,12,12,11,34,0,10,10,10,12,12,8,10,12,9,11,12,11,10,11,9,1,8,26,34,24,37,9,32
14,22,29,1,2,4,6,10,2,7,2,2,22,10,0,7,4,2,2,4,1,6,6,4,6,4,1,6,6,10,2,21,30,20,33,2,22
15,30,23,8,9,4,1,11,8,10,9,8,30,10,7,0,8,9,9,4,7,10,5,9,10,8,8,3,6,10,6,17,23,22,27,6,28
16,24,25,4,3,3,6,10,3,3,4,3,23,10,4,8,0,4,5,4,4,2,3,2,2,2,5,5,2,10,3,19,26,15,29,4,23
17,21,28,1,1,5,8,12,1,6,0,1,22,12,2,9,4,0,1,5,2,6,5,4,6,4,2,7,6,11,3,21,29,19,31,3,22
18,20,29,2,2,6,8,12,2,8,2,2,20,12,2,9,5,1,0,5,3,6,6,4,7,5,2,8,7,11,3,23,30,20,32,3,20
19,25,24,4,4,1,4,9,5,6,5,5,26,8,4,4,4,5,5,0,4,6,2,4,5,4,5,3,2,8,3,18,25,16,28,4,27
20,23,29,1,2,5,7,10,2,7,2,2,23,10,1,7,4,2,3,4,0,6,5,4,6,4,1,6,6,10,2,22,31,20,32,1,24
21,21,22,6,5,6,9,12,5,1,6,5,22,12,6,10,2,6,6,6,6,0,5,3,0,2,7,6,4,12,5,17,24,14,28,5,21
22,26,24,5,4,1,4,11,4,5,5,5,24,9,6,5,3,5,6,2,5,5,0,4,5,4,6,2,1,10,4,16,24,16,29,5,25
23,21,25,3,2,4,7,11,2,4,3,2,23,11,4,9,2,4,4,4,4,3,4,0,3,1,4,6,3,10,3,18,28,16,29,3,22
24,20,24,6,4,6,8,12,4,2,6,4,21,12,6,10,2,6,7,5,6,0,5,3,0,2,6,7,4,12,5,16,24,14,26,5,20
25,22,24,4,3,5,8,11,3,3,4,3,22,11,4,8,2,4,5,4,4,2,4,1,2,0,4,6,3,12,3,18,27,16,28,3,22
26,22,30,1,2,6,8,10,2,7,2,2,23,10,1,8,5,2,2,5,1,7,6,4,6,4,0,8,6,10,2,23,31,20,33,2,22
27,28,22,6,6,2,2,12,6,7,7,6,26,11,6,3,5,7,8,3,6,6,2,6,7,6,8,0,3,11,6,16,23,17,27,6,27
28,25,22,6,5,2,5,10,4,4,6,5,24,9,6,6,2,6,7,2,6,4,1,3,4,3,6,3,0,10,4,17,24,15,27,5,24
29,33,31,11,11,9,10,1,11,13,12,11,31,1,10,10,10,11,11,8,10,12,10,10,12,12,10,11,10,0,8,27,35,22,36,9,33
30,24,26,2,3,4,6,9,3,6,3,3,24,8,2,6,3,3,3,3,2,5,4,3,5,3,2,6,4,8,0,20,29,17,31,1,23
31,31,7,22,21,18,15,27,20,15,22,21,32,26,21,17,19,21,23,18,22,17,16,18,16,18,23,16,17,27,20,0,8,16,12,22,30
32,41,2,30,28,24,24,35,27,22,29,28,39,34,30,23,26,29,30,25,31,24,24,28,24,27,31,23,24,35,29,8,0,16,10,30,40
33,30,17,19,18,17,20,24,18,14,19,18,30,24,20,22,15,19,20,16,20,14,16,16,14,16,20,17,15,22,17,16,16,0,14,18,30
34,42,11,33,32,29,27,36,30,25,32,32,43,37,33,27,29,31,32,28,32,28,29,29,26,28,33,27,27,36,31,12,10,14,0,31,42
35,25,28,2,3,4,6,9,3,6,3,3,25,9,2,6,4,3,3,4,1,5,5,3,5,3,2,6,5,9,1,22,30,18,31,0,24
36,0,40,21,22,25,28,34,22,20,22,22,0,32,22,28,23,22,20,27,24,21,25,22,20,22,22,27,24,33,23,30,40,30,42,24,0
