ID,Location,Capacity
1,1,10000
2,2,10000
3,3,10000
4,4,10000
5,5,10000
6,6,10000
7,7,10000
8,8,10000
9,9,10000
10,10,10000
11,11,10000
12,12,10000
13,13,10000
14,14,10000
15,15,10000
16,16,10000
17,17,10000
18,18,10000
19,19,10000
20,20,10000
21,21,10000
22,22,10000
23,23,10000
24,24,10000
25,25,10000
26,26,10000
27,27,10000
28,28,10000
29,29,10000
30,30,10000
31,31,10000
32,32,10000
33,33,10000
34,34,10000
35,35,10000
36,36,10000
37,37,10000
38,38,10000
39,39,10000
40,40,10000
41,41,10000
42,42,10000
43,43,10000
44,44,10000
45,45,10000
46,46,10000
47,47,10000
48,48,10000
49,49,10000
50,50,10000
51,51,10000
52,52,10000
53,53,10000
54,54,10000
55,55,10000
56,56,10000
57,57,10000
58,58,10000
59,59,10000
60,60,10000
61,61,10000
62,62,10000
63,63,10000
64,64,10000
65,65,10000
66,66,10000
67,67,10000
68,68,10000
69,69,10000
70,70,10000
71,71,10000
72,72,10000
73,73,10000
74,74,10000
75,75,10000
76,76,10000
77,77,10000
78,78,10000
79,79,10000
80,80,10000
81,81,10000
82,82,10000
83,83,10000
84,84,10000
85,85,10000
86,86,10000
87,87,10000
88,88,10000
89,89,10000
90,90,10000
91,91,10000
92,92,10000
93,93,10000
94,94,10000
95,95,10000
96,96,10000
97,97,10000
98,98,10000
99,99,10000
100,100,10000
101,101,10000
102,102,10000
103,103,10000
104,104,10000
105,105,10000
106,106,10000
107,107,10000
108,108,10000
109,109,10000
110,110,10000
111,111,10000
112,112,10000
113,113,10000
114,114,10000
115,115,10000
116,116,10000
117,117,10000
118,118,10000
119,119,10000
120,120,10000
121,121,10000
122,122,10000
123,123,10000
124,124,10000
125,125,10000
126,126,10000
127,127,10000
128,128,10000
129,129,10000
130,130,10000
131,131,10000
132,132,10000
133,133,10000
134,134,10000
135,135,10000
136,136,10000
137,137,10000
138,138,10000
139,139,10000
140,140,10000
141,141,10000
142,142,10000
143,143,10000
144,144,10000
145,145,10000
146,146,10000
147,147,10000
148,148,10000
149,149,10000
150,150,10000
151,151,10000
152,152,10000
153,153,10000
154,154,10000
155,155,10000
156,156,10000
157,157,10000
158,158,10000
159,159,10000
160,160,10000
161,161,10000
162,162,10000
163,163,10000
164,164,10000
165,165,10000
166,166,10000
167,167,10000
168,168,10000
169,169,10000
170,170,10000
171,171,10000
172,172,10000
173,173,10000
174,174,10000
175,175,10000
176,176,10000
177,177,10000
178,178,10000
179,179,10000
180,180,10000
181,181,10000
182,182,10000
183,183,10000
184,184,10000
185,185,10000
186,186,10000
187,187,10000
188,188,10000
189,189,10000
190,190,10000
191,191,10000
192,192,10000
193,193,10000
194,194,10000
195,195,10000
196,196,10000
197,197,10000
198,198,10000
199,199,10000
200,200,10000
201,201,10000
202,202,10000
203,203,10000
204,204,10000
205,205,10000
206,206,10000
207,207,10000
208,208,10000
209,209,10000
210,210,10000
211,211,10000
212,212,10000
213,213,10000
214,214,10000
215,215,10000
216,216,10000
217,217,10000
