ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
218,4,218,11,42839,219
219,4,220,3,72328,221
220,5,222,16,6242,223
221,3,224,6,77166,225
222,5,220,5,72328,226
223,3,222,15,6242,227
224,11,228,15,102785,229
225,2,230,13,42513,231
226,5,232,11,46721,233
227,14,234,13,6936,235
228,12,230,17,42513,236
229,2,237,11,124513,238
230,4,239,2,43221,240
231,12,241,14,13723,242
232,2,243,6,129931,244
233,5,245,12,98887,246
234,5,247,11,85550,248
235,5,249,14,23282,250
236,6,218,11,42839,251
237,3,252,5,86059,253
238,6,254,15,24603,255
239,12,256,15,10058,257
240,5,258,14,89813,259
241,1,230,11,42513,260
242,5,249,13,23282,261
243,3,262,13,83244,263
244,4,264,12,6197,265
245,3,266,15,135271,267
246,3,268,7,90697,269
247,5,270,14,8654,271
248,5,254,15,24603,272
249,2,273,11,81306,274
250,2,275,12,64094,276
251,5,277,11,41465,278
252,5,228,12,102785,279
253,3,280,10,131844,281
254,2,282,12,25171,283
255,4,254,10,24603,284
256,3,285,6,27245,286
257,3,287,11,118416,288
258,3,289,9,109250,290
259,5,291,12,13917,292
260,4,234,10,6936,293
261,7,294,14,7947,295
262,3,294,12,7947,296
263,5,297,13,90820,298
264,5,299,12,119581,300
265,3,268,8,90697,301
266,3,302,10,23261,303
267,7,304,11,117783,305
268,6,270,15,8654,306
269,7,294,15,7947,307
270,8,308,13,9984,309
271,3,230,14,42513,310
272,2,243,7,129931,311
273,4,312,15,109318,313
274,4,314,11,105880,315
275,3,299,10,119581,316
276,25,220,2,72328,317
277,4,275,13,64094,318
278,5,319,13,111946,320
279,3,254,13,24603,321
280,6,322,14,11226,323
281,6,220,2,72328,324
282,13,325,15,107744,326
283,9,327,14,104036,328
284,1,270,14,8654,329
285,5,270,16,8654,330
286,3,218,11,42839,331
287,3,264,11,6197,332
288,3,270,16,8654,333
289,6,275,14,64094,334
290,8,312,16,109318,335
291,7,254,17,24603,336
292,10,220,2,72328,337
293,3,254,14,24603,338
294,11,249,15,23282,339
295,9,322,15,11226,340
296,6,312,15,109318,341
297,2,222,14,6242,342
298,8,249,14,23282,343
299,5,270,17,8654,344
300,3,268,8,90697,345
301,13,220,2,72328,346
302,3,256,12,10058,347
303,9,222,18,6242,348
304,3,264,12,6197,349
305,3,249,13,23282,350
306,7,220,2,72328,351
307,8,352,10,87137,353
308,3,354,10,38604,355
309,3,356,9,132086,357
310,5,270,18,8654,358
311,3,247,10,85550,359
312,3,220,3,72328,360
313,13,361,15,111006,362
314,10,363,9,29301,364
315,3,294,12,7947,365
316,1,366,12,44300,367
317,7,249,13,23282,368
318,5,369,10,20188,370
319,10,371,15,81368,372
320,4,373,12,115071,374
321,1,291,8,13917,375
322,2,264,10,6197,376
323,5,322,14,11226,377
324,3,378,5,105857,379
325,4,270,17,8654,380
326,4,280,11,131844,381
327,4,254,16,24603,382
328,7,383,15,133946,384
329,4,385,9,86232,386
330,5,270,13,8654,387
331,10,388,14,74699,389
332,12,388,15,74699,390
333,6,356,10,132086,391
334,1,230,13,42513,392
335,5,254,14,24603,393
336,5,222,16,6242,394
337,4,395,11,79492,396
338,6,397,9,108922,398
339,3,275,14,64094,399
340,24,224,11,77166,400
341,6,249,15,23282,401
342,11,402,16,41281,403
343,4,270,15,8654,404
344,15,270,17,8654,405
345,5,406,12,20186,407
346,8,408,13,8192,409
347,5,228,13,102785,410
348,5,256,12,10058,411
349,16,264,14,6197,412
350,11,230,18,42513,413
351,3,228,11,102785,225
352,23,414,17,8360,415
353,3,254,13,24603,416
354,5,312,15,109318,417
355,2,418,10,111310,419
356,3,254,13,24603,420
357,4,421,11,49740,422
358,4,285,6,27245,423
359,5,424,7,125076,425
360,5,254,15,24603,426
361,3,285,6,27245,427
362,7,428,10,8479,429
363,8,294,14,7947,430
364,12,220,1,72328,431
365,9,270,20,8654,432
366,3,256,11,10058,433
367,4,254,16,24603,434
368,4,299,12,119581,435
369,6,273,13,81306,436
370,3,220,2,72328,437
371,6,388,13,74699,438
372,2,439,7,8008,440
373,5,220,2,72328,441
374,6,256,12,10058,442
375,1,443,7,41280,444
376,2,314,10,105880,445
377,2,418,10,111310,446
378,2,249,14,23282,438
379,1,447,7,112524,448
380,2,243,6,129931,449
381,4,414,11,8360,450
382,4,406,11,20186,451
383,1,264,10,6197,452
384,3,270,17,8654,453
385,6,254,15,24603,454
386,5,302,12,23261,455
387,3,268,9,90697,456
388,6,356,11,132086,457
389,6,458,13,104649,459
390,1,460,8,109122,461
391,7,462,12,90506,463
392,6,464,14,93798,465
393,8,299,12,119581,466
394,3,467,11,11527,468
395,9,270,17,8654,469
396,6,470,17,118440,471
397,5,299,11,119581,472
398,3,312,13,109318,473
399,3,439,7,8008,474
400,6,270,18,8654,475
401,2,402,11,41281,476
402,3,256,11,10058,477
403,11,264,14,6197,478
404,5,220,1,72328,479
405,3,314,9,105880,480
406,9,222,18,6242,481
407,5,239,1,43221,482
408,4,314,11,105880,483
409,7,254,14,24603,484
410,9,485,12,9452,486
411,6,487,10,23769,488
412,3,489,11,8487,490
413,2,268,8,90697,491
414,11,254,18,24603,492
415,3,493,10,125207,494
416,3,495,5,67514,496
417,5,230,15,42513,497
418,3,249,14,23282,498
419,11,499,9,116863,500
420,1,501,13,136698,502
421,5,254,16,24603,503
422,3,385,7,86232,504
423,23,322,20,11226,505
424,4,506,14,134656,507
425,5,508,14,110343,509
426,4,385,9,86232,510
427,5,385,10,86232,511
428,2,512,6,40308,513
429,6,385,8,86232,514
430,10,254,18,24603,515
431,4,516,7,64066,517
432,5,424,6,125076,518
433,2,519,8,121232,520
434,3,508,12,110343,521
435,4,522,8,94306,523
436,3,508,12,110343,524
437,2,525,9,121848,526
438,4,527,11,38603,528
439,2,327,10,104036,529
440,6,327,13,104036,530
441,6,531,13,136673,532
442,3,533,13,102235,534
