ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
54,15,54,10,23039,55
55,36,56,18,28327,57
56,18,58,12,20422,59
57,72,60,23,18911,61
58,19,62,31,24121,63
59,12,64,10,51992,65
60,13,66,7,27220,67
61,30,68,13,23709,69
62,24,70,9,6352,71
63,55,72,19,3596,73
64,35,74,6,40974,75
65,43,76,17,3533,77
66,93,78,24,72115,79
67,36,80,20,24015,81
68,14,56,17,28327,82
69,24,76,16,3533,83
70,28,74,6,40974,84
71,32,85,14,6088,86
72,17,54,9,23039,87
73,24,88,4,4039,89
74,22,90,14,4740,91
75,37,58,14,20422,92
76,15,93,22,49112,94
77,24,56,18,28327,95
78,9,93,21,49112,94
79,20,96,11,48050,97
80,28,98,26,22236,99
81,18,96,11,48050,100
82,46,101,13,44126,102
83,23,54,10,23039,103
84,26,74,6,40974,104
85,23,105,16,6874,106
86,21,74,6,42181,107
87,6,108,5,48755,109
88,14,80,15,24015,110
89,14,80,15,24015,111
90,15,56,20,28327,112
91,43,113,13,66530,114
92,26,115,10,12121,116
93,20,54,9,23039,117
94,16,74,6,40974,118
95,42,74,6,42181,119
96,32,120,10,6676,121
97,25,122,20,60059,123
98,17,54,9,23039,124
99,1,125,10,63268,126
100,25,74,6,40974,116
101,57,62,36,24121,127
102,34,56,23,28327,128
103,82,56,26,28327,129
104,18,130,11,49922,131
105,14,58,13,20422,132
106,24,60,21,18911,133
107,30,134,26,41342,135
108,25,136,26,44807,137
109,50,138,25,74645,139
110,23,93,25,49112,140
111,21,56,21,28327,141
112,33,56,23,28327,142
113,15,56,18,28327,143
114,18,93,25,49112,144
115,4,56,21,28327,145
