Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
1,0,7,7,8,11,18,20,22,6,21,11,17,8,8,14,5,7,23,7,12,12,4,8,12,18,5,8,25,2,8,13,12,7,8,5,14,9,25,24,13,14,10,12,8,14,12,8,8,11,8,11,13,18,8,2,8,20,8,2,11,3,11,9,6,3,9,14,8,12,11,24,6,10,14,12,11,11,11,8,8,20,3,22,20,19,19,19,7,18,8,21,21,8,16,25,8,10,21,9,8,7,10,10,8,7,20,8,8,8,5,18,16,8,8,5,9,19,23,16,12,12,18,10,7,20,3,7,15,8,6,12,19,16,10,25,8,19,10,6,10,8,30,8,14,8
2,7,0,11,3,9,12,22,15,5,16,10,20,4,2,15,8,3,17,4,8,10,3,4,8,12,6,2,30,6,2,17,7,4,2,8,18,2,31,28,17,17,8,9,8,18,16,3,13,6,4,15,16,11,3,6,2,16,4,6,8,10,6,5,1,4,2,17,2,16,6,19,2,17,18,8,6,15,5,13,3,23,4,26,26,22,24,22,2,20,2,16,17,13,10,19,4,14,26,13,4,5,14,13,5,11,24,7,2,4,9,12,10,3,5,2,13,23,16,10,6,16,20,14,3,25,4,5,19,4,8,5,23,20,14,27,4,22,12,10,15,4,23,4,18,4
3,7,11,0,8,8,15,13,17,6,16,8,10,8,11,10,3,14,18,8,8,8,8,8,8,15,6,10,20,5,11,8,18,8,9,3,8,10,19,17,8,7,7,8,4,8,8,8,3,7,15,12,6,13,8,6,11,17,8,7,7,7,8,6,10,9,10,10,10,11,7,22,10,15,8,19,7,4,8,10,8,12,9,15,14,12,13,16,9,15,10,17,18,3,12,23,15,3,14,4,14,6,7,3,16,1,13,5,9,7,3,16,12,8,16,9,3,13,19,12,8,6,11,12,14,14,9,14,8,14,4,8,13,9,3,16,8,13,6,1,7,14,25,14,6,14
4,8,3,8,0,6,11,20,13,2,13,7,18,1,3,13,6,6,14,1,6,7,4,1,5,11,3,2,28,7,3,15,10,1,2,6,14,2,25,24,14,15,5,5,5,15,14,1,9,4,7,16,15,9,1,6,3,13,1,7,5,11,4,2,3,5,2,14,3,15,4,19,3,19,15,11,4,12,4,14,1,21,5,22,22,20,20,20,2,18,3,14,14,9,8,17,8,12,23,10,6,2,11,11,7,8,21,4,2,2,6,11,8,1,8,3,10,20,16,9,3,14,19,16,6,22,5,7,16,7,5,4,20,17,11,24,1,20,9,8,11,6,22,7,14,6
5,11,9,8,6,0,7,16,10,5,10,1,12,6,9,7,7,12,12,6,1,1,8,6,2,8,6,8,21,11,9,10,16,6,7,7,9,8,22,19,9,9,2,1,4,9,8,6,10,3,13,18,8,6,6,10,9,10,6,10,2,14,3,5,9,9,7,8,9,19,4,15,7,22,9,17,4,7,4,16,6,14,8,17,16,14,16,14,7,11,8,10,10,11,5,15,13,6,16,11,12,5,14,5,14,7,16,4,7,5,7,8,6,6,14,7,5,15,12,6,4,8,12,18,12,16,8,12,10,13,6,6,15,12,6,20,6,15,4,8,15,12,18,12,9,12
6,18,12,15,11,7,0,14,3,13,8,7,12,11,11,7,14,12,6,12,7,7,15,11,8,1,14,10,21,17,10,8,16,11,10,14,9,10,20,19,9,9,8,7,10,9,8,11,18,8,14,25,14,2,11,16,11,3,10,16,8,20,8,9,13,15,10,8,10,25,8,8,12,27,9,18,7,14,8,24,11,14,16,18,17,14,15,14,12,11,11,8,8,18,3,8,14,12,16,18,13,12,22,12,15,15,16,11,11,10,14,1,3,10,15,14,11,15,6,2,7,15,20,26,14,16,16,16,14,13,12,7,15,12,14,18,10,14,9,15,21,13,11,13,13,13
7,20,22,13,20,16,14,0,14,20,10,14,3,21,23,8,16,27,11,20,15,15,21,21,17,15,18,22,7,17,23,6,30,21,22,16,6,22,6,4,6,6,16,15,16,6,7,21,12,17,28,19,7,15,22,18,24,13,20,20,16,18,18,19,22,22,21,7,22,18,19,15,22,23,6,31,18,9,18,18,21,1,22,2,11,4,2,7,21,7,23,10,10,12,15,18,27,10,2,12,27,18,15,10,27,12,8,18,22,20,16,14,14,20,27,23,11,8,12,16,18,9,13,19,27,2,21,28,8,26,16,20,4,4,10,5,20,1,12,14,15,27,18,27,6,27
8,22,15,17,13,10,3,14,0,15,7,10,11,13,14,8,16,15,5,14,10,10,16,13,10,3,16,13,20,20,13,10,17,14,14,17,10,13,20,17,10,10,11,10,14,10,10,14,19,10,18,30,16,4,13,18,13,1,13,20,10,23,10,12,15,17,13,8,13,28,10,5,16,32,10,19,10,17,10,28,13,12,17,15,20,12,14,12,14,10,13,6,6,21,5,6,16,15,15,21,15,15,24,15,17,17,16,13,13,14,17,2,5,13,17,16,15,17,5,5,10,17,23,30,16,15,19,20,16,15,15,10,14,11,17,17,12,14,11,18,23,16,9,15,16,16
9,6,5,6,2,5,13,20,15,0,15,6,16,2,4,11,4,7,17,2,6,6,2,2,6,12,1,3,26,5,5,14,12,2,3,4,14,4,26,23,14,14,5,6,4,13,12,2,8,5,8,14,14,11,2,4,4,15,2,5,5,8,5,4,4,4,3,12,4,13,5,21,3,16,13,12,6,10,5,12,2,19,4,20,20,19,20,18,3,16,4,15,15,8,10,20,9,10,20,9,7,1,10,10,9,7,21,3,3,2,4,14,10,2,8,3,9,18,18,10,5,13,18,15,8,21,3,8,14,8,4,6,19,16,10,24,3,19,8,6,10,8,24,8,14,8
10,21,16,16,13,10,8,10,7,15,0,9,12,14,17,7,16,20,2,14,10,10,18,13,10,8,16,16,14,20,17,10,24,13,14,16,10,16,13,11,10,10,10,9,13,9,10,14,20,10,19,27,17,8,14,20,17,6,13,20,10,24,10,12,16,18,15,8,17,27,12,8,16,32,10,25,12,17,12,28,14,10,18,10,21,13,8,6,14,4,17,1,1,20,7,12,21,14,10,21,19,14,24,15,22,16,17,13,15,13,17,7,7,13,20,16,14,17,3,9,11,18,22,28,19,10,18,20,16,21,16,13,14,10,16,13,14,10,11,18,23,19,9,21,16,20
