ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
30,9,30,8,91065,31
31,19,32,9,185496,33
32,34,34,16,87123,35
33,15,34,12,87123,36
34,8,37,6,182367,38
35,3,34,11,87123,39
36,16,40,16,233050,41
37,5,32,7,185496,42
38,13,43,12,306844,44
39,19,45,9,154989,46
40,10,47,1,98595,48
41,7,37,7,182367,49
42,11,37,10,182367,50
43,26,51,23,93263,52
44,4,53,7,45297,54
45,54,34,17,87123,55
46,4,37,6,182367,56
47,23,57,18,93024,58
48,39,59,12,272240,60
49,15,61,10,302267,62
50,6,63,7,199051,64
51,7,37,10,182367,65
52,17,57,19,93024,66
53,11,34,14,87123,67
54,11,68,17,85463,69
55,12,34,13,87123,70
56,31,57,20,93024,71
