Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,0,2,2,6,2,2,4,4,5,7,4,2,0,7,1,1,1,4,5,4,1,0,1,2,2,4,2,2,4,10,4,2,4,1,8,5,0,6,4,2,7,4,2,8,2,3,2,15,4,3,4,7,4,7,1,9,6,7,4,4,2,13,4,7,4,8,8,2,2,1,4
2,2,0,3,6,4,4,5,6,7,6,2,3,2,6,3,3,3,6,3,6,4,2,2,4,4,2,4,4,6,11,6,4,6,2,10,3,2,5,4,4,9,5,4,6,4,3,3,16,3,4,6,5,6,6,3,7,6,8,6,6,4,14,6,8,2,9,10,4,2,2,6
3,2,3,0,4,2,2,3,3,4,8,5,1,2,8,1,2,1,3,5,4,2,2,2,2,2,5,2,2,3,9,3,1,4,2,8,6,2,8,2,2,7,3,1,9,1,4,1,14,5,3,3,7,3,8,2,9,4,6,4,4,2,12,3,6,4,8,7,1,2,2,4
4,6,6,4,0,5,5,3,5,6,12,7,4,6,12,4,5,5,5,8,8,5,6,5,5,5,6,5,6,3,5,7,5,3,5,7,8,5,11,2,5,6,2,5,9,5,4,4,10,9,3,6,8,7,12,6,10,0,6,6,7,5,11,3,2,4,5,4,5,5,6,5
5,2,4,2,5,0,0,3,3,4,8,5,2,2,7,1,1,1,3,6,3,1,2,1,0,0,5,0,0,3,10,3,0,3,1,7,6,2,6,3,1,7,4,1,9,1,4,1,16,4,3,3,8,3,7,1,10,5,7,3,3,1,11,3,7,4,8,8,1,3,2,4
6,2,4,2,5,0,0,3,2,4,8,5,2,2,7,1,1,1,3,6,3,1,2,1,0,0,5,0,0,2,10,3,0,4,1,7,6,2,6,4,1,7,4,1,9,1,4,1,15,4,3,3,8,3,7,1,10,5,7,3,3,1,12,3,7,5,8,8,1,3,2,3
7,4,5,3,3,3,3,0,2,4,9,7,2,3,9,3,2,3,3,8,5,3,4,3,3,3,7,2,3,1,8,4,2,1,3,5,8,3,9,1,2,4,2,2,11,2,6,3,12,6,5,3,10,4,10,4,12,3,7,4,5,2,10,1,4,6,6,6,2,5,4,2
8,4,6,3,5,3,2,2,0,2,8,8,3,4,7,4,3,3,1,8,3,3,4,4,2,3,8,3,3,2,10,2,2,3,4,6,8,4,6,3,2,6,4,2,11,3,7,3,16,5,5,1,10,2,7,3,12,5,8,2,2,2,9,2,6,7,9,8,2,5,4,1
9,5,7,4,6,4,4,4,2,0,7,9,4,5,6,5,4,4,2,9,2,4,5,5,4,4,9,4,4,3,11,2,4,4,5,8,9,5,8,4,4,8,5,4,12,4,8,5,17,6,7,2,11,2,6,5,14,6,9,1,1,4,8,4,8,8,10,9,4,7,6,2
10,7,6,8,12,8,8,9,8,7,0,5,8,6,5,8,7,8,7,5,6,7,7,7,7,7,6,8,7,9,17,6,7,10,8,13,4,7,1,10,7,13,10,7,6,7,8,8,22,4,10,7,8,6,5,6,7,12,14,6,6,7,14,9,14,8,16,15,7,7,7,8
11,4,2,5,7,5,5,7,8,9,5,0,5,4,7,4,5,5,8,1,8,5,4,4,6,6,2,6,6,7,13,8,6,8,4,12,1,4,4,6,6,11,6,6,4,5,4,5,17,3,5,8,4,8,7,4,5,8,9,8,8,6,17,7,9,4,11,11,6,3,4,9
12,2,3,1,4,2,2,2,3,4,8,5,0,2,8,1,2,2,3,6,4,2,2,2,2,2,5,2,2,3,8,3,2,3,2,7,5,2,8,2,2,7,2,2,8,2,4,1,14,5,3,3,8,3,8,3,10,4,5,4,4,2,12,3,5,4,7,7,2,3,2,4
13,0,2,2,6,2,2,3,4,5,6,4,2,0,7,1,1,1,4,5,4,1,0,1,2,2,4,2,2,4,11,4,2,4,1,8,5,0,6,4,2,8,4,2,8,2,3,2,15,4,3,4,7,4,7,1,8,6,8,4,4,2,12,4,7,4,9,8,2,2,1,4
14,7,6,8,12,7,7,9,7,6,5,7,8,7,0,7,6,7,6,7,5,6,6,7,7,7,6,6,7,8,17,5,7,10,7,13,7,6,5,10,7,13,10,7,10,7,8,7,21,4,9,6,10,5,1,6,12,11,13,5,4,7,10,9,13,8,15,15,7,7,6,8
15,1,3,1,4,1,1,3,4,5,8,4,1,1,7,0,1,1,4,5,4,1,1,1,1,1,4,1,1,3,10,4,1,4,1,8,5,1,7,3,2,7,3,2,8,1,4,0,15,5,2,4,7,4,8,2,9,4,6,4,4,2,12,3,6,4,8,8,1,2,1,4
16,1,3,2,5,1,1,2,3,4,7,5,2,1,6,1,0,1,3,6,4,1,1,1,1,1,5,1,1,3,10,3,1,3,1,7,6,1,6,3,1,6,4,1,9,1,4,1,15,4,3,3,8,3,7,1,10,5,7,4,3,1,11,3,7,4,9,8,1,3,2,4
17,1,3,1,5,1,1,3,3,4,8,5,2,1,7,1,1,0,3,5,4,1,1,1,1,1,4,1,1,3,10,4,1,4,1,8,5,1,7,3,1,7,4,1,8,1,4,1,14,4,3,4,7,4,8,2,9,5,7,4,4,1,12,3,6,4,8,8,1,2,1,4
18,4,6,3,5,3,3,3,1,2,7,8,3,4,6,4,3,3,0,8,2,3,4,4,3,3,7,3,3,2,10,2,3,3,4,6,8,4,6,3,2,7,4,2,12,3,7,4,15,5,6,1,10,2,7,4,12,5,8,2,2,2,9,2,7,7,9,8,3,5,4,1
19,5,3,5,8,6,6,8,8,9,5,1,6,5,7,5,6,5,8,0,9,6,4,5,6,6,2,6,6,8,12,8,6,8,5,12,1,5,4,7,6,12,6,6,4,6,4,5,16,4,4,9,4,8,7,5,4,7,9,8,9,6,18,8,9,3,11,10,6,3,4,9
20,4,6,4,8,3,3,5,3,2,6,8,4,4,5,4,4,4,2,9,0,4,4,4,3,3,8,3,3,4,12,1,3,6,4,9,8,4,7,6,3,9,6,3,12,3,7,4,17,5,6,2,11,1,5,4,12,7,9,1,0,3,9,4,10,7,10,11,3,6,5,3
21,1,4,2,5,1,1,3,3,4,7,5,2,1,6,1,1,1,3,6,4,0,1,1,1,1,5,1,0,3,10,3,1,4,1,7,6,1,6,4,1,7,4,1,8,1,4,1,16,4,3,3,8,3,7,1,10,5,7,3,3,1,11,3,7,4,9,8,1,3,2,4
22,0,2,2,6,2,2,4,4,5,7,4,2,0,6,1,1,1,4,4,4,1,0,1,2,2,4,2,2,4,11,4,2,4,1,8,4,0,6,4,2,8,4,2,8,2,3,1,16,4,3,4,6,4,7,1,9,6,7,4,4,2,12,4,7,4,8,8,2,2,1,4
23,1,2,2,5,1,1,3,4,5,7,4,2,1,7,1,1,1,4,5,4,1,1,0,2,1,4,1,1,4,10,4,1,4,0,8,5,1,6,3,2,8,4,2,8,1,4,1,16,4,2,4,7,4,7,1,9,5,7,4,4,2,12,4,7,4,8,8,1,2,1,4
24,2,4,2,5,0,0,3,2,4,7,6,2,2,7,1,1,1,3,6,3,1,2,2,0,0,5,0,1,2,10,3,0,3,2,7,6,2,7,3,0,6,4,1,9,1,4,1,15,4,3,3,8,3,7,1,10,5,6,3,3,1,12,2,7,5,8,8,1,3,2,4
25,2,4,2,5,0,0,3,3,4,7,6,2,2,7,1,1,1,3,6,3,1,2,1,0,0,5,0,0,2,10,3,0,4,1,7,6,2,6,3,1,6,4,1,9,1,4,1,14,4,3,3,8,3,7,1,10,5,7,3,3,1,11,2,7,4,8,8,1,3,2,3
26,4,2,5,6,5,5,7,8,9,6,2,5,4,6,4,5,4,7,2,8,5,4,4,5,5,0,5,5,7,11,8,5,8,4,12,3,4,6,6,6,11,5,6,4,5,2,4,16,3,3,7,3,8,7,4,5,6,8,8,8,6,17,8,8,2,10,9,5,2,4,8
27,2,4,2,5,0,0,2,3,4,8,6,2,2,6,1,1,1,3,6,3,1,2,1,0,0,5,0,1,2,10,3,0,4,1,7,6,2,6,4,1,6,4,1,9,1,4,1,16,4,3,3,8,3,7,1,10,5,7,3,3,1,12,2,7,4,8,8,1,3,2,4
28,2,4,2,6,0,0,3,3,4,7,6,2,2,7,1,1,1,3,6,3,0,2,1,1,0,5,1,0,2,10,3,1,4,1,8,6,2,6,4,1,7,4,1,9,1,4,1,15,4,3,3,8,3,7,1,10,6,7,3,3,1,12,2,7,4,9,9,1,3,2,3
29,4,6,3,3,3,2,1,2,3,9,7,3,4,8,3,3,3,2,8,4,3,4,4,2,2,7,2,2,0,9,4,2,2,4,5,8,4,8,2,2,5,2,2,11,2,7,3,13,6,5,3,10,4,9,3,12,3,8,4,4,2,9,0,5,7,6,6,2,5,4,2
30,10,11,9,5,10,10,8,10,11,17,13,8,11,17,10,10,10,10,12,12,10,11,10,10,10,11,10,10,9,0,12,10,7,10,4,14,11,17,7,10,4,7,10,13,10,9,10,6,14,8,10,12,12,17,11,15,6,10,12,12,10,15,8,5,10,2,7,10,10,11,10
31,4,6,3,7,3,3,4,2,2,6,8,3,4,5,4,3,4,2,8,1,3,4,4,3,3,8,3,3,4,12,0,3,5,4,8,8,4,6,5,2,8,5,2,12,3,7,4,16,5,5,1,11,0,6,4,13,6,8,1,1,2,9,4,8,7,10,9,3,5,4,2
32,2,4,1,5,0,0,2,2,4,7,6,2,2,7,1,1,1,3,6,3,1,2,1,0,0,5,0,1,2,10,3,0,3,2,7,6,2,6,3,1,6,4,1,9,0,4,1,15,4,3,3,8,3,7,1,10,5,7,3,3,1,12,2,6,5,8,8,0,3,2,3
