Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
1,0,1,20,3,6,4,10,18,15,3,3,3,6,14,31,5,10,4,3,4,2,4,1,4,2,2,4,18,18,14,4,5,4,26,4,14,16,15,10,20,2,9,1,20,4,20,4,8,24,2,2,17,18,3,16,4,8,8,2,2,3,3,10,2,12,14,3,4,5,11,11,7,21
2,1,0,20,2,7,4,10,17,14,3,3,3,6,14,30,5,10,4,2,4,2,4,2,4,2,2,4,19,19,16,4,4,4,26,4,14,15,13,10,20,2,9,1,19,3,19,4,8,26,2,3,16,17,4,16,4,8,8,1,2,4,3,10,2,12,13,4,5,4,10,11,8,22
3,20,20,0,18,13,20,10,6,5,18,18,16,16,11,13,14,10,20,20,20,18,18,19,16,18,19,19,6,2,12,19,18,16,8,19,12,5,13,10,0,18,10,19,4,17,0,20,12,18,18,18,5,5,18,11,20,21,20,18,20,18,19,9,18,8,12,18,20,16,10,9,12,7
4,3,2,18,0,6,6,8,16,13,5,6,2,4,12,29,4,8,6,2,6,1,2,4,3,3,2,2,16,17,14,6,2,3,25,6,12,14,12,9,18,1,8,3,19,2,18,3,6,22,4,5,15,16,6,14,6,10,6,2,4,6,5,9,1,10,12,6,6,3,9,9,6,20
5,6,7,13,6,0,9,4,11,8,8,8,4,4,8,24,2,4,9,6,8,5,4,6,4,6,7,5,12,12,10,9,5,4,21,9,10,10,10,4,14,6,3,6,14,5,14,8,2,18,7,7,10,11,8,10,9,12,6,6,8,8,8,4,5,6,9,8,9,3,4,4,2,15
6,4,4,20,6,9,0,9,17,14,2,2,7,10,15,31,8,10,1,6,0,6,7,3,5,3,6,8,19,18,19,0,9,5,28,0,17,16,17,10,19,6,9,4,19,7,20,7,8,25,2,2,16,18,1,16,1,4,11,5,2,1,1,10,6,12,17,1,1,8,10,10,7,22
7,10,10,10,8,4,9,0,7,5,9,8,7,7,8,20,5,2,9,10,10,8,8,9,6,8,10,8,9,8,10,10,8,6,16,10,9,7,10,3,10,8,1,9,10,8,10,10,3,16,8,10,7,8,9,8,10,12,10,10,10,9,10,2,8,4,9,9,11,6,1,1,3,12
8,18,17,6,16,11,17,7,0,3,16,15,15,14,5,13,12,7,17,16,18,16,14,16,12,14,16,16,2,4,8,16,16,14,10,17,7,1,7,7,6,16,8,16,3,15,6,18,10,12,15,17,1,1,15,6,17,19,17,16,18,16,18,7,15,5,7,16,17,13,7,7,10,5
9,15,14,5,13,8,14,5,3,0,13,12,12,11,6,16,10,4,13,15,15,12,12,14,10,12,14,12,5,4,8,14,13,11,13,14,8,2,8,5,6,13,6,13,6,12,6,15,7,14,13,14,3,4,13,7,15,16,14,14,16,13,14,4,13,3,8,14,14,10,4,4,7,7
10,3,3,18,5,8,2,9,16,13,0,0,6,9,14,30,7,9,2,5,2,5,7,2,4,2,5,6,16,18,17,2,7,4,25,2,17,15,17,8,18,5,7,3,19,6,17,6,6,23,1,1,15,16,1,15,2,5,10,4,3,1,2,9,5,12,16,1,2,7,9,10,6,20
11,3,3,18,6,8,2,8,15,12,0,0,6,8,15,29,7,8,2,5,2,5,7,2,4,2,5,6,17,17,16,2,7,4,24,2,17,14,16,8,17,5,8,3,19,6,17,6,6,22,1,2,14,16,1,16,3,5,10,4,3,1,2,9,5,11,16,1,2,7,9,9,6,20
12,3,3,16,2,4,7,7,15,12,6,6,0,3,12,28,2,7,6,3,6,2,2,4,2,4,3,2,15,16,12,6,2,2,25,7,11,13,11,8,16,2,6,3,16,1,18,4,5,21,5,5,14,16,6,14,7,10,5,2,4,6,6,8,2,10,11,6,7,2,8,8,5,18
13,6,6,16,4,4,10,7,14,11,9,8,3,0,11,26,2,7,10,4,10,4,2,7,5,7,4,2,16,15,12,10,2,5,23,9,10,13,9,7,17,4,6,6,16,3,16,4,4,20,7,8,14,14,9,12,10,14,3,5,7,10,8,8,4,9,10,9,10,2,8,8,4,18
14,14,14,11,12,8,15,8,5,6,14,15,12,11,0,16,10,8,16,14,16,13,12,14,11,13,14,14,4,9,2,16,13,11,13,16,2,6,3,10,10,13,8,14,6,12,10,15,10,11,14,14,5,6,14,2,16,19,14,14,15,15,14,8,13,4,2,14,16,11,7,8,10,7
15,31,30,13,29,24,31,20,13,16,30,29,28,26,16,0,26,19,31,30,29,28,29,29,26,29,31,28,12,12,16,30,27,26,4,31,18,14,19,20,13,28,20,30,10,29,13,31,22,6,28,30,14,13,28,15,31,31,29,31,32,30,30,19,30,19,17,30,31,25,20,19,23,9
16,5,5,14,4,2,8,5,12,10,7,7,2,2,10,26,0,5,8,5,8,4,3,6,4,6,5,4,14,14,11,9,4,4,22,8,10,12,10,5,15,4,4,4,15,3,15,6,3,20,6,7,11,13,8,12,8,12,5,4,6,8,7,6,4,8,10,8,9,1,6,6,3,17
17,10,10,10,8,4,10,2,7,4,9,8,7,7,8,19,5,0,10,10,10,8,8,9,6,9,10,9,8,8,11,10,8,6,17,10,11,7,11,2,10,9,2,10,10,8,10,11,3,16,9,9,7,8,9,9,10,12,10,9,12,9,10,1,8,5,11,9,11,6,2,2,3,11
18,4,4,20,6,9,1,9,17,13,2,2,6,10,16,31,8,10,0,6,1,6,8,3,5,4,6,8,17,17,18,0,9,5,26,1,17,16,17,10,19,6,9,4,19,8,19,8,8,24,2,2,16,18,1,17,1,4,11,5,2,1,2,11,6,12,17,1,1,8,10,11,7,21
19,3,2,20,2,6,6,10,16,15,5,5,3,4,14,30,5,10,6,0,6,2,2,3,5,3,0,2,18,19,15,6,3,4,27,6,12,16,12,10,20,2,9,2,19,2,20,2,8,25,4,4,17,17,5,16,6,10,6,1,4,6,5,11,2,12,13,5,6,4,10,10,7,20
20,4,4,20,6,8,0,10,18,15,2,2,6,10,16,29,8,10,1,6,0,6,8,3,4,3,6,7,18,19,18,0,8,5,26,0,17,15,18,10,19,6,9,4,20,7,20,7,8,24,2,2,17,18,2,16,1,4,12,5,2,1,1,11,6,12,18,2,1,8,10,11,7,22
21,2,2,18,1,5,6,8,16,12,5,5,2,4,13,28,4,8,6,2,6,0,2,4,3,3,2,2,16,17,14,6,3,3,25,6,12,15,12,8,19,0,8,2,18,2,17,3,6,22,4,4,14,16,5,14,6,10,6,1,4,6,5,10,0,10,12,6,6,3,9,9,6,20
22,4,4,18,2,4,7,8,14,12,7,7,2,2,12,29,3,8,8,2,8,2,0,5,3,5,3,1,16,16,13,8,1,3,25,7,11,14,11,8,17,2,7,4,17,1,18,4,6,23,6,6,14,15,7,14,8,11,4,3,5,7,7,8,2,10,10,7,8,2,8,9,6,19
23,1,2,19,4,6,3,9,16,14,2,2,4,7,14,29,6,9,3,3,3,4,5,0,4,1,4,5,18,18,15,3,6,3,26,3,15,15,15,9,19,3,8,2,19,5,18,5,7,24,1,2,16,16,2,14,3,7,8,2,2,2,2,9,4,11,15,2,4,5,10,10,7,20
24,4,4,16,3,4,5,6,12,10,4,4,2,5,11,26,4,6,5,5,4,3,3,4,0,3,5,3,14,14,13,5,4,1,21,5,13,12,13,6,16,4,5,4,16,3,15,6,4,21,3,4,12,13,4,12,5,8,7,4,6,4,5,6,3,8,13,4,5,4,6,6,3,17
25,2,2,18,3,6,3,8,14,12,2,2,4,7,13,29,6,9,4,3,3,3,5,1,3,0,3,4,17,16,16,3,6,2,25,3,14,14,15,8,17,3,7,1,18,4,18,5,6,23,1,2,15,16,3,14,3,7,8,2,3,3,2,8,3,10,14,2,4,5,9,9,6,20
26,2,2,19,2,7,6,10,16,14,5,5,3,4,14,31,5,10,6,0,6,2,3,4,5,3,0,2,18,18,15,6,3,4,26,6,14,16,12,10,20,2,9,2,20,3,20,2,8,26,4,4,17,18,5,15,6,9,6,1,4,5,5,11,2,12,13,5,6,4,10,11,8,22
27,4,4,19,2,5,8,8,16,12,6,6,2,2,14,28,4,9,8,2,7,2,1,5,3,4,2,0,17,18,14,7,1,3,24,8,11,14,11,8,17,2,8,4,18,1,18,2,6,23,5,6,15,16,7,14,7,11,4,3,5,7,6,10,2,11,12,6,8,3,9,10,6,20
28,18,19,6,16,12,19,9,2,5,16,17,15,16,4,12,14,8,17,18,18,16,16,18,14,17,18,17,0,5,7,18,17,15,9,18,6,3,8,9,6,17,10,18,2,17,6,20,11,13,16,18,3,1,18,5,18,19,18,18,20,18,19,8,16,7,6,17,20,15,8,8,12,3
29,18,19,2,17,12,18,8,4,4,18,17,16,15,9,12,14,8,17,19,19,17,16,18,14,16,18,18,5,0,12,17,16,15,9,19,11,4,10,9,2,17,10,17,3,16,2,19,11,17,16,17,4,4,18,10,18,20,18,18,19,18,18,8,17,7,10,17,18,15,9,8,12,6
30,14,16,12,14,10,19,10,8,8,17,16,12,12,2,16,11,11,18,15,18,14,13,15,13,16,15,14,7,12,0,18,14,12,12,18,3,8,4,13,12,14,10,14,8,14,12,17,12,10,17,16,8,8,17,2,19,22,16,15,16,17,18,11,14,6,2,17,18,11,10,10,12,6
31,4,4,19,6,9,0,10,16,14,2,2,6,10,16,30,9,10,0,6,0,6,8,3,5,3,6,7,18,17,18,0,9,5,26,0,18,16,18,9,18,6,9,4,19,8,20,8,7,24,2,2,16,18,2,16,1,4,12,5,2,1,1,10,6,12,17,1,1,8,10,10,8,22
32,5,4,18,2,5,9,8,16,13,7,7,2,2,13,27,4,8,9,3,8,3,1,6,4,6,3,1,17,16,14,9,0,4,25,8,12,14,10,8,18,3,7,5,17,1,18,3,6,22,7,7,15,16,7,13,8,13,3,4,6,8,7,9,3,10,12,8,9,2,9,9,6,20
33,4,4,16,3,4,5,6,14,11,4,4,2,5,11,26,4,6,5,4,5,3,3,3,1,2,4,3,15,15,12,5,4,0,22,5,12,12,13,6,16,3,6,3,16,2,16,5,4,21,3,4,12,14,4,12,5,9,6,4,5,5,4,7,3,8,12,4,6,3,7,7,4,18
34,26,26,8,25,21,28,16,10,13,25,24,25,23,13,4,22,17,26,27,26,25,25,26,21,25,26,24,9,9,12,26,25,22,0,25,14,11,15,17,9,26,17,26,7,24,9,28,20,10,24,25,11,9,25,12,27,28,26,25,28,26,26,16,24,15,14,24,28,23,17,16,19,6
35,4,4,19,6,9,0,10,17,14,2,2,7,9,16,31,8,10,1,6,0,6,7,3,5,3,6,8,18,19,18,0,8,5,25,0,18,16,18,10,19,6,9,4,19,8,20,8,8,23,2,2,17,18,2,17,1,4,12,5,2,1,1,10,6,12,17,1,1,8,10,11,7,21
36,14,14,12,12,10,17,9,7,8,17,17,11,10,2,18,10,11,17,12,17,12,11,15,13,14,14,11,6,11,3,18,12,12,14,18,0,7,2,13,12,12,9,13,8,10,12,14,12,12,15,16,8,7,18,3,17,22,13,12,15,17,16,11,12,6,1,16,18,10,10,9,12,9
37,16,15,5,14,10,16,7,1,2,15,14,13,13,6,14,12,7,16,16,15,15,14,15,12,14,16,14,3,4,8,16,14,12,11,16,7,0,7,6,6,15,8,16,4,15,5,17,9,13,15,15,1,2,16,6,17,18,15,16,18,16,17,6,14,5,7,16,17,12,6,6,9,6
38,15,13,13,12,10,17,10,7,8,17,16,11,9,3,19,10,11,17,12,18,12,11,15,13,15,12,11,8,10,4,18,10,13,15,18,2,7,0,13,12,12,9,14,8,11,12,13,12,13,16,16,8,7,18,4,17,22,11,13,16,16,17,11,13,6,2,17,18,10,9,9,12,10
39,10,10,10,9,4,10,3,7,5,8,8,8,7,10,20,5,2,10,10,10,8,8,9,6,8,10,8,9,9,13,9,8,6,17,10,13,6,13,0,10,9,3,9,10,8,10,11,3,18,8,9,7,8,9,11,10,11,10,10,11,8,10,2,8,6,12,9,10,6,4,4,3,12
40,20,20,0,18,14,19,10,6,6,18,17,16,17,10,13,15,10,19,20,19,19,17,19,16,17,20,17,6,2,12,18,18,16,9,19,12,6,12,10,0,18,10,19,5,16,0,21,13,19,18,20,6,5,18,11,20,20,19,19,21,18,21,10,17,8,12,18,20,15,9,10,12,8
41,2,2,18,1,6,6,8,16,13,5,5,2,4,13,28,4,9,6,2,6,0,2,3,4,3,2,2,17,17,14,6,3,3,26,6,12,15,12,9,18,0,8,2,18,2,19,2,6,23,4,4,14,16,5,15,6,10,6,1,4,5,5,9,0,11,12,5,6,3,9,9,6,21
42,9,9,10,8,3,9,1,8,6,7,8,6,6,8,20,4,2,9,9,9,8,7,8,5,7,9,8,10,10,10,9,7,6,17,9,9,8,9,3,10,8,0,8,11,7,11,10,3,16,8,8,8,9,8,8,10,13,9,9,10,8,10,2,8,4,9,8,9,5,2,2,2,12
43,1,1,19,3,6,4,9,16,13,3,3,3,6,14,30,4,10,4,2,4,2,4,2,4,1,2,4,18,17,14,4,5,3,26,4,13,16,14,9,19,2,8,0,20,4,19,4,6,24,2,2,15,17,4,15,4,8,8,2,2,4,3,10,2,11,14,3,4,4,9,10,6,21
44,20,19,4,19,14,19,10,3,6,19,19,16,16,6,10,15,10,19,19,20,18,17,19,16,18,20,18,2,3,8,19,17,16,7,19,8,4,8,10,5,18,11,20,0,18,4,21,13,14,18,20,4,2,19,7,20,21,20,19,20,18,20,9,19,8,8,18,20,16,10,9,12,4
45,4,3,17,2,5,7,8,15,12,6,6,1,3,12,29,3,8,8,2,7,2,1,5,3,4,3,1,17,16,14,8,1,2,24,8,10,15,11,8,16,2,7,4,18,0,18,4,5,22,5,6,15,16,7,14,7,12,4,3,6,7,6,8,2,10,10,6,8,2,8,8,5,19
46,20,19,0,18,14,20,10,6,6,17,17,18,16,10,13,15,10,19,20,20,17,18,18,15,18,20,18,6,2,12,20,18,16,9,20,12,5,12,10,0,19,11,19,4,18,0,21,13,19,18,19,5,6,18,10,20,21,19,18,21,19,20,10,17,8,12,17,21,16,10,9,12,8
47,4,4,20,3,8,7,10,18,15,6,6,4,4,15,31,6,11,8,2,7,3,4,5,6,5,2,2,20,19,17,8,3,5,28,8,14,17,13,11,21,2,10,4,21,4,21,0,8,26,6,6,17,18,7,16,8,11,4,3,6,7,7,12,3,12,14,7,8,5,12,12,8,21
48,8,8,12,6,2,8,3,10,7,6,6,5,4,10,22,3,3,8,8,8,6,6,7,4,6,8,6,11,11,12,7,6,4,20,8,12,9,12,3,13,6,3,6,13,5,13,8,0,17,6,7,9,10,6,11,8,10,8,7,8,6,8,3,6,6,12,6,8,4,3,4,1,14
49,24,26,18,22,18,25,16,12,14,23,22,21,20,11,6,20,16,24,25,24,22,23,24,21,23,26,23,13,17,10,24,22,21,10,23,12,13,13,18,19,23,16,24,14,22,19,26,17,0,22,24,14,13,23,10,25,28,25,24,26,23,25,16,23,12,12,23,25,20,15,15,17,10
50,2,2,18,4,7,2,8,15,13,1,1,5,7,14,28,6,9,2,4,2,4,6,1,3,1,4,5,16,16,17,2,7,3,24,2,15,15,16,8,18,4,8,2,18,5,18,6,6,22,0,2,15,16,2,15,3,6,10,3,3,2,2,9,4,10,16,2,3,6,9,9,6,20
51,2,3,18,5,7,2,10,17,14,1,2,5,8,14,30,7,9,2,4,2,4,6,2,4,2,4,6,18,17,16,2,7,4,25,2,16,15,16,9,20,4,8,2,20,6,19,6,7,24,2,0,16,18,1,14,2,6,10,3,2,1,1,10,4,12,16,1,2,7,10,10,7,20
52,17,16,5,15,10,16,7,1,3,15,14,14,14,5,14,11,7,16,17,17,14,14,16,12,15,17,15,3,4,8,16,15,12,11,17,8,1,8,7,6,14,8,15,4,15,5,17,9,14,15,16,0,2,16,6,17,17,16,15,17,16,17,6,16,5,7,16,17,12,6,6,9,6
53,18,17,5,16,11,18,8,1,4,16,16,16,14,6,13,13,8,18,17,18,16,15,16,13,16,18,16,1,4,8,18,16,14,9,18,7,2,7,8,5,16,9,17,2,16,6,18,10,13,16,18,2,0,16,6,18,18,17,17,18,16,18,7,16,6,7,17,17,13,8,7,11,4
54,3,4,18,6,8,1,9,15,13,1,1,6,9,14,28,8,9,1,5,2,5,7,2,4,3,5,7,18,18,17,2,7,4,25,2,18,16,18,9,18,5,8,4,19,7,18,7,6,23,2,1,16,16,0,15,2,5,10,4,3,1,2,9,5,11,17,0,2,7,9,9,6,20
55,16,16,11,14,10,16,8,6,7,15,16,14,12,2,15,12,9,17,16,16,14,14,14,12,14,15,14,5,10,2,16,13,12,12,17,3,6,4,11,11,15,8,15,7,14,10,16,11,10,15,14,6,6,15,0,16,20,15,14,17,16,16,10,14,5,3,16,16,12,8,8,10,6
56,4,4,20,6,9,1,10,17,15,2,3,7,10,16,31,8,10,1,6,1,6,8,3,5,3,6,7,18,18,19,1,8,5,27,1,17,17,17,10,20,6,10,4,20,7,20,8,8,25,3,2,17,18,2,16,0,4,11,5,2,2,1,12,6,12,17,2,1,8,11,12,8,23
57,8,8,21,10,12,4,12,19,16,5,5,10,14,19,31,12,12,4,10,4,10,11,7,8,7,9,11,19,20,22,4,13,9,28,4,22,18,22,11,20,10,13,8,21,12,21,11,10,28,6,6,17,18,5,20,4,0,15,9,7,5,5,12,10,16,22,5,4,12,12,12,11,23
58,8,8,20,6,6,11,10,17,14,10,10,5,3,14,29,5,10,11,6,12,6,4,8,7,8,6,4,18,18,16,12,3,6,26,12,13,15,11,10,19,6,9,8,20,4,19,4,8,25,10,10,16,17,10,15,11,15,0,7,9,11,10,10,6,11,13,11,11,4,11,11,8,20
59,2,1,18,2,6,5,10,16,14,4,4,2,5,14,31,4,9,5,1,5,1,3,2,4,2,1,3,18,18,15,5,4,4,25,5,12,16,13,10,19,1,9,2,19,3,18,3,7,24,3,3,15,17,4,14,5,9,7,0,3,4,4,10,1,11,13,4,6,4,10,10,7,20
60,2,2,20,4,8,2,10,18,16,3,3,4,7,15,32,6,12,2,4,2,4,5,2,6,3,4,5,20,19,16,2,6,5,28,2,15,18,16,11,21,4,10,2,20,6,21,6,8,26,3,2,17,18,3,17,2,7,9,3,0,2,2,12,4,12,15,2,3,6,12,12,8,22
61,3,4,18,6,8,1,9,16,13,1,1,6,10,15,30,8,9,1,6,1,6,7,2,4,3,5,7,18,18,17,1,8,5,26,1,17,16,16,8,18,5,8,4,18,7,19,7,6,23,2,1,16,16,1,16,2,5,11,4,2,0,2,10,5,12,16,1,2,7,9,10,6,20
62,3,3,19,5,8,1,10,18,14,2,2,6,8,14,30,7,10,2,5,1,5,7,2,5,2,5,6,19,18,18,1,7,4,26,1,16,17,17,10,21,5,10,3,20,6,20,7,8,25,2,1,17,18,2,16,1,5,10,4,2,2,0,10,5,12,17,2,2,7,11,11,8,21
63,10,10,9,9,4,10,2,7,4,9,9,8,8,8,19,6,1,11,11,11,10,8,9,6,8,11,10,8,8,11,10,9,7,16,10,11,6,11,2,10,9,2,10,9,8,10,12,3,16,9,10,6,7,9,10,12,12,10,10,12,10,10,0,9,5,10,9,11,6,2,2,3,10
64,2,2,18,1,5,6,8,15,13,5,5,2,4,13,30,4,8,6,2,6,0,2,4,3,3,2,2,16,17,14,6,3,3,24,6,12,14,13,8,17,0,8,2,19,2,17,3,6,23,4,4,16,16,5,14,6,10,6,1,4,5,5,9,0,10,12,5,6,3,9,9,6,20
65,12,12,8,10,6,12,4,5,3,12,11,10,9,4,19,8,5,12,12,12,10,10,11,8,10,12,11,7,7,6,12,10,8,15,12,6,5,6,6,8,11,4,11,8,10,8,12,6,12,10,12,5,6,11,5,12,16,11,11,12,12,12,5,10,0,6,11,13,8,4,4,6,10
66,14,13,12,12,9,17,9,7,8,16,16,11,10,2,17,10,11,17,13,18,12,10,15,13,14,13,12,6,10,2,17,12,12,14,17,1,7,2,12,12,12,9,14,8,10,12,14,12,12,16,16,7,7,17,3,17,22,13,13,15,16,17,10,12,6,0,17,18,10,9,9,10,8
67,3,4,18,6,8,1,9,16,14,1,1,6,9,14,30,8,9,1,5,2,6,7,2,4,2,5,6,17,17,17,1,8,4,24,1,16,16,17,9,18,5,8,3,18,6,17,7,6,23,2,1,16,17,0,16,2,5,11,4,2,1,2,9,5,11,17,0,2,8,10,10,6,20
68,4,5,20,6,9,1,11,17,14,2,2,7,10,16,31,9,11,1,6,1,6,8,4,5,4,6,8,20,18,18,1,9,6,28,1,18,17,18,10,20,6,9,4,20,8,21,8,8,25,3,2,17,17,2,16,1,4,11,6,3,2,2,11,6,13,18,2,0,9,12,11,8,21
69,5,4,16,3,3,8,6,13,10,7,7,2,2,11,25,1,6,8,4,8,3,2,5,4,5,4,3,15,15,11,8,2,3,23,8,10,12,10,6,15,3,5,4,16,2,16,5,4,20,6,7,12,13,7,12,8,12,4,4,6,7,7,6,3,8,10,8,9,0,7,7,4,17
70,11,10,10,9,4,10,1,7,4,9,9,8,8,7,20,6,2,10,10,10,9,8,10,6,9,10,9,8,9,10,10,9,7,17,10,10,6,9,4,9,9,2,9,10,8,10,12,3,15,9,10,6,8,9,8,11,12,11,10,12,9,11,2,9,4,9,10,12,7,0,1,3,12
71,11,11,9,9,4,10,1,7,4,10,9,8,8,8,19,6,2,11,10,11,9,9,10,6,9,11,10,8,8,10,10,9,7,16,11,9,6,9,4,10,9,2,10,9,8,9,12,4,15,9,10,6,7,9,8,12,12,11,10,12,10,11,2,9,4,9,10,11,7,1,0,4,11
72,7,8,12,6,2,7,3,10,7,6,6,5,4,10,23,3,3,7,7,7,6,6,7,3,6,8,6,12,12,12,8,6,4,19,7,12,9,12,3,12,6,2,6,12,5,12,8,1,17,6,7,9,11,6,10,8,11,8,7,8,6,8,3,6,6,10,6,8,4,3,4,0,14
73,21,22,7,20,15,22,12,5,7,20,20,18,18,7,9,17,11,21,20,22,20,19,20,17,20,22,20,3,6,6,22,20,18,6,21,9,6,10,12,8,21,12,21,4,19,8,21,14,10,20,20,6,4,20,6,23,23,20,20,22,20,21,10,20,10,8,20,21,17,12,11,14,0
