ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
301,61,301,18,252089,302
302,20,303,6,131922,304
303,100,305,21,74726,306
304,32,307,7,297827,308
305,31,309,7,306068,310
306,19,311,6,201865,312
307,22,313,5,19922,314
308,32,315,6,276686,316
309,25,317,5,301766,318
310,100,319,23,23037,320
311,50,321,7,458351,322
312,15,323,7,285037,324
313,20,325,11,296756,326
314,41,327,5,348176,328
315,16,329,5,342108,330
316,59,331,25,166297,332
317,44,333,5,381573,334
318,23,335,7,478675,336
319,100,337,12,101008,338
320,50,339,7,19855,340
321,19,341,7,56990,342
322,25,343,13,395140,344
323,8,345,7,28782,346
324,39,347,13,119824,348
325,26,349,5,363188,350
326,32,331,25,166297,351
327,38,352,23,76747,353
328,18,354,6,428835,355
329,21,356,6,338583,357
330,21,358,5,131308,359
331,24,305,15,74726,360
332,47,361,22,25670,362
333,15,363,13,110633,364
334,55,365,26,253615,366
335,24,367,11,125133,368
336,57,369,15,476829,370
337,25,309,7,306068,371
338,18,372,11,105656,373
339,38,374,14,438037,375
340,52,376,12,49994,377
341,47,378,15,49527,379
342,31,380,12,37601,381
343,13,382,5,451545,383
344,33,384,7,345046,385
345,17,386,5,201693,387
346,37,388,9,38950,389
347,68,390,17,123067,391
348,45,392,10,465262,393
349,25,394,6,121367,395
350,34,396,19,22054,397
351,16,398,6,263070,399
352,38,400,14,477417,401
353,20,402,19,292137,403
354,32,394,6,121367,404
355,28,405,5,339278,406
356,18,376,12,49994,407
357,42,408,7,375035,409
358,42,365,25,253615,410
359,17,411,9,433308,412
360,42,413,10,260223,414
361,25,415,6,327358,416
362,40,417,8,443497,418
363,50,419,5,301483,420
364,36,421,15,433751,422
365,21,423,5,186416,424
366,71,425,5,393940,426
367,18,427,11,264331,391
368,14,428,8,44180,429
369,30,430,7,349400,431
370,36,432,5,453909,433
371,70,405,6,339278,434
372,18,435,12,38145,436
373,34,437,16,115390,438
374,28,400,12,477417,439
375,90,440,14,443650,441
376,36,442,13,431397,443
377,19,345,9,28782,444
378,26,445,6,301810,446
379,21,447,7,203482,448
380,24,378,12,49527,449
381,22,450,9,396690,451
382,39,452,17,43754,453
383,24,400,14,477417,454
384,13,307,5,297827,455
385,18,437,15,115390,456
386,41,457,16,122646,458
387,17,459,8,276618,460
388,23,392,8,465262,461
389,100,462,12,97362,463
390,29,464,17,344773,465
391,22,466,5,106483,467
392,21,376,13,49994,468
393,22,469,11,290453,470
394,17,323,9,285037,471
395,19,472,17,102148,473
396,23,474,13,40385,475
397,28,476,12,101002,477
398,10,478,5,247249,479
399,53,321,7,458351,480
400,43,481,5,457495,482
401,42,483,8,116250,484
402,14,485,13,411893,486
403,36,417,7,443497,487
404,44,396,19,22054,488
405,31,489,14,77051,490
406,39,491,11,52870,492
407,34,493,5,343105,494
408,35,495,10,447566,496
409,6,497,5,43838,498
410,25,499,8,341560,500
411,40,396,19,22054,501
412,23,502,5,168672,503
413,26,419,5,301483,504
414,16,428,8,44180,505
415,28,506,15,243781,507
416,87,508,12,40069,509
417,48,510,24,462528,511
418,25,512,14,44088,513
419,27,514,12,44626,515
420,32,321,7,458351,516
421,92,517,20,385086,518
422,33,519,9,376308,520
423,71,380,16,37601,521
424,27,321,6,458351,522
425,32,523,7,23895,524
426,56,525,14,291540,526
427,19,527,5,276345,528
428,54,529,7,75313,530
429,11,531,7,286863,532
430,14,533,11,169874,534
431,22,535,9,318914,536
432,32,537,6,393796,538
433,79,378,17,49527,539
434,24,540,6,204450,541
435,22,542,11,385245,543
436,100,544,14,398146,545
437,26,546,10,47476,547
438,25,548,8,462934,549
439,18,550,5,199794,551
440,21,552,5,42458,553
441,17,554,5,321402,555
442,19,556,11,181691,557
443,39,558,7,347292,559
444,22,560,5,184382,561
445,20,305,15,74726,562
446,34,563,12,110673,564
447,36,565,8,444534,566
448,12,567,6,83866,568
449,32,569,9,45302,570
450,31,535,9,318914,536
451,13,571,10,34568,572
452,56,573,15,38953,574
453,39,575,7,345437,576
454,34,577,9,108508,578
455,9,579,10,451679,580
456,12,581,9,23345,582
457,59,583,9,184379,584
458,38,535,9,318914,585
459,58,586,6,458967,587
460,59,384,9,345046,588
461,30,305,15,74726,589
462,28,590,7,291552,591
463,40,411,13,433308,592
464,12,593,5,166772,594
465,39,567,9,83866,595
466,35,321,6,458351,596
467,21,491,10,52870,597
468,14,598,8,451250,599
469,34,485,13,411893,600
470,65,462,7,97362,601
471,15,602,13,460751,603
472,10,604,5,333738,605
473,15,606,10,314198,607
474,62,608,15,186448,609
475,12,363,13,110633,610
476,36,493,5,343105,611
477,42,546,11,47476,612
478,19,309,5,306068,613
479,18,614,7,25594,615
480,42,616,5,167369,416
481,30,617,14,181430,618
482,30,476,13,101002,619
483,18,620,9,316316,621
484,25,428,10,44180,622
485,31,623,11,435425,624
486,20,625,15,35804,626
487,24,400,14,477417,627
488,21,315,5,276686,409
489,40,628,10,459964,629
490,19,630,10,363241,631
491,56,392,10,465262,632
492,25,633,7,333730,634
493,19,635,5,480484,355
494,11,636,5,70613,637
495,19,581,11,23345,638
496,19,639,22,33055,640
497,51,392,12,465262,641
498,20,642,13,447873,643
499,10,369,13,476829,644
500,100,645,11,440625,646
501,42,647,18,343258,648
502,12,305,15,74726,649
503,32,569,9,45302,650
504,42,651,13,358921,652
505,32,653,13,20969,654
506,20,655,6,78279,656
507,52,657,5,426575,658
508,28,659,9,311688,660
509,8,661,17,406851,662
510,27,663,17,43411,664
511,46,665,7,170127,666
512,47,667,17,302609,668
513,100,669,19,466202,670
514,28,472,16,102148,671
515,32,672,7,341493,673
516,38,674,5,181769,675
517,50,321,7,458351,676
518,19,677,19,285839,678
519,23,679,7,120557,680
520,23,358,6,131308,681
521,10,682,6,113433,683
522,26,684,11,330936,685
523,33,686,12,274772,687
524,30,688,6,113387,689
525,18,690,10,372334,691
526,56,464,18,344773,692
527,39,693,10,32511,694
528,46,695,11,100804,696
529,41,697,0,381586,698
530,36,699,5,167094,700
531,30,701,10,478191,702
532,33,703,6,327062,704
533,22,705,24,38209,706
534,22,581,10,23345,707
535,79,708,15,456635,709
536,23,710,10,49099,711
537,33,476,11,101002,712
538,30,677,20,285839,713
539,40,400,13,477417,714
540,86,715,12,105640,716
541,48,506,15,243781,717
542,35,718,11,31120,719
543,18,602,13,460751,720
544,89,333,5,381573,721
545,24,722,5,47278,723
546,14,724,6,25429,725
547,12,388,7,38950,726
548,14,727,6,103253,728
549,12,469,10,290453,729
550,30,730,5,37170,731
551,43,732,5,392894,733
552,16,734,6,428197,735
553,20,398,6,263070,736
554,28,737,8,47039,738
555,100,739,15,455531,740
556,20,493,5,343105,741
557,19,742,9,131357,743
558,25,506,13,243781,744
559,11,677,19,285839,745
560,32,369,15,476829,746
561,18,747,6,250214,748
562,20,749,15,340507,750
563,49,751,15,250149,752
564,43,361,21,25670,753
565,26,754,7,99001,536
566,32,755,5,339159,756
567,61,757,11,167463,758
568,42,759,15,320659,760
569,15,623,9,435425,761
570,38,762,16,28552,763
571,23,679,6,120557,764
572,47,437,16,115390,765
573,63,653,16,20969,766
574,31,727,7,103253,767
575,26,768,12,364322,769
576,27,770,6,272841,771
577,21,356,6,338583,772
578,24,323,9,285037,773
579,40,390,16,123067,774
580,25,775,6,21890,776
581,33,768,14,364322,777
582,19,778,6,324967,779
583,21,759,15,320659,780
584,21,781,13,344596,782
585,32,677,21,285839,783
586,41,462,7,97362,784
587,29,535,11,318914,355
588,42,785,11,482968,786
589,47,533,14,169874,787
590,35,788,9,311334,789
591,21,476,11,101002,790
592,21,437,16,115390,791
593,27,531,11,286863,792
