Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,18,6,3,22,20,6,17,1,16,28,3,13,18,20
2,18,0,24,22,5,4,24,36,18,2,9,22,32,3,5
3,6,24,0,4,30,26,1,10,7,23,33,4,7,23,26
4,3,22,4,0,26,21,4,14,4,18,29,1,11,21,22
5,22,5,30,26,0,5,29,40,23,7,5,26,38,5,4
6,20,4,26,21,5,0,26,34,19,6,9,22,32,2,2
7,6,24,1,4,29,26,0,10,7,22,34,4,7,25,26
8,17,36,10,14,40,34,10,0,18,33,45,14,4,36,36
9,1,18,7,4,23,19,7,18,0,16,27,4,14,18,18
10,16,2,23,18,7,6,22,33,16,0,11,18,30,5,7
11,28,9,33,29,5,9,34,45,27,11,0,30,42,10,8
12,3,22,4,1,26,22,4,14,4,18,30,0,11,20,23
13,13,32,7,11,38,32,7,4,14,30,42,11,0,30,33
14,18,3,23,21,5,2,25,36,18,5,10,20,30,0,3
15,20,5,26,22,4,2,26,36,18,7,8,23,33,3,0
