ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
182,25,182,5,62124,183
183,56,184,0,342703,185
184,100,184,0,342703,186
185,25,187,10,68261,188
186,35,189,17,185596,190
187,32,191,7,67885,192
188,23,193,9,365267,194
189,21,195,6,22446,196
190,37,197,8,37585,198
191,54,199,20,282840,200
192,22,201,5,130531,202
193,7,203,11,372708,204
194,26,205,8,68604,206
195,16,207,6,253106,208
196,83,209,10,437756,210
197,50,211,12,367837,212
198,13,213,10,39193,214
199,21,211,12,367837,215
200,16,216,10,161941,217
201,47,207,7,253106,218
202,18,219,6,322605,220
203,21,221,6,42844,222
204,8,223,5,39578,224
205,29,225,5,300862,226
206,30,227,6,35499,228
207,11,229,5,265813,230
208,25,201,5,130531,231
209,18,232,5,77915,233
210,12,234,9,267591,235
211,19,236,12,438444,237
212,42,238,10,324475,239
213,20,240,13,438448,241
214,26,223,6,39578,242
215,20,243,16,132152,244
216,14,245,15,61586,246
217,33,247,13,105308,248
218,31,249,7,473935,250
219,16,251,6,112292,252
220,20,253,7,76691,254
221,24,255,5,345515,256
222,21,191,5,67885,257
223,14,229,5,265813,258
224,62,259,9,84655,260
225,30,207,6,253106,261
226,20,262,6,357835,263
227,44,264,5,439069,265
228,20,266,14,245834,267
229,16,268,5,360915,269
230,17,270,6,376738,271
231,25,272,6,185962,273
232,11,274,5,303288,275
233,24,266,13,245834,276
234,19,277,6,37995,278
235,35,279,15,280890,194
236,19,280,7,37329,281
237,31,193,9,365267,282
238,9,283,6,74240,284
239,18,285,5,52824,286
240,16,287,7,49041,288
241,34,289,8,477715,290
242,33,291,9,366106,292
243,20,293,5,260880,294
244,32,201,5,130531,295
245,29,296,7,31259,297
246,38,298,8,463115,299
247,52,300,8,269125,301
248,37,302,5,107107,303
249,17,304,10,322739,305
250,14,306,5,185549,307
251,6,308,5,37330,309
252,9,310,8,118808,311
253,13,312,5,322922,313
254,56,314,11,186377,315
255,14,293,5,260880,316
256,80,317,5,340245,318
257,20,319,6,76213,320
258,34,321,9,33499,322
259,19,193,9,365267,323
260,11,324,15,361026,325
261,36,326,12,308235,327
262,23,240,15,438448,328
263,18,213,11,39193,329
264,75,243,21,132152,330
265,9,277,6,37995,331
266,23,205,7,68604,332
267,29,333,5,120450,334
268,37,251,8,112292,335
269,16,336,5,168928,337
270,16,203,11,372708,338
271,12,264,5,439069,339
272,24,340,11,475840,341
273,25,247,13,105308,342
274,62,343,15,471652,344
275,9,345,13,36287,346
276,35,347,5,277504,348
277,24,349,6,320919,350
278,36,351,5,168068,352
279,27,353,10,78480,354
280,51,225,5,300862,355
281,22,187,9,68261,356
282,4,357,5,118368,358
283,70,359,14,317194,360
284,60,359,15,317194,361
285,18,362,7,59984,363
286,26,289,8,477715,364
287,23,365,5,31663,366
288,21,367,6,106643,368
289,18,279,14,280890,369
290,35,351,5,168068,370
291,15,371,8,483419,372
292,20,283,7,74240,373
293,31,374,6,280541,375
294,36,376,10,334019,377
295,27,378,6,184923,379
296,9,277,6,37995,380
297,25,381,5,302066,382
298,65,383,11,439214,384
299,51,385,7,22556,386
300,13,387,5,37300,388
301,24,389,6,114392,390
302,19,277,7,37995,391
303,28,392,5,322329,393
304,17,394,6,40820,395
305,42,396,16,289868,397
306,8,347,5,277504,398
307,8,399,5,100053,400
308,7,401,5,107603,402
309,81,264,7,439069,403
310,20,266,15,245834,286
311,36,404,6,105504,405
312,99,406,8,340244,407
313,13,408,5,120416,409
314,14,410,8,29033,398
315,34,411,8,357036,412
316,13,413,5,31786,414
317,25,343,11,471652,415
318,20,416,8,474846,417
319,40,418,8,447114,419
320,15,420,5,67158,421
321,8,422,5,46569,214
322,16,423,5,287499,424
323,24,336,5,168928,425
324,14,426,5,199877,335
325,9,427,5,181649,428
326,18,429,5,62275,430
327,18,431,15,39381,432
328,16,433,6,267263,434
329,14,396,16,289868,435
330,15,272,5,185962,436
331,37,437,14,313728,438
332,60,439,8,262439,440
333,18,201,5,130531,441
334,63,376,13,334019,442
335,41,443,7,54809,444
336,57,445,15,430119,446
337,20,191,5,67885,447
338,43,448,20,341143,449
339,31,187,11,68261,450
340,19,362,8,59984,451
341,18,304,11,322739,452
342,71,453,13,35945,454
343,26,455,9,459505,456
344,41,457,17,45064,458
345,18,266,15,245834,459
346,18,213,11,39193,460
347,64,461,0,381552,462
348,38,238,11,324475,463
349,13,464,14,344554,465
350,54,466,15,170163,467
351,43,468,15,435298,469
352,25,470,9,64472,471
353,72,296,7,31259,472
354,36,473,14,61616,474
355,17,466,12,170163,475
356,12,476,5,74145,339
357,32,477,12,390582,478
358,56,479,13,452432,480
359,35,243,19,132152,438
360,54,457,18,45064,481
361,100,482,19,36509,483
362,30,367,7,106643,484
363,30,279,16,280890,485
364,23,486,9,38686,487
365,23,488,12,391057,489
366,22,490,6,41124,491
367,8,321,8,33499,492
368,20,345,13,36287,493
369,18,494,6,448707,495
370,37,496,7,38775,497
371,19,277,8,37995,498
372,11,499,25,460533,500
373,31,501,10,440110,502
374,34,503,11,274403,504
375,27,213,12,39193,505
376,88,279,20,280890,506
377,35,396,16,289868,507
378,39,437,15,313728,250
379,65,445,15,430119,508
380,25,509,9,69036,510
381,37,240,16,438448,316
382,34,511,9,366489,512
383,34,431,17,39381,513
384,21,514,16,249214,515
385,25,262,6,357835,516
386,25,517,17,266422,518
387,20,519,14,278539,520
388,19,521,8,107596,522
389,28,411,8,357036,523
390,15,524,13,71919,311
391,48,525,12,74724,526
392,45,525,13,74724,527
393,36,528,8,184025,529
394,25,464,15,344554,530
395,50,509,10,69036,531
