ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
92,10,92,8,43618,93
93,4,94,9,46718,95
94,2,96,8,36195,97
95,5,98,10,2139,99
96,7,100,9,1011,101
97,1,102,4,6364,103
98,8,104,10,455,105
99,15,106,9,41300,107
100,5,108,10,37476,109
101,29,110,12,28501,111
102,1,112,5,448,113
103,3,114,10,42233,115
104,5,116,12,46688,117
105,5,118,10,33697,119
106,100,120,15,41534,121
107,1,122,7,543,123
108,16,110,9,28501,124
109,18,125,11,35957,126
110,22,127,3,32813,128
111,16,127,3,32813,129
112,1,130,13,43673,131
113,80,127,3,32813,132
114,6,133,5,6519,134
115,6,100,9,1011,135
116,3,122,7,543,136
117,4,127,3,32813,137
118,8,138,8,45876,139
119,13,140,6,6518,141
120,53,142,33,41241,143
121,8,144,8,2144,145
122,7,146,5,43715,147
123,1,148,9,42325,149
124,7,104,10,455,150
125,70,127,3,32813,147
126,31,127,3,32813,151
127,5,152,6,45586,153
128,4,154,5,33540,155
129,8,156,5,43513,157
130,7,158,11,2596,159
131,7,160,7,46973,161
132,6,162,5,42486,163
133,7,164,5,44654,165
134,3,166,5,39672,167
135,10,168,5,6527,169
136,3,170,7,35952,171
137,16,127,2,32813,172
138,8,173,6,32768,174
139,8,175,13,438,176
140,16,177,6,46102,178
141,13,179,6,47112,180
142,10,181,6,1015,182
143,1,183,6,5478,184
144,100,127,2,32813,185
145,3,186,8,44145,187
146,6,179,5,47112,188
147,5,186,9,44145,189
148,38,181,6,1015,190
149,5,191,5,33825,192
150,13,193,12,450,194
151,3,195,5,47246,196
152,13,197,8,45906,198
153,1,183,5,5478,199
154,79,142,33,41241,200
155,15,160,9,46973,201
156,6,193,10,450,202
157,6,203,9,44629,204
158,3,205,4,46626,206
159,3,170,7,35952,207
160,24,142,33,41241,208
161,3,183,6,5478,209
162,16,142,33,41241,210
163,6,211,6,36653,212
164,7,213,4,35653,214
165,10,116,14,46688,215
166,3,216,9,2111,217
167,5,118,10,33697,218
168,31,142,23,41241,219
169,4,220,10,2781,221
170,10,140,6,6518,222
171,40,122,19,543,223
172,100,142,23,41241,224
173,10,142,23,41241,225
174,1,122,7,543,226
175,49,142,23,41241,227
176,40,142,23,41241,228
