Locations,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,24,8,12,12,12,0,12,9,21,17,10,14
2,24,0,15,12,13,12,23,12,16,27,23,14,17
3,8,15,0,4,4,4,8,4,1,15,11,2,17
4,12,12,4,0,0,3,12,3,3,18,14,2,14
5,12,13,4,0,0,4,12,3,3,18,15,2,15
6,12,12,4,3,4,0,13,1,4,14,12,2,18
7,0,23,8,12,12,13,0,13,9,21,18,10,13
8,12,12,4,3,3,1,13,0,4,16,12,3,17
9,9,16,1,3,3,4,9,4,0,16,12,2,18
10,21,27,15,18,18,14,21,16,16,0,4,17,32
11,17,23,11,14,15,12,18,12,12,4,0,12,28
12,10,14,2,2,2,2,10,3,2,17,12,0,16
13,14,17,17,14,15,18,13,17,18,32,28,16,0
