ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
23,9,23,10,23585,24
24,2,25,8,81771,26
25,5,23,9,23585,27
26,16,28,16,46950,29
27,3,30,12,48292,31
28,8,28,16,46950,32
29,10,28,15,46950,33
30,3,34,10,134059,35
31,6,36,9,45125,37
32,7,38,11,98730,39
33,2,30,12,48292,40
34,7,28,13,46950,41
35,18,42,18,21076,43
36,3,44,13,117767,45
37,9,46,10,107176,47
38,2,48,10,44983,49
39,7,50,15,12540,51
40,5,28,15,46950,52
41,16,53,17,121136,54
42,6,55,9,47340,56
43,6,23,10,23585,57
44,9,50,15,12540,58
45,3,59,10,112280,60
46,2,28,12,46950,61
47,9,46,12,107176,62
48,18,63,7,125263,64
49,4,65,6,116948,66
50,2,67,9,75960,68
51,6,28,13,46950,69
52,8,70,14,122652,71
53,6,72,13,134322,73
54,5,70,13,122652,74
