Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,34,35,36,101,23,18,41,34,31,36,34,1,6,30,17,28,21
2,34,0,19,1,61,14,27,17,1,6,1,3,37,43,6,31,9,14
3,35,19,0,19,64,24,29,4,18,14,20,20,38,41,14,32,17,23
4,36,1,19,0,63,13,28,16,1,6,1,2,36,41,6,32,9,14
5,101,61,64,63,0,79,91,61,64,71,66,66,102,106,67,98,71,78
6,23,14,24,13,79,0,15,20,14,10,14,12,22,28,10,18,7,1
7,18,27,29,28,91,15,0,32,27,24,27,27,19,13,23,4,20,14
8,41,17,4,16,61,20,32,0,16,11,17,16,39,44,11,36,14,20
9,34,1,18,1,64,14,27,16,0,5,1,2,35,39,5,32,8,13
10,31,6,14,6,71,10,24,11,5,0,6,6,28,36,1,27,4,10
11,36,1,20,1,66,14,27,17,1,6,0,2,34,41,6,32,9,14
12,34,3,20,2,66,12,27,16,2,6,2,0,33,39,6,31,7,12
13,1,37,38,36,102,22,19,39,35,28,34,33,0,6,28,17,26,21
14,6,43,41,41,106,28,13,44,39,36,41,39,6,0,35,12,32,27
15,30,6,14,6,67,10,23,11,5,1,6,6,28,35,0,27,4,9
16,17,31,32,32,98,18,4,36,32,27,32,31,17,12,27,0,24,18
17,28,9,17,9,71,7,20,14,8,4,9,7,26,32,4,24,0,6
18,21,14,23,14,78,1,14,20,13,10,14,12,21,27,9,18,6,0
