ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
109,12,109,6,14631,110
110,19,111,27,36398,112
111,18,111,31,36398,113
112,15,114,15,23684,115
113,8,116,11,2648,117
114,8,118,10,37569,119
115,18,120,21,22355,121
116,7,122,7,25359,123
117,7,122,8,25359,124
118,9,125,8,25365,126
119,12,122,8,25359,127
120,15,128,20,3488,129
121,16,130,12,30587,131
122,18,132,17,32507,133
123,19,134,19,10340,135
124,10,136,20,24098,137
125,14,128,21,3488,138
126,19,139,23,3448,140
127,20,141,16,24668,142
128,20,111,18,24440,143
129,8,144,12,3344,145
130,16,146,16,18954,147
131,31,130,15,30587,148
132,18,111,18,24440,149
133,10,150,8,23594,151
134,18,152,14,28269,153
135,18,154,8,20584,155
136,19,111,29,36398,156
137,14,157,41,37659,158
138,20,159,18,20924,160
139,14,161,26,4791,162
140,15,163,14,34025,164
141,16,114,15,23684,165
142,23,166,11,3009,167
143,7,168,13,18966,169
144,15,128,21,3488,170
145,30,152,16,28269,171
146,16,172,10,18965,173
147,17,174,9,2777,175
148,18,176,9,18975,177
149,11,178,15,3841,179
150,10,180,14,35885,181
151,19,125,9,25365,182
152,17,183,7,25432,184
153,12,185,21,12797,186
154,30,187,13,31233,188
155,40,111,32,36398,189
156,14,157,39,37659,190
157,14,191,14,35674,192
158,18,136,20,24098,193
159,13,194,20,4238,195
160,16,196,6,17157,197
161,29,198,21,35209,199
162,14,200,13,3476,201
163,37,202,30,9282,203
164,17,116,11,2648,204
165,12,205,15,2768,206
166,12,122,8,25359,207
167,19,120,21,22355,208
168,8,144,11,3344,209
169,18,141,16,24668,210
170,23,211,9,25424,212
171,38,213,5,14338,214
172,19,122,8,25359,215
173,10,150,8,23594,216
174,13,217,11,36172,218
175,53,185,25,12797,219
176,18,220,9,9064,221
177,11,222,25,3857,223
178,34,111,18,24440,224
179,7,213,5,14338,225
180,18,152,14,28269,226
181,14,198,18,35209,227
182,19,111,18,24440,228
183,11,213,5,14338,229
184,18,230,18,2910,231
185,19,125,9,25365,232
186,100,233,16,3476,200
187,11,234,12,30488,235
188,14,220,10,9064,236
189,18,116,11,2648,237
190,23,238,15,19610,239
191,19,111,18,24440,240
192,21,213,5,14338,241
193,18,141,16,24668,242
194,6,243,6,22207,244
195,16,116,11,2648,245
196,8,246,7,38402,247
197,33,178,18,3841,248
198,8,196,5,17157,249
199,40,111,18,24440,250
200,22,251,7,22774,252
201,36,111,18,24440,253
202,18,111,18,24440,254
203,30,152,15,28269,255
204,22,185,23,12797,256
205,100,257,12,3344,144
206,15,128,20,3488,258
207,9,114,15,23684,259
208,17,260,9,2401,261
209,14,262,14,38433,263
210,15,163,15,34025,264
211,12,111,18,24440,265
212,17,260,9,2401,266
213,13,230,16,2910,267
214,1,268,6,5730,269
215,9,222,24,3857,270
216,20,271,16,17298,272
217,13,230,16,2910,273
218,26,122,9,25359,274
219,9,275,17,17097,276
220,46,230,21,2910,277
221,10,278,21,27916,279
222,21,222,25,3857,280
223,30,281,22,23150,282
224,19,111,25,36398,283
225,14,157,37,37659,284
226,51,285,22,36972,286
227,17,217,11,36172,287
228,67,288,27,15269,289
229,18,141,17,24668,290
230,22,111,18,24440,291
231,18,152,16,28269,292
232,52,293,18,19700,294
233,18,120,21,22355,295
234,16,168,13,18966,296
235,29,198,22,35209,297
236,36,163,18,34025,298
237,13,299,5,11017,300
238,18,120,21,22355,301
239,18,111,18,24440,302
240,18,134,20,10340,303
241,54,304,7,30151,305
242,18,141,16,24668,306
243,19,134,19,10340,307
