Locations,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,4,11,8,4,14,4,3,13,11,19,3,11
2,4,0,14,10,0,17,1,6,16,14,20,6,14
3,11,14,0,6,15,6,15,8,6,1,18,9,10
4,8,10,6,0,10,7,10,8,6,7,12,7,5
5,4,0,15,10,0,18,1,6,16,14,20,6,14
6,14,17,6,7,18,0,17,12,1,6,12,12,7
7,4,1,15,10,1,17,0,6,16,14,22,6,14
8,3,6,8,8,6,12,6,0,11,9,19,1,12
9,13,16,6,6,16,1,16,11,0,6,12,10,6
10,11,14,1,7,14,6,14,9,6,0,18,8,11
11,19,20,18,12,20,12,22,19,12,18,0,20,8
12,3,6,9,7,6,12,6,1,10,8,20,0,12
13,11,14,10,5,14,7,14,12,6,11,8,12,0
