Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0,17,16,2,6,8,18,3,4,9,16,3,8,5,3,4,8,2,6,11,26,22,15,18,20,15,9,26,14
2,17,0,7,18,10,8,9,18,19,8,2,18,9,12,18,19,14,14,19,6,10,6,3,2,4,1,8,10,2
3,16,7,0,17,10,9,14,18,18,6,8,17,10,11,18,18,13,14,18,8,12,8,5,7,5,8,15,11,7
4,2,18,17,0,7,10,19,1,6,11,18,1,8,7,1,6,9,4,8,12,27,23,15,18,20,17,10,27,16
5,6,10,10,7,0,2,13,8,8,7,10,7,2,2,7,8,12,4,10,6,20,17,8,12,14,10,5,21,8
6,8,8,9,10,2,0,10,9,10,6,9,10,1,3,9,10,10,6,10,4,19,14,7,10,13,8,6,20,7
7,18,9,14,19,13,10,0,20,21,12,7,18,11,14,18,20,16,16,21,8,9,7,11,8,12,8,10,10,8
8,3,18,18,1,8,9,20,0,6,10,18,1,9,6,1,7,11,4,8,13,28,23,16,19,23,17,10,29,15
9,4,19,18,6,8,10,21,6,0,11,19,6,10,7,6,1,5,6,2,13,29,24,17,20,23,17,12,28,17
10,9,8,6,11,7,6,12,10,11,0,8,11,7,6,11,12,7,8,12,5,17,14,6,9,11,7,12,17,6
11,16,2,8,18,10,9,7,18,19,8,0,18,10,12,18,19,14,15,18,6,10,6,4,2,4,2,8,10,2
12,3,18,17,1,7,10,18,1,6,11,18,0,9,6,1,6,10,4,8,13,28,23,16,20,23,18,10,28,16
13,8,9,10,8,2,1,11,9,10,7,10,9,0,3,9,10,10,5,9,4,19,16,8,11,14,8,5,20,8
14,5,12,11,7,2,3,14,6,7,6,12,6,3,0,6,8,9,3,8,7,22,18,10,13,16,10,6,22,10
15,3,18,18,1,7,9,18,1,6,11,18,1,9,6,0,6,10,4,8,12,27,23,15,18,21,18,10,28,16
16,4,19,18,6,8,10,20,7,1,12,19,6,10,8,6,0,5,6,2,13,28,24,17,21,22,18,12,30,16
17,8,14,13,9,12,10,16,11,5,7,14,10,10,9,10,5,0,9,5,9,26,20,12,16,17,13,15,23,12
18,2,14,14,4,4,6,16,4,6,8,15,4,5,3,4,6,9,0,7,9,25,20,12,16,18,13,7,24,12
19,6,19,18,8,10,10,21,8,2,12,18,8,9,8,8,2,5,7,0,14,28,24,16,19,22,18,14,29,16
20,11,6,8,12,6,4,8,13,13,5,6,13,4,7,12,13,9,9,14,0,16,11,4,7,10,4,7,16,4
21,26,10,12,27,20,19,9,28,29,17,10,28,19,22,27,28,26,25,28,16,0,5,13,9,7,12,18,4,12
22,22,6,8,23,17,14,7,23,24,14,6,23,16,18,23,24,20,20,24,11,5,0,8,4,5,7,13,5,8
23,15,3,5,15,8,7,11,16,17,6,4,16,8,10,15,17,12,12,16,4,13,8,0,4,6,3,10,12,2
24,18,2,7,18,12,10,8,19,20,9,2,20,11,13,18,21,16,16,19,7,9,4,4,0,4,3,10,9,4
25,20,4,5,20,14,13,12,23,23,11,4,23,14,16,21,22,17,18,22,10,7,5,6,4,0,5,12,7,6
26,15,1,8,17,10,8,8,17,17,7,2,18,8,10,18,18,13,13,18,4,12,7,3,3,5,0,8,11,1
27,9,8,15,10,5,6,10,10,12,12,8,10,5,6,10,12,15,7,14,7,18,13,10,10,12,8,0,18,8
28,26,10,11,27,21,20,10,29,28,17,10,28,20,22,28,30,23,24,29,16,4,5,12,9,7,11,18,0,12
29,14,2,7,16,8,7,8,15,17,6,2,16,8,10,16,16,12,12,16,4,12,8,2,4,6,1,8,12,0
