ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
65,5,65,2,86654,66
66,11,65,2,86654,67
67,100,65,2,86654,68
68,8,69,7,104838,70
69,14,71,18,111288,72
70,14,73,10,110301,74
71,43,65,2,86654,75
72,6,73,9,110301,76
73,7,77,5,103944,78
74,30,79,12,11393,80
75,24,81,3,111723,82
76,21,83,15,109210,84
77,20,85,9,112992,86
78,39,81,3,111723,87
79,9,88,4,95433,89
80,7,81,3,111723,90
81,32,91,10,9591,92
82,5,93,7,112769,94
83,9,93,7,112769,95
84,11,93,7,112769,96
85,66,65,2,86654,97
86,79,65,2,86654,98
87,43,65,2,86654,99
88,13,81,3,111723,100
89,1,101,4,103868,102
90,34,81,3,111723,103
91,6,81,3,111723,104
92,1,101,4,103868,105
93,10,93,8,112769,106
94,1,107,6,113774,108
95,100,81,3,111723,109
96,10,65,2,86654,110
97,3,111,8,110295,112
98,100,65,2,86654,68
99,82,65,2,86654,113
100,23,65,2,86654,114
101,100,81,5,111723,115
102,13,73,9,110301,116
103,30,117,8,97911,118
104,9,81,3,111723,119
105,36,120,14,95107,121
106,18,122,10,113725,123
107,8,73,9,110301,124
108,25,65,2,86654,125
109,6,111,8,110295,126
110,19,83,14,109210,127
111,16,93,7,112769,128
112,17,65,2,86654,129
113,30,130,7,103704,131
114,16,65,2,86654,98
115,38,132,12,110711,133
116,5,65,2,86654,134
117,28,81,3,111723,135
118,9,65,2,86654,136
119,7,83,12,109210,137
120,11,138,7,108669,139
121,49,81,3,111723,140
122,6,65,2,86654,141
123,12,81,3,111723,142
124,8,65,2,86654,143
125,1,144,6,9763,145
126,17,146,5,103071,147
127,12,65,2,86654,148
128,36,149,5,110955,97
129,48,73,13,110301,150
130,88,65,2,86654,151
131,12,73,10,110301,152
132,9,85,8,112992,153
133,5,83,13,109210,154
134,9,85,8,112992,155
135,20,156,15,114502,157
136,8,158,9,114541,159
137,61,65,2,86654,160
