ID,Location,Capacity
1,1,175
2,2,175
3,3,175
4,4,175
5,5,175
6,6,175
7,7,175
8,8,175
9,9,175
10,10,175
11,11,175
12,12,175
13,13,175
14,14,175
15,15,175
16,16,175
17,17,175
18,18,175
19,19,175
20,20,175
21,21,175
22,22,175
23,23,175
24,24,175
25,25,175
26,26,175
27,27,175
28,28,175
29,29,175
30,30,175
31,31,175
32,32,175
33,33,175
34,34,175
35,35,175
36,36,175
37,37,175
38,38,175
39,39,175
40,40,175
41,41,175
42,42,175
43,43,175
44,44,175
45,45,175
46,46,175
47,47,175
48,48,175
49,49,175
50,50,175
51,51,175
52,52,175
53,53,175
54,54,175
55,55,175
56,56,175
57,57,175
58,58,175
59,59,175
60,60,175
61,61,175
62,62,175
63,63,175
64,64,175
65,65,175
66,66,175
67,67,175
68,68,175
69,69,175
70,70,175
71,71,175
72,72,175
73,73,175
74,74,175
75,75,175
76,76,175
77,77,175
78,78,175
79,79,175
80,80,175
81,81,175
82,82,175
83,83,175
84,84,175
85,85,175
86,86,175
87,87,175
88,88,175
89,89,175
90,90,175
91,91,175
92,92,175
93,93,175
94,94,175
95,95,175
96,96,175
97,97,175
98,98,175
99,99,175
100,100,175
101,101,175
102,102,175
103,103,175
104,104,175
105,105,175
106,106,175
107,107,175
108,108,175
109,109,175
110,110,175
111,111,175
112,112,175
113,113,175
114,114,175
115,115,175
116,116,175
117,117,175
118,118,100
119,119,175
120,120,175
121,121,175
122,122,175
123,123,175
124,124,175
125,125,175
126,126,175
127,127,175
128,128,175
129,129,175
130,130,175
131,131,175
132,132,175
