ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
133,7,133,10,1458,134
134,31,135,10,989,136
135,14,137,11,39659,138
136,39,139,21,35210,140
137,34,141,26,27014,142
138,13,143,14,37077,144
139,12,145,9,36037,146
140,12,147,9,34017,148
141,100,149,23,27736,150
142,14,151,6,824,152
143,9,153,16,36311,154
144,11,155,9,716,156
145,36,157,16,2118,158
146,8,159,9,38814,160
147,17,161,13,29651,162
148,17,163,25,33492,164
149,9,165,17,34206,166
150,21,167,9,38376,168
151,8,169,15,35322,170
152,15,171,14,3065,172
153,11,173,19,37479,174
154,8,175,14,40280,176
155,8,177,10,3283,178
156,7,163,25,33492,179
157,9,163,25,33492,180
158,8,181,10,34046,182
159,17,183,15,32756,184
160,22,185,15,39454,186
161,21,187,19,36714,188
162,9,189,6,1741,190
163,12,191,17,32772,192
164,8,193,6,36434,194
165,21,147,11,34017,195
166,12,196,9,29352,197
167,14,198,14,35789,199
168,8,200,9,2465,201
169,27,202,19,34995,203
170,11,204,8,27984,205
171,23,206,17,35035,207
172,7,208,8,33399,209
173,36,210,6,32782,211
174,13,212,7,2397,213
175,20,191,17,32772,214
176,11,183,12,36321,215
177,31,216,6,33870,217
178,7,218,15,37287,219
179,11,220,16,38235,221
180,12,181,10,34046,222
181,9,223,12,38566,224
182,11,225,11,420,226
183,16,163,25,33492,227
184,8,228,7,684,229
185,18,230,11,35090,231
186,18,206,18,35035,232
187,12,145,9,36037,233
188,9,189,6,1741,234
189,7,235,12,2373,236
190,15,177,14,3283,237
191,32,238,6,3365,239
192,23,183,14,36321,240
193,11,241,11,39697,242
194,21,206,18,35035,243
195,44,187,22,36714,244
196,8,175,14,40280,245
197,23,218,17,37287,246
198,18,247,9,38860,248
199,11,249,7,36022,250
200,8,251,19,37802,252
201,7,147,9,34017,253
202,14,254,20,35822,255
203,9,256,10,2019,257
204,21,258,8,32903,259
205,22,260,11,457,261
206,7,163,25,33492,262
207,8,163,25,33492,263
208,19,264,14,28275,265
209,20,266,20,27849,267
210,9,268,10,594,269
211,22,270,28,36420,271
212,30,272,15,39226,273
213,19,230,12,35090,274
214,9,275,16,1826,276
215,7,185,11,39454,277
216,13,173,20,37479,278
217,8,279,6,32287,280
218,9,177,14,3283,281
219,15,282,16,30528,283
220,10,284,9,34792,285
221,24,206,19,35035,286
222,30,163,25,33492,287
223,7,200,9,2465,288
224,7,289,8,32312,290
225,42,151,6,824,291
226,28,292,14,26768,293
227,13,294,20,37487,295
228,11,294,15,37487,296
229,100,149,23,27736,150
230,7,153,15,36311,297
231,7,133,11,1458,298
232,21,171,16,3065,299
233,9,300,6,38657,301
234,9,302,18,34095,303
235,42,149,5,27736,304
236,11,155,9,716,305
237,15,185,12,39454,306
238,11,307,6,27017,308
239,14,202,17,34995,309
240,21,202,21,34995,310
241,32,149,5,27736,311
242,10,258,6,32903,312
243,24,191,17,32772,313
244,9,275,15,1826,276
245,19,191,17,32772,314
246,14,315,7,2680,316
247,16,147,10,34017,317
248,10,202,19,34995,318
249,10,187,17,36714,319
250,7,320,14,40175,321
251,16,322,16,39127,323
252,18,324,14,39896,325
253,9,167,7,38376,326
254,27,256,14,2019,327
255,20,328,12,40070,329
256,9,143,13,37077,330
257,9,145,8,36037,331
258,17,193,8,36434,332
259,10,133,10,1458,333
260,21,334,18,37675,335
261,7,289,6,32312,336
262,20,334,17,37675,337
263,7,202,19,34995,338
264,9,163,25,33492,339
265,8,340,16,36200,341
266,24,279,8,32287,342
267,17,343,10,33961,344
268,11,345,13,30200,336
269,26,346,17,27373,347
270,17,202,19,34995,348
271,11,294,19,37487,349
272,12,183,14,32756,350
273,100,351,47,39602,352
274,11,191,17,32772,353
275,100,149,23,27736,150
276,100,354,12,510,355
277,14,157,10,2118,356
278,15,357,14,780,358
279,21,225,13,420,359
280,14,360,14,37857,361
281,13,218,16,37287,362
282,9,363,9,39227,364
283,100,351,47,39602,352
284,10,365,13,33549,363
285,48,366,40,39601,367
286,14,163,25,33492,368
287,7,198,13,35789,369
288,8,266,20,27849,370
289,12,294,18,37487,371
290,26,372,7,27748,373
291,14,157,12,2118,374
292,9,208,9,33399,375
293,18,139,19,35210,376
294,17,141,22,27014,377
295,8,315,6,2680,378
296,17,189,6,1741,379
297,9,183,14,32756,380
298,8,143,13,37077,381
299,8,289,9,32312,382
300,7,383,5,990,384
301,16,385,9,1899,386
302,23,225,14,420,387
303,12,388,28,30189,389
304,16,390,15,30596,391
305,72,135,11,989,392
306,42,135,8,989,393
307,7,394,9,31337,395
308,15,328,12,40070,396
309,8,397,14,29505,398
310,34,225,16,420,399
311,20,400,6,1158,401
312,38,135,8,989,402
313,27,403,11,3419,404
314,13,320,15,40175,405
315,8,167,8,38376,406
316,26,407,13,26695,408
