ID,Location,Capacity
1,1,10000
2,2,10000
3,3,10000
4,4,10000
5,5,10000
6,6,10000
7,7,10000
8,8,10000
9,9,10000
10,10,10000
11,11,10000
12,12,10000
13,13,10000
14,14,10000
15,15,10000
16,16,10000
17,17,10000
18,18,10000
19,19,10000
20,20,10000
21,21,10000
22,22,10000
23,23,10000
24,24,10000
25,25,10000
26,26,10000
27,27,10000
28,28,10000
29,29,10000
30,30,10000
31,31,10000
32,32,10000
33,33,10000
34,34,10000
35,35,10000
36,36,10000
37,37,10000
38,38,10000
39,39,10000
40,40,10000
41,41,10000
42,42,10000
43,43,10000
44,44,10000
45,45,10000
46,46,10000
47,47,10000
48,48,10000
49,49,10000
50,50,10000
51,51,10000
52,52,10000
53,53,10000
54,54,10000
55,55,10000
56,56,10000
57,57,10000
58,58,10000
59,59,10000
60,60,10000
61,61,10000
62,62,10000
63,63,10000
64,64,10000
65,65,10000
66,66,10000
67,67,10000
68,68,10000
69,69,10000
70,70,10000
71,71,10000
72,72,10000
73,73,10000
74,74,10000
75,75,10000
76,76,10000
77,77,10000
78,78,10000
79,79,10000
80,80,10000
81,81,10000
82,82,10000
83,83,10000
84,84,10000
85,85,10000
86,86,10000
87,87,10000
88,88,10000
89,89,10000
90,90,10000
91,91,10000
92,92,10000
93,93,10000
94,94,10000
95,95,10000
96,96,10000
97,97,10000
98,98,10000
99,99,10000
100,100,10000
101,101,10000
102,102,10000
103,103,10000
104,104,10000
105,105,10000
106,106,10000
107,107,10000
108,108,10000
109,109,10000
110,110,10000
111,111,10000
112,112,10000
113,113,10000
114,114,10000
115,115,10000
116,116,10000
117,117,10000
118,118,10000
119,119,10000
120,120,10000
121,121,10000
122,122,10000
123,123,10000
124,124,10000
125,125,10000
126,126,10000
127,127,10000
128,128,10000
129,129,10000
130,130,10000
131,131,10000
132,132,10000
133,133,10000
134,134,10000
135,135,10000
136,136,10000
137,137,10000
138,138,10000
139,139,10000
140,140,10000
141,141,10000
142,142,10000
143,143,10000
144,144,10000
145,145,10000
146,146,10000
147,147,10000
148,148,10000
149,149,10000
150,150,10000
151,151,10000
152,152,10000
153,153,10000
154,154,10000
155,155,10000
156,156,10000
157,157,10000
158,158,10000
159,159,10000
160,160,10000
161,161,10000
162,162,10000
163,163,10000
164,164,10000
165,165,10000
166,166,10000
167,167,10000
168,168,10000
169,169,10000
170,170,10000
171,171,10000
172,172,10000
173,173,10000
174,174,10000
175,175,10000
176,176,10000
177,177,10000
178,178,10000
179,179,10000
180,180,10000
181,181,10000
182,182,10000
183,183,10000
184,184,10000
185,185,10000
186,186,10000
187,187,10000
188,188,10000
189,189,10000
190,190,10000
191,191,10000
192,192,10000
193,193,10000
194,194,10000
195,195,10000
196,196,10000
197,197,10000
198,198,10000
199,199,10000
200,200,10000
201,201,10000
202,202,10000
203,203,10000
204,204,10000
205,205,10000
206,206,10000
207,207,10000
208,208,10000
209,209,10000
210,210,10000
211,211,10000
212,212,10000
213,213,10000
214,214,10000
215,215,10000
216,216,10000
217,217,10000
218,218,10000
219,219,10000
220,220,10000
221,221,10000
222,222,10000
223,223,10000
224,224,10000
225,225,10000
226,226,10000
227,227,10000
228,228,10000
229,229,10000
230,230,10000
231,231,10000
232,232,10000
233,233,10000
234,234,10000
235,235,10000
236,236,10000
237,237,10000
238,238,10000
239,239,10000
240,240,10000
241,241,10000
242,242,10000
243,243,10000
244,244,10000
245,245,10000
246,246,10000
247,247,10000
248,248,10000
249,249,10000
250,250,10000
251,251,10000
252,252,10000
253,253,10000
254,254,10000
255,255,10000
256,256,10000
257,257,10000
258,258,10000
259,259,10000
260,260,10000
261,261,10000
262,262,10000
263,263,10000
264,264,10000
265,265,10000
266,266,10000
267,267,10000
268,268,10000
269,269,10000
270,270,10000
271,271,10000
272,272,10000
273,273,10000
274,274,10000
275,275,10000
276,276,10000
277,277,10000
278,278,10000
279,279,10000
280,280,10000
281,281,10000
282,282,10000
283,283,10000
284,284,10000
285,285,10000
286,286,10000
287,287,10000
288,288,10000
289,289,10000
290,290,10000
291,291,10000
292,292,10000
293,293,10000
294,294,10000
295,295,10000
296,296,10000
297,297,10000
298,298,10000
299,299,10000
300,300,10000
301,301,10000
302,302,10000
303,303,10000
304,304,10000
305,305,10000
306,306,10000
307,307,10000
308,308,10000
309,309,10000
310,310,10000
311,311,10000
312,312,10000
313,313,10000
314,314,10000
315,315,10000
316,316,10000
317,317,10000
318,318,10000
319,319,10000
320,320,10000
321,321,10000
322,322,10000
323,323,10000
324,324,10000
325,325,10000
326,326,10000
327,327,10000
328,328,10000
329,329,10000
330,330,10000
331,331,10000
332,332,10000
333,333,10000
334,334,10000
335,335,10000
336,336,10000
337,337,10000
338,338,10000
339,339,10000
340,340,10000
341,341,10000
342,342,10000
343,343,10000
344,344,10000
345,345,10000
346,346,10000
347,347,10000
348,348,10000
349,349,10000
350,350,10000
351,351,10000
352,352,10000
353,353,10000
354,354,10000
355,355,10000
356,356,10000
357,357,10000
358,358,10000
359,359,10000
360,360,10000
361,361,10000
362,362,10000
363,363,10000
364,364,10000
365,365,10000
366,366,10000
367,367,10000
368,368,10000
369,369,10000
370,370,10000
371,371,10000
372,372,10000
373,373,10000
374,374,10000
375,375,10000
376,376,10000
377,377,10000
378,378,10000
379,379,10000
380,380,10000
381,381,10000
382,382,10000
383,383,10000
384,384,10000
385,385,10000
386,386,10000
387,387,10000
388,388,10000
389,389,10000
390,390,10000
391,391,10000
392,392,10000
393,393,10000
394,394,10000
395,395,10000
396,396,10000
397,397,10000
398,398,10000
399,399,10000
400,400,10000
401,401,10000
402,402,10000
403,403,10000
404,404,10000
405,405,10000
406,406,10000
407,407,10000
408,408,10000
409,409,10000
410,410,10000
411,411,10000
412,412,10000
413,413,10000
