Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0,13,13,7,14,8,26,16,6,2,4,25,7,8,2,8,8,3,9,10,5,0,3,8,13,16,2,7,10,5
2,13,0,26,20,2,6,13,8,8,16,16,14,20,12,14,20,6,11,10,16,12,14,15,20,25,8,16,12,15,17
3,13,26,0,10,26,20,40,28,18,10,10,39,6,14,12,10,20,16,15,10,14,14,11,6,2,29,11,15,10,9
4,7,20,10,0,20,13,32,22,10,9,11,33,6,15,6,2,13,10,16,16,12,7,4,7,12,21,8,14,16,10
5,14,2,26,20,0,7,11,9,10,17,18,11,21,14,16,22,8,12,12,17,14,15,18,22,27,9,17,13,17,19
6,8,6,20,13,7,0,18,9,3,10,10,19,14,7,9,14,1,6,6,10,7,8,10,14,20,8,10,6,10,11
7,26,13,40,32,11,18,0,16,22,29,28,0,32,26,28,34,19,23,22,28,25,25,26,32,38,15,29,24,29,31
8,16,8,28,22,9,9,16,0,10,17,18,15,22,16,16,22,8,14,13,19,16,16,18,22,29,0,18,14,19,21
9,6,8,18,10,10,3,22,10,0,7,8,22,12,6,7,12,3,3,7,8,4,6,7,12,18,11,7,5,8,9
10,2,16,10,9,17,10,29,17,7,0,3,27,6,6,4,9,10,5,7,8,4,2,5,5,11,18,1,5,8,2
11,4,16,10,11,18,10,28,18,8,3,0,29,5,4,6,11,10,6,6,6,4,4,7,5,10,18,4,5,6,2
12,25,14,39,33,11,19,0,15,22,27,29,0,33,24,27,32,19,24,24,30,25,26,27,32,38,15,28,24,30,30
13,7,20,6,6,21,14,32,22,12,6,5,33,0,9,6,7,15,10,10,10,8,7,6,1,6,24,6,9,10,4
14,8,12,14,15,14,7,26,16,6,6,4,24,9,0,10,16,7,6,2,4,4,8,11,8,14,15,8,2,4,5
15,2,14,12,6,16,9,28,16,7,4,6,27,6,10,0,6,9,4,11,12,7,2,2,6,12,17,3,8,12,5
16,8,20,10,2,22,14,34,22,12,9,11,32,7,16,6,0,14,10,16,17,12,8,5,8,12,22,8,14,18,11
17,8,6,20,13,8,1,19,8,3,10,10,19,15,7,9,14,0,6,6,11,7,8,10,15,20,8,10,6,10,12
18,3,11,16,10,12,6,23,14,3,5,6,24,10,6,4,10,6,0,7,8,3,3,5,10,16,14,5,5,8,7
19,9,10,15,16,12,6,22,13,7,7,6,24,10,2,11,16,6,7,0,6,4,9,12,10,16,14,8,2,6,7
20,10,16,10,16,17,10,28,19,8,8,6,30,10,4,12,17,11,8,6,0,6,10,12,10,10,18,10,5,0,7
21,5,12,14,12,14,7,25,16,4,4,4,25,8,4,7,12,7,3,4,6,0,5,8,8,13,16,4,2,5,6
22,0,14,14,7,15,8,25,16,6,2,4,26,7,8,2,8,8,3,9,10,5,0,3,8,14,16,2,7,10,4
23,3,15,11,4,18,10,26,18,7,5,7,27,6,11,2,5,10,5,12,12,8,3,0,6,12,17,4,10,13,6
24,8,20,6,7,22,14,32,22,12,5,5,32,1,8,6,8,15,10,10,10,8,8,6,0,6,23,6,9,10,3
25,13,25,2,12,27,20,38,29,18,11,10,38,6,14,12,12,20,16,16,10,13,14,12,6,0,28,12,15,10,9
26,16,8,29,21,9,8,15,0,11,18,18,15,24,15,17,22,8,14,14,18,16,16,17,23,28,0,18,14,18,20
27,2,16,11,8,17,10,29,18,7,1,4,28,6,8,3,8,10,5,8,10,4,2,4,6,12,18,0,6,9,3
28,7,12,15,14,13,6,24,14,5,5,5,24,9,2,8,14,6,5,2,5,2,7,10,9,15,14,6,0,4,6
29,10,15,10,16,17,10,29,19,8,8,6,30,10,4,12,18,10,8,6,0,5,10,13,10,10,18,9,4,0,7
30,5,17,9,10,19,11,31,21,9,2,2,30,4,5,5,11,12,7,7,7,6,4,6,3,9,20,3,6,7,0
