Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,7,9,10,2,2,3,7,4,1,5,3,8,2,2,2,2,4,7,4,1,3,4
2,7,0,7,17,8,6,10,15,9,8,11,8,6,6,7,9,8,9,9,4,8,8,8
3,9,7,0,10,10,8,12,8,12,9,13,6,1,7,7,7,6,6,14,5,9,6,12
4,10,17,10,0,9,12,10,3,10,10,12,9,12,11,10,9,9,8,14,14,10,9,10
5,2,8,10,9,0,3,2,7,2,1,4,4,10,3,3,3,3,5,6,5,1,4,3
6,2,6,8,12,3,0,4,9,5,2,6,3,8,0,2,4,3,4,8,3,3,3,5
7,3,10,12,10,2,4,0,7,1,3,2,6,11,4,5,4,5,6,5,7,3,6,2
8,7,15,8,3,7,9,7,0,8,7,9,6,8,9,8,6,6,6,11,11,7,6,8
9,4,9,12,10,2,5,1,8,0,3,2,6,11,5,6,5,6,7,4,7,3,6,2
10,1,8,9,10,1,2,3,7,3,0,4,4,9,2,2,2,3,4,6,4,1,4,4
11,5,11,13,12,4,6,2,9,2,4,0,8,13,6,7,6,7,8,5,8,4,8,2
12,3,8,6,9,4,3,6,6,6,4,8,0,6,3,2,2,1,1,10,5,4,0,6
13,8,6,1,12,10,8,11,8,11,9,13,6,0,7,7,8,7,6,15,5,8,6,12
14,2,6,7,11,3,0,4,9,5,2,6,3,7,0,2,4,3,4,8,3,2,3,5
15,2,7,7,10,3,2,5,8,6,2,7,2,7,2,0,2,2,3,8,4,2,2,6
16,2,9,7,9,3,4,4,6,5,2,6,2,8,4,2,0,1,2,8,5,2,2,5
17,2,8,6,9,3,3,5,6,6,3,7,1,7,3,2,1,0,2,9,5,3,1,6
18,4,9,6,8,5,4,6,6,7,4,8,1,6,4,3,2,2,0,10,6,4,2,7
19,7,9,14,14,6,8,5,11,4,6,5,10,15,8,8,8,9,10,0,10,7,10,4
20,4,4,5,14,5,3,7,11,7,4,8,5,5,3,4,5,5,6,10,0,5,5,8
21,1,8,9,10,1,3,3,7,3,1,4,4,8,2,2,2,3,4,7,5,0,3,4
22,3,8,6,9,4,3,6,6,6,4,8,0,6,3,2,2,1,2,10,5,3,0,7
23,4,8,12,10,3,5,2,8,2,4,2,6,12,5,6,5,6,7,4,8,4,7,0
