ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
30,7,30,9,7965,31
31,7,30,9,7965,32
32,9,30,10,7965,33
33,10,34,11,6519,35
34,10,36,6,31908,37
35,8,38,2,30625,39
36,10,40,8,6213,41
37,43,38,3,30625,42
38,12,43,5,34503,44
39,13,45,16,36427,46
40,5,47,4,37071,48
41,10,49,15,40239,50
42,16,51,14,30241,52
43,12,43,5,34503,53
44,19,38,3,30625,54
45,8,30,9,7965,55
46,13,56,11,6322,57
47,11,58,9,6458,59
48,10,56,10,6322,60
49,4,61,14,31971,62
50,8,63,8,6944,64
51,27,30,14,7965,65
52,8,63,9,6944,66
53,6,67,10,41133,62
54,32,30,13,7965,68
55,11,69,7,6270,70
56,5,71,5,32286,72
