Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,14,17,14,6,1,8,15,4,19,6,5,10,6,16
2,14,0,19,1,12,13,10,17,14,19,8,12,22,9,4
3,17,19,0,18,10,17,13,21,13,3,11,11,23,12,14
4,14,1,18,0,12,14,11,18,14,19,8,12,22,9,4
5,6,12,10,12,0,6,6,14,3,12,4,2,14,5,10
6,1,13,17,14,6,0,7,16,4,19,6,5,10,6,16
7,8,10,13,11,6,7,0,9,8,15,3,5,12,2,13
8,15,17,21,18,14,16,9,0,16,23,10,13,6,10,21
9,4,14,13,14,3,4,8,16,0,15,7,3,11,7,13
10,19,19,3,19,12,19,15,23,15,0,13,14,27,14,16
11,6,8,11,8,4,6,3,10,7,13,0,4,13,1,11
12,5,12,11,12,2,5,5,13,3,14,4,0,13,5,12
13,10,22,23,22,14,10,12,6,11,27,13,13,0,13,24
14,6,9,12,9,5,6,2,10,7,14,1,5,13,0,11
15,16,4,14,4,10,16,13,21,13,16,11,12,24,11,0
