Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,4,9,2,7,4,19,20,2,1,17,1,16,9,5,1,2,10,5,15,8,1,5
2,4,0,7,5,3,1,17,17,3,4,14,4,13,5,8,3,6,6,3,14,11,4,3
3,9,7,0,10,9,7,11,10,8,10,15,10,7,8,12,9,10,9,5,7,18,10,5
4,2,5,10,0,8,5,20,20,3,2,19,2,17,10,4,2,1,10,6,16,7,2,6
5,7,3,9,8,0,3,17,18,6,6,11,7,14,2,11,6,9,3,5,16,10,7,5
6,4,1,7,5,3,0,16,16,3,4,13,4,13,5,9,4,6,6,3,13,12,4,3
7,19,17,11,20,17,16,0,7,17,20,10,20,9,18,22,18,20,19,14,12,26,19,13
8,20,17,10,20,18,16,7,0,18,20,12,20,4,18,23,18,21,18,15,4,29,20,14
9,2,3,8,3,6,3,17,18,0,2,17,3,14,8,6,2,4,8,3,14,10,2,3
10,1,4,10,2,6,4,20,20,2,0,18,1,17,8,5,1,2,9,5,17,8,1,5
11,17,14,15,19,11,13,10,12,17,18,0,16,14,9,21,16,19,9,16,16,18,17,16
12,1,4,10,2,7,4,20,20,3,1,16,0,16,8,5,2,2,9,6,17,8,1,6
13,16,13,7,17,14,13,9,4,14,17,14,16,0,15,20,15,18,15,12,2,25,16,11
14,9,5,8,10,2,5,18,18,8,8,9,8,15,0,14,8,10,1,8,15,10,8,8
15,5,8,12,4,11,9,22,23,6,5,21,5,20,14,0,6,3,13,8,20,7,5,8
16,1,3,9,2,6,4,18,18,2,1,16,2,15,8,6,0,3,8,4,15,9,1,4
17,2,6,10,1,9,6,20,21,4,2,19,2,18,10,3,3,0,11,6,17,8,2,6
18,10,6,9,10,3,6,19,18,8,9,9,9,15,1,13,8,11,0,8,15,9,9,8
19,5,3,5,6,5,3,14,15,3,5,16,6,12,8,8,4,6,8,0,12,13,5,0
20,15,14,7,16,16,13,12,4,14,17,16,17,2,15,20,15,17,15,12,0,24,16,12
21,8,11,18,7,10,12,26,29,10,8,18,8,25,10,7,9,8,9,13,24,0,9,14
22,1,4,10,2,7,4,19,20,2,1,17,1,16,8,5,1,2,9,5,16,9,0,5
23,5,3,5,6,5,3,13,14,3,5,16,6,11,8,8,4,6,8,0,12,14,5,0
