ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
525,5,525,7,99697,526
526,3,527,9,19497,528
527,3,529,9,133852,530
528,3,531,13,9389,532
529,3,533,9,45296,534
530,9,535,16,82589,536
531,10,537,7,135153,538
532,10,527,11,19497,539
533,6,540,11,73119,541
534,11,542,10,116571,543
535,12,544,11,29047,545
536,11,546,11,26863,547
537,5,548,9,112818,549
538,8,550,9,45833,551
539,3,552,10,68813,553
540,4,554,15,100603,555
541,6,556,6,26846,557
542,6,558,7,49193,559
543,4,560,9,110498,561
544,5,562,8,72500,563
545,10,564,12,13704,565
546,7,566,6,118001,567
547,15,568,11,98110,569
548,13,570,13,135434,571
549,16,572,9,118002,573
550,7,556,6,26846,574
551,9,575,8,7703,576
552,3,577,15,128530,578
553,8,579,11,8389,580
554,7,581,6,120411,582
555,3,583,13,80307,584
556,5,585,14,8168,586
557,11,587,6,73718,588
558,2,589,11,125802,590
559,4,591,7,96370,592
560,10,593,13,77475,594
561,7,595,10,45622,596
562,9,597,9,85065,598
563,4,591,7,96370,599
564,6,540,13,73119,600
565,5,583,12,80307,601
566,6,583,13,80307,602
567,6,540,10,73119,603
568,11,604,18,129603,605
569,3,606,10,135263,607
570,9,608,7,113888,609
571,15,610,14,130843,611
572,2,612,11,131069,613
573,20,614,21,90819,615
574,5,616,20,135188,617
575,4,618,12,132709,619
576,6,620,13,97529,621
577,2,622,8,102116,623
578,18,624,13,8207,625
579,3,626,8,77659,627
580,9,628,11,96558,629
581,2,608,6,113888,630
582,7,631,8,7635,632
583,11,633,17,19993,634
584,14,635,7,46677,636
585,5,546,8,26863,637
586,3,638,12,122293,639
587,4,640,10,65839,641
588,9,642,14,8084,643
589,11,540,16,73119,644
590,11,645,8,114919,646
591,7,647,9,90595,648
592,1,649,6,97521,650
593,6,651,13,99822,652
594,6,546,8,26863,653
595,23,654,23,71925,655
596,6,527,9,19497,656
597,12,657,16,75773,658
598,9,659,9,100231,660
599,10,661,10,10080,662
600,5,657,13,75773,663
601,3,597,6,85065,664
602,7,583,13,80307,665
603,4,540,13,73119,666
604,3,667,8,8122,668
605,3,529,8,133852,669
606,13,633,17,19993,670
607,25,562,3,72500,671
608,4,583,10,80307,672
609,2,673,8,71389,674
610,5,675,10,106391,676
611,7,540,13,73119,677
612,2,620,9,97529,678
613,7,679,13,9037,680
614,7,681,10,8742,682
615,5,683,13,114576,684
616,16,685,15,62370,686
617,2,687,8,97920,688
618,4,689,8,100843,690
619,10,691,28,135038,692
620,9,622,11,102116,693
621,7,679,14,9037,694
622,2,633,13,19993,695
623,16,583,15,80307,696
624,10,577,17,128530,697
625,3,698,13,48600,699
626,8,572,6,118002,700
627,3,585,12,8168,701
628,6,702,8,98367,703
629,8,659,8,100231,704
630,3,705,5,100168,706
631,13,707,13,7459,708
632,3,709,6,89868,710
633,2,711,11,8771,712
634,15,562,3,72500,713
635,6,714,9,134872,715
636,7,612,14,131069,716
637,3,717,9,32745,718
638,9,583,14,80307,719
639,4,564,9,13704,720
640,14,568,11,98110,721
641,12,562,2,72500,722
642,4,723,11,22683,724
643,9,725,14,68773,726
644,10,727,12,94135,728
645,4,691,28,135038,729
646,9,730,7,74591,731
647,16,732,13,8163,733
648,4,604,16,129603,734
649,9,735,16,74313,736
650,6,633,14,19993,737
651,7,738,7,96344,739
652,8,740,9,108644,741
653,7,742,9,74205,743
654,4,744,14,136004,745
655,6,556,7,26846,746
656,13,707,13,7459,747
657,20,631,10,7635,748
658,10,749,5,103611,750
659,6,681,11,8742,751
660,4,752,7,132075,753
661,4,608,6,113888,754
662,12,542,10,116571,755
663,3,756,10,8567,757
664,2,758,6,96364,759
665,6,760,13,137297,761
666,7,531,15,9389,762
667,6,540,13,73119,763
668,3,764,5,98919,765
669,5,766,9,13705,767
670,3,681,8,8742,768
671,7,769,13,137288,770
672,14,771,10,44682,772
673,3,773,10,98493,774
674,9,775,8,41310,776
675,12,604,19,129603,777
676,12,778,15,111880,779
677,15,562,5,72500,780
678,18,781,11,97400,782
679,7,783,11,98997,784
680,4,540,13,73119,785
681,2,711,11,8771,786
682,3,787,7,7633,788
683,9,789,9,106897,790
684,28,791,19,83926,792
685,4,525,7,99697,793
686,4,794,10,30854,795
687,3,796,9,13855,797
688,15,575,10,7703,798
689,12,799,12,8705,800
690,3,801,11,84266,802
691,9,803,16,10463,804
692,7,562,7,72500,805
693,7,604,17,129603,806
694,4,740,8,108644,807
695,9,808,9,8097,809
696,16,810,10,66699,811
697,20,685,15,62370,812
698,2,813,12,71485,814
699,3,815,5,93665,816
700,3,817,8,80351,818
701,11,562,8,72500,819
702,5,820,15,9962,821
703,7,781,8,97400,822
704,10,823,9,104840,824
705,5,825,14,126319,826
706,16,681,11,8742,827
707,6,657,13,75773,828
708,8,562,3,72500,829
709,7,787,8,7633,830
710,3,831,6,100229,832
