Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,3,4,8,5,10,7,6,6,4,8,12,8,9,4,14,4,4,6,8,5,12,8,6,6,12,7,6,8,8,7,12
2,3,0,2,5,3,8,5,4,3,2,5,11,5,7,4,16,4,4,8,5,3,14,6,4,4,15,5,4,6,8,5,10
3,4,2,0,4,4,10,4,6,5,3,6,12,4,8,2,18,2,2,9,4,5,14,5,6,6,15,4,3,5,10,5,9
4,8,5,4,0,6,7,3,3,7,3,6,13,2,5,6,21,6,6,12,4,7,19,3,9,8,18,3,6,4,14,1,5
5,5,3,4,6,0,5,5,2,2,2,2,9,5,6,6,16,6,7,8,5,2,14,6,4,4,14,5,7,6,9,5,10
6,10,8,10,7,5,0,8,4,5,7,3,7,7,7,11,15,11,11,6,10,5,15,8,4,4,12,9,11,9,7,6,11
7,7,5,4,3,5,8,0,5,7,3,5,12,2,8,4,21,3,3,12,1,6,18,2,8,7,19,1,4,2,12,4,6
8,6,4,6,3,2,4,5,0,4,4,3,11,3,4,8,18,8,8,10,6,4,15,4,6,5,16,5,8,5,11,3,8
9,6,3,5,7,2,5,7,4,0,4,2,8,7,8,7,14,7,7,6,7,1,12,8,2,1,12,7,7,8,6,8,12
10,4,2,3,3,2,7,3,4,4,0,4,10,3,6,5,18,5,5,10,4,4,16,4,6,5,15,3,5,4,11,3,8
11,8,5,6,6,2,3,5,3,2,4,0,8,6,6,8,15,9,8,7,7,2,13,7,4,3,14,6,9,6,8,6,11
12,12,11,12,13,9,7,12,11,8,10,8,0,14,14,14,18,14,14,8,14,8,17,15,7,7,6,13,15,15,6,13,18
13,8,5,4,2,5,7,2,3,7,3,6,14,0,6,5,20,5,5,12,3,7,18,2,9,8,19,2,5,2,14,2,6
14,9,7,8,5,6,7,8,4,8,6,6,14,6,0,11,21,11,10,14,8,7,20,7,10,8,20,8,11,9,14,5,8
15,4,4,2,6,6,11,4,8,7,5,8,14,5,11,0,17,1,1,8,5,7,15,5,8,8,15,4,3,5,10,7,9
16,14,16,18,21,16,15,21,18,14,18,15,18,20,21,17,0,19,17,10,20,14,2,22,12,13,16,20,20,22,13,20,25
17,4,4,2,6,6,11,3,8,7,5,9,14,5,11,1,19,0,1,10,4,6,16,4,8,7,16,3,2,4,10,6,8
18,4,4,2,6,7,11,3,8,7,5,8,14,5,10,1,17,1,0,10,4,6,16,4,7,7,15,3,2,4,10,6,8
19,6,8,9,12,8,6,12,10,6,10,7,8,12,14,8,10,10,10,0,14,6,10,14,4,5,7,13,12,14,3,13,17
20,8,5,4,4,5,10,1,6,7,4,7,14,3,8,5,20,4,4,14,0,7,19,2,10,8,20,1,3,1,14,4,5
21,5,3,5,7,2,5,6,4,1,4,2,8,7,7,7,14,6,6,6,7,0,12,8,2,1,12,7,7,8,7,7,12
22,12,14,14,19,14,15,18,15,12,16,13,17,18,20,15,2,16,16,10,19,12,0,20,10,12,15,18,17,20,12,19,23
23,8,6,5,3,6,8,2,4,8,4,7,15,2,7,5,22,4,4,14,2,8,20,0,10,9,20,2,5,2,14,3,4
24,6,4,6,9,4,4,8,6,2,6,4,7,9,10,8,12,8,7,4,10,2,10,10,0,2,10,9,8,10,5,9,14
25,6,4,6,8,4,4,7,5,1,5,3,7,8,8,8,13,7,7,5,8,1,12,9,2,0,11,8,8,9,6,8,13
26,12,15,15,18,14,12,19,16,12,15,14,6,19,20,15,16,16,15,7,20,12,15,20,10,11,0,18,18,20,6,19,24
27,7,5,4,3,5,9,1,5,7,3,6,13,2,8,4,20,3,3,13,1,7,18,2,9,8,18,0,4,2,13,4,6
28,6,4,3,6,7,11,4,8,7,5,9,15,5,11,3,20,2,2,12,3,7,17,5,8,8,18,4,0,3,12,7,6
29,8,6,5,4,6,9,2,5,8,4,6,15,2,9,5,22,4,4,14,1,8,20,2,10,9,20,2,3,0,15,4,5
30,8,8,10,14,9,7,12,11,6,11,8,6,14,14,10,13,10,10,3,14,7,12,14,5,6,6,13,12,15,0,14,19
31,7,5,5,1,5,6,4,3,8,3,6,13,2,5,7,20,6,6,13,4,7,19,3,9,8,19,4,7,4,14,0,6
32,12,10,9,5,10,11,6,8,12,8,11,18,6,8,9,25,8,8,17,5,12,23,4,14,13,24,6,6,5,19,6,0
