ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
116,1,116,11,42546,117
117,9,118,8,1001,119
118,6,120,14,46066,121
119,11,122,9,44247,123
120,8,124,8,925,125
121,1,126,6,44347,127
122,2,128,9,40455,129
123,11,118,11,1001,130
124,3,128,9,40455,131
125,6,132,7,45873,133
126,5,134,10,44412,135
127,9,118,9,1001,136
128,8,120,13,46066,137
129,1,122,6,44247,138
130,4,139,9,33798,140
131,15,118,10,1001,141
132,3,142,8,34596,143
133,4,144,8,37695,145
134,1,146,8,42793,147
135,19,148,11,39246,149
136,1,134,9,44412,130
137,5,118,9,1001,150
138,9,151,6,32770,152
139,8,153,4,46758,154
140,3,155,7,6008,156
141,7,157,10,45161,158
142,16,159,15,46818,160
143,1,161,9,45335,162
144,1,163,4,47111,164
145,2,148,6,39246,165
146,13,118,9,1001,166
147,1,167,6,2531,168
148,7,142,11,34596,169
149,6,170,12,45626,171
150,5,172,11,1176,173
151,7,120,13,46066,174
152,4,175,5,40930,176
153,5,177,6,41225,178
154,8,179,11,47120,180
155,4,139,9,33798,181
156,7,182,12,6093,183
157,4,184,8,34551,185
158,2,177,5,41225,186
159,4,187,8,43198,188
160,1,189,11,46416,190
161,5,128,10,40455,191
162,1,126,6,44347,192
163,7,118,9,1001,193
164,3,194,9,1028,195
165,13,124,9,925,196
166,5,146,9,42793,197
167,2,198,8,42847,199
168,5,120,13,46066,200
169,3,155,7,6008,201
170,43,151,10,32770,202
171,20,118,13,1001,203
172,5,204,9,43221,205
173,8,206,14,46081,207
174,3,208,6,41611,209
175,1,155,6,6008,210
176,3,211,8,47409,212
177,26,213,7,43951,214
178,4,215,11,36038,216
179,12,215,16,36038,217
180,3,144,7,37695,218
181,2,219,4,47241,220
182,22,170,17,45626,221
183,4,222,10,46677,223
184,5,219,5,47241,224
185,9,118,11,1001,225
186,13,198,12,42847,226
187,6,227,7,1213,190
188,6,116,12,42546,228
189,3,229,7,35016,230
190,16,116,14,42546,231
191,6,120,12,46066,232
192,3,172,10,1176,233
193,1,167,6,2531,234
194,9,151,6,32770,235
195,6,236,4,5697,176
196,8,151,6,32770,237
197,7,118,8,1001,238
198,4,184,8,34551,239
199,9,124,9,925,240
200,3,187,7,43198,241
201,5,222,10,46677,242
202,5,219,5,47241,243
203,4,118,7,1001,244
204,5,245,7,41821,246
205,9,172,13,1176,247
206,2,155,7,6008,248
207,7,236,4,5697,249
