ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
70,1,70,10,157564,71
71,1,72,10,189154,73
72,8,74,5,121350,75
73,13,76,16,146156,77
74,2,78,13,93738,79
75,1,80,8,24344,81
76,1,82,8,40007,83
77,5,84,2,102069,85
78,6,86,10,176008,87
79,31,88,41,169464,89
80,7,86,11,176008,90
81,10,84,2,102069,91
82,83,88,41,169464,92
83,1,78,11,93738,93
84,3,94,9,175708,95
85,44,84,2,102069,96
86,3,78,12,93738,97
87,11,88,41,169464,98
88,8,99,8,175370,100
89,6,84,2,102069,101
90,9,84,2,102069,102
91,1,103,4,112007,104
92,1,80,8,24344,105
93,17,84,2,102069,106
94,4,107,4,105184,108
95,1,80,7,24344,109
96,4,110,7,108363,111
97,37,84,2,102069,112
98,7,94,11,175708,113
99,4,114,5,35351,115
100,3,116,16,174329,117
101,9,118,16,150061,119
102,4,99,8,175370,120
103,16,121,27,113143,122
104,16,123,7,121351,124
105,9,123,5,121351,125
106,5,126,6,180402,127
107,5,123,5,121351,128
108,20,129,17,150620,130
109,1,131,27,163065,132
110,6,133,5,43228,134
111,13,135,20,24399,136
112,7,118,16,150061,137
113,18,121,30,113143,138
114,37,121,30,113143,108
