ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
132,20,132,5,68166,133
133,4,134,7,1927,135
134,5,136,8,83643,137
135,2,138,4,34408,139
136,2,140,4,16688,141
137,4,142,5,67147,143
138,2,144,1,75337,145
139,14,146,4,71732,147
140,5,148,6,56414,149
141,10,140,5,16688,150
142,3,151,5,9706,152
143,2,153,4,3550,154
144,2,155,5,16040,156
145,42,157,8,79386,158
146,4,159,5,44423,160
147,2,161,4,18760,162
148,21,163,8,74520,164
149,57,165,4,37757,166
150,5,167,5,49296,168
151,5,169,5,76469,170
152,4,171,4,73979,172
153,7,173,6,81086,174
154,2,175,5,10435,176
155,7,177,5,77234,178
156,30,179,23,47654,180
157,2,181,5,1827,182
158,3,183,6,48566,184
159,2,185,5,587,186
160,4,187,4,73615,188
161,33,189,7,80499,190
162,4,191,12,17375,192
163,21,193,9,80806,194
164,6,195,4,62722,196
165,33,197,8,70287,198
166,13,199,8,59832,200
167,17,201,5,75645,202
168,5,203,5,16480,204
169,9,205,4,83176,206
170,16,207,5,78081,208
171,23,209,13,62938,210
172,11,211,4,79769,212
173,8,213,8,34601,214
174,12,215,9,17952,168
175,66,216,9,79819,217
176,4,218,4,77983,219
177,5,220,4,75082,221
178,3,222,4,34558,223
179,8,224,5,81386,225
180,5,226,11,5896,227
181,3,228,5,4906,229
182,22,230,5,72965,231
183,4,232,6,5448,233
184,9,234,11,33286,235
185,6,236,4,13661,237
186,12,238,14,4437,239
187,5,240,7,79091,241
188,3,222,4,34558,242
189,13,243,4,68968,244
190,15,245,13,78428,246
191,2,247,5,586,248
192,14,249,8,33260,250
193,4,251,8,77961,252
194,7,253,7,34008,254
195,5,255,6,12288,256
196,10,226,12,5896,257
197,9,195,4,62722,258
198,14,259,11,79123,260
199,6,261,6,47435,256
200,13,262,13,69241,263
201,5,222,4,34558,264
202,24,265,11,62944,266
203,7,267,7,62844,268
204,3,269,5,32802,212
205,35,270,10,58828,271
206,3,272,6,83629,273
207,43,274,7,18506,275
208,7,276,6,48778,277
209,6,278,4,76031,256
210,3,279,4,8828,280
211,11,247,9,586,281
212,44,282,5,21634,283
213,6,284,5,1830,285
214,65,286,16,62920,287
215,8,288,8,62913,289
216,5,290,4,47649,291
217,13,292,9,9122,293
218,17,294,4,64678,295
219,9,296,10,4783,297
