ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
284,19,284,12,30991,285
285,16,286,16,45138,287
286,6,288,8,7654,289
287,11,290,7,24628,291
288,12,292,13,92018,293
289,43,294,17,64147,295
290,25,296,12,312344,297
291,21,298,14,50962,299
292,4,300,12,13700,301
293,7,302,5,248309,303
294,6,304,13,51451,305
295,6,306,7,45097,307
296,10,308,6,266832,309
297,4,310,8,91197,311
298,19,312,7,13193,313
299,17,314,7,281789,315
300,9,296,9,312344,316
301,90,317,16,157961,318
302,8,319,11,30640,320
303,7,321,10,240553,322
304,13,323,12,39840,324
305,26,323,14,39840,325
306,13,326,21,24939,327
307,25,328,12,312650,329
308,19,330,17,12683,331
309,11,332,17,41524,333
310,5,334,5,44981,335
311,12,310,9,91197,336
312,30,337,21,154987,338
313,16,290,7,24628,339
314,52,340,33,184147,341
315,15,342,17,59200,343
316,16,344,6,25652,345
317,8,346,7,52141,347
318,16,348,14,37822,349
319,13,323,13,39840,350
320,24,351,22,45135,352
321,3,353,1,247032,354
322,23,344,6,25652,355
323,17,356,8,38732,357
324,31,317,4,157961,358
325,35,359,11,43326,360
326,13,361,9,30706,362
327,7,290,7,24628,363
328,14,364,7,26621,365
329,24,366,28,24027,367
330,7,368,11,44167,369
331,34,370,15,39131,371
332,20,372,15,20326,373
333,8,374,12,157027,375
334,10,374,10,157027,376
335,23,377,13,38166,378
336,8,372,9,20326,379
337,16,346,8,52141,380
338,53,377,18,38166,381
339,20,312,8,13193,382
340,9,310,11,91197,383
341,11,384,11,15597,385
342,100,317,4,157961,386
343,6,387,11,51257,388
344,13,389,8,263039,390
345,16,290,7,24628,391
346,26,392,17,84881,393
347,14,394,16,24803,395
348,37,286,19,45138,396
349,10,377,11,38166,397
350,17,398,4,13775,399
351,11,321,9,240553,400
352,22,389,10,263039,401
353,5,344,5,25652,402
354,12,403,8,25049,404
355,7,377,9,38166,405
356,14,406,7,30828,407
357,4,310,9,91197,408
358,7,372,14,20326,409
359,7,342,16,59200,410
360,14,406,9,30828,411
361,21,314,8,281789,412
362,7,302,5,248309,413
363,32,359,11,43326,414
364,20,415,10,275320,416
365,2,417,1,247032,418
366,18,419,10,30958,420
367,13,421,11,87288,422
368,23,423,16,264689,424
369,15,306,11,45097,425
370,14,426,5,43076,427
371,28,428,16,41559,429
372,22,419,12,30958,430
373,8,406,8,30828,431
374,13,361,8,30706,432
375,15,433,9,20334,434
376,100,317,4,157961,386
377,36,296,15,312344,435
378,5,342,16,59200,436
379,30,437,9,288911,438
380,34,317,4,157961,439
381,13,440,16,207832,441
382,11,304,14,51451,442
383,26,443,11,16971,444
384,16,398,4,13775,445
385,13,446,8,298717,447
386,19,446,8,298717,448
387,14,449,7,93906,450
388,27,368,17,44167,451
389,6,452,1,61900,453
390,15,290,7,24628,454
391,16,300,15,13700,455
392,17,456,11,14844,457
393,38,398,4,13775,458
394,15,459,15,31704,460
395,15,366,28,24027,367
396,22,433,11,20334,461
397,14,300,14,13700,462
398,18,463,4,156465,464
399,18,415,10,275320,465
400,6,306,8,45097,466
401,14,384,11,15597,467
402,21,468,20,39225,469
403,26,470,26,25163,471
404,24,440,18,207832,472
405,11,308,8,266832,473
406,16,310,13,91197,474
407,15,398,4,13775,475
408,15,290,7,24628,476
409,30,477,15,51256,478
410,36,296,13,312344,479
411,10,480,12,157030,481
412,33,482,5,88819,483
413,8,321,11,240553,484
414,16,337,17,154987,485
