ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
77,9,77,13,24530,78
78,5,79,13,257,80
79,17,81,20,377,82
80,9,83,20,23350,84
81,25,85,14,25068,86
82,11,87,14,24409,88
83,10,89,12,24550,90
84,63,91,28,24085,92
85,12,93,12,22821,94
86,21,95,22,23527,96
87,11,97,15,23756,98
88,9,99,22,705,100
89,39,101,64,26237,102
90,6,103,9,22927,104
91,8,105,12,24387,106
92,21,107,14,24956,108
93,64,109,11,23982,110
94,81,109,12,23982,111
95,11,112,12,26010,113
96,7,114,13,24510,115
97,18,116,20,25903,117
98,6,118,12,24969,119
99,12,120,12,24721,121
100,6,122,20,24507,123
101,7,124,15,23870,125
102,100,126,14,23287,127
103,12,128,12,25736,129
104,8,112,11,26010,130
105,29,131,51,24206,132
106,52,133,67,25156,134
107,9,135,9,24309,136
108,71,133,72,25156,137
109,70,109,11,23982,138
110,7,139,13,25017,140
111,10,83,20,23350,141
112,23,89,13,24550,142
113,20,143,10,74,144
114,11,145,9,506,146
115,16,147,20,25172,148
116,14,77,11,24530,149
117,30,150,15,25776,151
118,11,152,14,25856,153
119,16,145,10,506,154
120,19,155,11,24641,156
121,22,157,25,22849,158
122,16,101,55,26237,159
123,6,160,8,23049,161
124,8,162,7,24027,163
125,13,164,12,24295,165
126,19,166,21,25180,167
127,19,162,7,24027,168
128,6,169,8,25908,170
129,9,171,13,24744,172
130,100,131,87,24206,173
131,6,174,14,25562,175
132,12,77,12,24530,176
133,22,177,15,26098,178
134,19,179,14,24277,180
135,12,77,12,24530,181
136,20,145,11,506,182
137,26,101,60,26237,183
138,10,184,8,490,185
139,13,186,13,264,187
140,7,188,9,586,189
141,6,122,20,24507,190
142,51,133,67,25156,191
143,11,192,12,23362,193
144,28,194,12,25246,195
145,9,112,11,26010,196
146,6,184,8,490,197
147,7,198,11,25611,199
148,14,91,18,24085,200
149,6,77,13,24530,201
150,6,77,13,24530,202
151,13,77,13,24530,203
152,19,204,24,24456,205
153,12,206,8,24970,207
154,27,208,12,25573,209
155,16,122,20,24507,210
156,6,122,20,24507,211
157,10,131,45,24206,212
158,33,109,6,23982,213
159,94,131,67,24206,214
160,27,101,61,26237,215
161,10,77,12,24530,216
162,33,166,21,25180,217
163,30,147,20,25172,218
164,19,133,55,25156,219
165,5,220,13,25471,221
166,15,222,19,628,223
167,13,224,8,569,225
168,8,133,55,25156,226
169,30,227,14,26101,228
170,6,77,13,24530,229
171,21,133,55,25156,230
172,10,231,8,25048,232
