Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232
1,0,14,14,15,29,34,14,18,64,11,36,21,23,14,20,8,23,22,20,34,22,52,25,11,19,4,18,23,34,15,2,20,10,16,18,22,15,17,27,28,12,11,27,15,25,14,12,21,18,17,25,30,18,14,1044,19,28,14,21,15,1358,46,66,22,23,17,19,18,24,11,10,22,11,24,19,12,14,16,22,28,26,19,19,12,12,10,24,10,11,30,14,35,24,12,20,18,34,35,24,15,25,9,14,9,22,24,22,19,20,35,8,16,22,34,30,25,26,21,20,23,25,18,24,22,23,17,13,26,30,31,7,3,16,16,21,18,68,20,16,15,20,7,23,42,35,26,34,52,24,17,9,22,33,28,33,43,24,22,15,33,27,25,26,22,26,18,29,21,52,56,23,13,8,18,10,18,15,6,25,14,9,41,16,16,29,16,38,20,21,15,14,11,17,24,11,19,15,19,16,9,15,19,8,18,9,22,24,15,18,15,20,11,8,8,12,2,28,63,27,3,7,35,52,15,3,50,26,34,4,28,12,11
2,14,0,10,2,29,29,1,6,72,4,29,7,10,20,7,6,10,8,7,26,10,51,20,2,5,10,18,13,29,12,12,7,6,2,4,9,11,5,26,24,10,13,31,3,10,4,8,7,16,4,14,29,16,22,1072,16,24,1,18,7,1286,42,63,18,10,14,5,5,11,10,7,9,7,10,12,2,1,18,9,26,12,14,12,9,3,8,10,5,10,36,1,29,10,8,8,21,27,25,10,13,14,8,9,9,9,10,9,7,18,29,20,4,18,30,34,19,24,8,7,8,27,16,22,9,19,8,9,20,31,25,7,13,12,8,8,17,60,7,10,12,18,7,10,42,29,19,32,52,14,4,21,8,30,32,30,41,11,13,19,26,26,11,16,19,22,17,25,8,48,49,10,10,6,11,4,6,4,19,12,5,6,42,11,12,30,12,43,6,8,11,26,8,4,10,14,16,12,6,12,6,11,12,6,4,5,8,10,2,15,9,16,9,6,11,15,14,28,61,24,11,12,30,48,12,17,44,24,30,14,24,12,14
3,14,10,0,10,20,19,10,13,75,11,41,14,18,12,15,5,17,15,15,35,17,38,30,10,12,12,27,23,20,8,13,15,16,10,14,18,2,14,36,18,2,21,41,12,18,8,2,14,26,11,23,23,6,14,1065,7,34,10,12,8,1296,34,53,12,20,5,13,13,18,3,3,16,3,20,20,11,10,26,17,16,19,24,13,2,11,18,20,14,3,42,10,38,18,6,15,13,38,36,18,7,24,4,19,5,17,18,16,14,30,21,17,11,27,20,25,27,35,15,14,16,37,6,12,16,8,17,19,28,40,35,12,10,2,11,16,25,54,14,11,9,8,17,20,52,38,29,22,40,22,14,14,15,22,42,20,31,18,23,28,35,37,19,26,9,32,8,16,16,36,39,17,1,6,20,12,14,8,12,19,16,8,51,20,3,23,2,35,14,16,3,18,2,11,18,24,7,3,12,2,15,21,22,13,11,11,16,18,9,7,10,8,3,7,20,26,15,20,54,14,12,7,22,38,2,12,38,13,20,10,14,5,6
4,15,2,10,0,29,29,2,4,68,5,29,7,9,20,5,7,8,6,6,26,8,49,19,4,3,11,18,13,28,12,14,6,6,2,4,8,11,5,25,26,11,12,32,3,10,4,9,6,16,3,14,31,15,24,1108,16,24,2,19,8,1320,44,60,18,10,14,4,4,10,12,8,8,8,10,12,3,2,16,7,26,12,14,12,10,4,8,10,6,11,34,2,30,8,9,6,22,28,25,9,13,13,10,9,10,7,9,7,5,20,31,24,2,17,30,35,17,26,7,6,8,28,16,22,7,18,8,8,20,30,24,9,14,12,8,7,16,62,6,11,12,18,8,10,41,31,18,30,53,13,4,23,6,32,34,28,42,9,13,19,25,26,10,16,20,22,18,26,6,48,48,8,10,8,11,5,4,4,20,10,5,7,45,11,12,33,13,43,5,6,11,26,9,2,8,14,16,12,4,12,6,10,12,7,2,6,7,8,3,16,9,16,10,8,11,15,16,29,64,24,12,13,31,51,12,17,48,24,31,16,23,14,15
5,29,29,20,29,0,6,28,32,92,27,55,33,39,15,34,24,36,35,34,53,39,23,46,26,32,26,44,40,26,26,28,36,30,29,32,36,21,31,50,4,19,38,56,30,40,28,20,36,40,31,37,2,25,15,1028,25,48,27,32,29,1331,19,39,31,39,24,32,32,39,19,22,38,23,39,35,26,28,44,38,30,41,39,34,18,27,34,39,31,19,59,26,56,37,26,36,11,54,49,36,28,40,20,34,20,36,37,38,35,44,5,34,31,42,6,6,44,49,35,34,36,51,26,22,35,19,35,34,44,57,51,28,27,20,30,35,43,39,36,33,30,19,33,39,66,57,41,6,24,40,31,28,36,6,57,27,15,40,38,44,51,50,38,41,28,49,12,4,36,22,26,38,21,22,37,28,32,29,27,39,30,22,71,34,18,3,19,14,34,37,23,15,22,32,37,40,22,18,34,18,32,36,37,28,33,28,35,36,28,28,32,27,19,23,36,40,30,2,39,28,28,22,27,23,19,28,22,25,5,24,24,16,19
6,34,29,19,29,6,0,30,33,99,32,58,28,33,18,30,26,31,34,29,53,33,20,48,30,32,32,46,42,19,21,31,30,36,28,32,35,19,35,52,6,22,42,60,33,32,26,21,32,46,29,44,8,20,18,1075,19,53,28,25,22,1291,15,32,25,38,19,32,30,34,22,24,30,22,37,40,29,29,47,30,23,38,45,28,21,31,36,39,32,23,66,30,61,32,20,30,16,56,56,32,21,42,24,37,25,29,34,29,28,47,7,38,32,45,1,12,45,57,30,30,32,54,19,16,31,13,39,38,49,64,55,31,30,18,25,28,46,35,30,24,24,13,34,40,68,58,47,6,22,44,33,30,30,3,60,22,16,32,40,47,54,58,33,44,21,50,16,5,34,17,22,32,20,26,38,32,27,25,31,37,33,28,73,41,18,9,18,20,31,32,20,19,21,32,32,43,17,18,30,17,36,38,42,33,27,31,28,34,26,21,24,21,23,26,39,44,33,6,35,21,30,26,22,19,17,31,17,18,3,29,17,21,22
7,14,1,10,2,28,30,0,5,71,4,30,6,10,18,7,6,10,8,7,28,10,49,20,2,5,9,18,13,28,12,12,7,6,2,4,9,12,5,27,26,9,12,33,3,11,4,8,7,15,4,13,28,16,22,1091,16,23,1,18,8,1324,42,62,18,10,13,6,5,10,10,7,9,8,10,11,2,1,17,9,26,13,14,12,10,3,8,10,5,10,33,1,31,11,9,8,21,28,26,10,13,14,9,9,9,8,10,8,6,20,31,20,4,16,29,34,18,25,8,7,10,28,16,21,8,18,8,9,20,33,27,7,13,12,8,8,16,65,7,10,12,18,7,10,39,32,19,32,48,14,4,21,7,30,32,30,39,10,13,19,25,25,11,16,19,22,17,26,8,46,50,10,10,7,10,4,6,4,20,12,6,5,42,11,12,30,12,43,6,8,10,26,8,4,10,15,17,11,5,12,6,11,12,6,4,5,8,10,2,16,9,17,8,6,10,16,15,28,62,24,11,12,30,47,12,16,46,22,30,14,24,12,13
8,18,6,13,4,32,33,5,0,66,9,27,9,5,24,2,10,8,2,4,24,8,54,18,8,1,14,16,10,30,14,17,8,10,4,2,4,13,2,22,29,14,10,30,4,8,7,12,2,14,4,12,37,18,27,1118,18,22,6,21,10,1305,46,63,20,7,17,1,1,6,14,12,6,10,7,9,7,6,14,6,30,8,12,16,15,8,10,8,10,15,32,6,28,9,11,4,27,25,23,5,14,11,14,6,15,6,5,6,5,16,32,26,2,14,32,40,15,24,6,4,6,25,18,24,6,21,6,6,18,30,24,13,19,15,10,3,14,66,2,12,15,20,12,7,39,29,16,34,53,11,2,26,5,34,29,31,46,8,11,17,23,23,8,14,21,19,22,30,4,51,53,4,14,12,8,9,4,6,26,6,5,10,39,9,15,38,15,46,2,3,13,32,13,2,7,12,18,16,1,15,10,8,10,11,5,10,6,5,5,18,12,18,14,12,10,13,20,33,66,26,16,17,34,50,14,22,48,26,32,20,27,18,19
9,64,72,75,68,92,99,71,66,0,65,38,77,65,80,66,73,76,63,73,43,72,121,48,70,68,68,51,56,95,82,67,71,64,69,62,62,76,63,44,90,76,57,37,67,71,76,78,68,52,70,58,96,81,78,1059,88,47,72,83,80,1288,108,132,90,59,84,68,64,73,72,76,72,73,59,58,68,68,55,69,96,60,57,84,80,70,58,60,67,74,36,67,39,72,81,70,82,41,45,70,82,56,73,60,73,74,61,72,74,51,100,61,68,50,95,100,53,44,75,69,72,42,83,86,75,88,63,60,50,37,45,65,65,83,73,72,55,126,66,82,84,86,60,59,30,38,49,102,116,56,64,68,68,103,35,99,109,76,56,53,46,42,76,55,86,47,80,95,63,113,115,69,80,73,57,66,72,70,66,64,62,68,26,60,81,92,82,104,68,67,80,75,74,69,76,54,84,80,66,83,65,59,60,70,69,67,68,69,68,88,77,85,78,71,56,52,62,91,131,89,69,75,97,116,80,66,113,89,104,72,88,82,76
10,11,4,11,5,27,32,4,9,65,0,29,10,13,17,10,6,13,11,11,24,13,53,18,1,8,6,17,14,29,14,8,11,5,6,7,13,13,7,25,25,10,11,29,5,14,6,10,11,15,7,14,29,18,20,1072,17,23,4,19,9,1370,45,66,20,13,15,9,9,14,8,9,12,9,13,10,2,3,15,12,28,16,13,14,10,2,7,13,4,9,33,3,29,14,10,10,17,27,26,14,13,16,8,7,7,12,13,12,9,18,32,18,7,15,30,29,17,25,10,10,12,26,18,22,12,20,8,8,19,32,24,4,10,14,10,11,14,65,11,12,13,20,6,13,40,28,16,32,50,13,8,18,10,30,32,31,43,14,13,18,24,25,14,16,20,20,16,26,11,50,51,13,11,6,9,1,9,5,16,16,4,4,42,9,14,27,14,39,10,11,12,23,10,6,12,14,18,13,9,13,5,9,11,2,7,2,11,14,5,16,10,18,9,5,9,14,11,29,62,25,8,8,33,52,13,14,48,25,32,11,26,10,10
