Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0,4,18,10,10,20,18,16,20,13,8,7,13,10,15,10,19,13,6,4,8
2,4,0,15,8,8,17,17,14,16,11,6,5,10,8,13,8,17,10,4,3,6
3,18,15,0,10,10,2,2,9,2,7,10,11,14,10,11,10,16,13,12,14,9
4,10,8,10,0,1,10,10,6,10,4,5,4,4,1,5,1,8,4,4,8,10
5,10,8,10,1,0,10,11,7,10,4,5,3,4,1,6,1,9,4,5,8,10
6,20,17,2,10,10,0,1,8,1,8,12,12,13,10,10,10,17,14,14,16,12
7,18,17,2,10,11,1,0,9,1,7,10,12,14,10,12,11,16,14,14,16,10
8,16,14,9,6,7,8,9,0,10,4,8,10,8,7,3,6,8,5,11,13,10
9,20,16,2,10,10,1,1,10,0,8,11,12,14,11,11,10,16,14,14,16,11
10,13,11,7,4,4,8,7,4,8,0,5,6,7,4,4,3,10,7,7,10,8
11,8,6,10,5,5,12,10,8,11,5,0,2,9,5,7,5,11,8,3,5,6
12,7,5,11,4,3,12,12,10,12,6,2,0,6,3,8,4,12,6,2,6,8
13,13,10,14,4,4,13,14,8,14,7,9,6,0,4,6,4,10,4,9,13,14
14,10,8,10,1,1,10,10,7,11,4,5,3,4,0,5,1,10,4,5,9,11
15,15,13,11,5,6,10,12,3,11,4,7,8,6,5,0,5,6,3,9,11,12
16,10,8,10,1,1,10,11,6,10,3,5,4,4,1,5,0,9,4,4,8,11
17,19,17,16,8,9,17,16,8,16,10,11,12,10,10,6,9,0,7,13,14,16
18,13,10,13,4,4,14,14,5,14,7,8,6,4,4,3,4,7,0,8,12,13
19,6,4,12,4,5,14,14,11,14,7,3,2,9,5,9,4,13,8,0,4,6
20,4,3,14,8,8,16,16,13,16,10,5,6,13,9,11,8,14,12,4,0,5
21,8,6,9,10,10,12,10,10,11,8,6,8,14,11,12,11,16,13,6,5,0
