ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
135,38,135,5,123553,136
136,88,137,10,94979,138
137,10,139,12,19221,140
138,12,141,5,123859,142
139,42,143,5,111764,144
140,43,145,6,34355,146
141,25,147,12,128071,148
142,31,149,9,17218,150
143,43,151,8,60390,152
144,22,153,7,41918,154
145,21,155,6,4574,156
146,25,157,5,97449,158
147,48,159,6,97392,160
148,1,161,1,15493,162
149,42,163,7,94982,164
150,100,165,30,83048,166
151,25,153,7,41918,167
152,1,168,1,15493,169
153,64,170,13,8704,171
154,23,172,11,102906,173
155,68,174,24,103582,175
156,67,176,5,88554,177
157,37,178,7,1469,179
158,1,180,1,15493,181
159,68,182,5,77177,183
160,31,184,9,7358,185
161,20,186,5,96329,187
162,20,188,7,50526,189
163,51,145,7,34355,190
164,16,153,7,41918,191
165,37,192,12,4305,193
166,46,194,7,9200,195
167,10,139,11,19221,196
168,9,139,10,19221,197
169,10,139,11,19221,198
170,57,199,11,122253,200
171,14,201,10,115859,202
172,66,203,5,854,204
173,27,205,5,14889,200
174,47,206,25,5403,207
175,30,208,13,77633,209
176,33,157,5,97449,210
177,42,211,11,44377,212
178,56,206,25,5403,193
179,20,213,10,4827,214
180,26,215,12,126306,216
181,42,217,8,45,218
182,100,219,9,51183,220
183,30,221,7,482,222
184,21,153,7,41918,223
185,22,224,9,31779,225
186,91,178,9,1469,226
187,27,153,7,41918,227
188,32,153,7,41918,228
189,33,176,5,88554,229
190,18,230,7,56617,231
191,45,163,7,94982,232
192,1,233,5,98237,234
193,35,159,6,97392,235
194,85,165,30,83048,236
195,44,137,9,94979,237
196,17,238,17,18587,239
197,1,240,1,15493,241
198,42,242,11,126732,243
199,42,244,8,112900,245
200,100,246,23,5404,247
201,71,248,13,409,249
202,54,250,5,121005,251
203,42,252,11,888,253
204,32,254,8,9744,255
205,1,256,1,15493,257
206,21,153,7,41918,258
207,37,211,12,44377,259
208,22,238,17,18587,260
209,4,261,14,128784,262
210,19,263,5,70694,264
211,19,153,7,41918,265
212,84,266,7,2735,267
213,44,268,7,96241,269
214,50,213,12,4827,270
215,84,153,7,41918,271
216,67,178,8,1469,272
217,31,211,11,44377,273
218,43,266,6,2735,274
219,49,266,6,2735,275
220,100,165,30,83048,276
221,29,277,18,9058,278
222,27,279,8,11303,280
223,21,281,7,1447,282
224,29,281,8,1447,283
225,47,244,9,112900,284
226,1,285,1,15493,286
227,27,145,6,34355,287
228,32,288,11,13156,289
229,36,290,5,45318,291
230,35,292,14,77495,293
231,7,139,11,19221,294
232,57,295,5,67181,296
233,1,297,1,15493,298
234,65,165,30,83048,299
235,100,300,29,468,136
236,100,184,14,7358,301
237,1,302,1,15493,303
238,100,153,7,41918,304
239,75,305,14,51097,306
240,10,139,11,19221,198
241,53,307,10,8522,308
242,41,250,5,121005,309
243,30,238,19,18587,310
244,18,311,13,44378,312
245,51,313,8,1480,314
246,31,315,13,75109,316
247,42,317,5,77360,318
248,59,206,25,5403,319
249,39,320,25,14423,321
250,42,322,21,5213,323
251,48,324,9,29858,325
252,30,311,13,44378,326
253,93,165,30,83048,327
254,10,139,11,19221,328
255,79,322,21,5213,329
256,44,330,18,131131,331
