Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331
1,0,42,67,49,30,49,51,48,62,32,46,36,48,44,38,49,50,44,33,47,42,53,33,34,33,34,41,38,44,43,53,34,44,41,29,30,45,44,29,27,32,27,52,44,34,48,51,34,32,47,44,37,24,31,34,31,49,32,44,46,49,30,41,30,46,43,36,27,33,36,60,44,34,21,41,42,29,54,44,44,30,48,52,42,25,50,50,40,39,48,66,42,53,40,48,44,55,44,22,29,37,34,27,29,50,49,62,44,51,44,44,41,45,47,34,8,48,10,50,43,49,58,51,44,49,28,41,43,45,32,44,47,40,40,44,44,24,33,45,29,45,44,50,40,50,54,54,53,46,31,35,31,32,27,42,48,36,28,48,47,59,46,60,64,37,29,41,14,29,54,54,46,31,69,59,46,50,33,38,46,24,40,44,30,32,39,27,41,43,48,50,49,42,28,32,46,45,35,46,32,44,40,30,33,41,45,37,29,29,23,50,54,46,52,22,22,47,44,48,42,44,36,40,42,44,35,28,59,51,57,43,59,40,54,49,39,27,41,33,37,54,39,54,45,52,44,47,45,35,53,36,41,44,44,42,35,9,51,44,41,54,52,47,51,33,28,40,52,48,34,41,46,44,44,47,36,36,34,46,42,48,54,46,58,36,48,42,30,35,43,61,44,48,32,54,52,31,49,46,44,28,50,48,30,46,46,32,30,40,40,50,54,48,43,32,42,45,52,48,52,52,57,52,50,52,30,30,36,55,4,4
2,42,0,24,8,28,8,8,10,22,25,3,6,16,3,12,7,10,4,9,8,3,11,12,9,9,9,4,12,3,2,12,8,4,2,14,35,6,3,13,26,26,14,11,6,8,8,10,12,10,8,5,11,18,27,8,26,8,11,6,11,8,28,17,28,3,1,11,16,8,7,19,3,8,22,1,3,24,12,4,4,15,6,10,5,19,10,10,8,4,7,25,3,11,3,7,3,12,3,23,15,10,6,27,32,10,8,19,2,11,13,6,3,5,7,7,50,9,52,8,4,8,16,8,4,8,15,6,5,6,28,7,6,5,2,4,4,18,12,6,19,6,5,10,8,8,14,10,14,5,12,39,33,28,32,6,5,8,15,15,11,16,4,19,23,12,12,4,58,12,13,15,5,11,27,18,4,7,8,4,5,26,2,4,26,36,3,13,2,4,6,8,6,7,14,14,5,6,6,5,11,12,12,14,9,1,3,3,13,12,19,9,14,5,11,23,19,6,2,5,4,5,12,4,2,1,13,30,16,11,14,5,19,4,13,10,13,15,3,11,17,15,2,13,6,10,6,4,6,7,9,6,2,5,5,4,14,33,10,4,3,21,17,8,8,8,14,2,10,9,11,4,4,5,6,4,8,8,12,6,3,7,12,3,15,9,8,2,14,8,3,18,6,5,8,12,12,12,8,7,4,33,8,7,17,6,6,14,29,12,4,7,14,8,4,10,5,3,10,5,14,16,14,13,6,12,14,12,6,14,39,40
3,67,24,0,16,50,16,16,16,18,49,20,28,16,21,28,16,14,21,32,15,20,12,34,30,30,32,22,28,20,22,11,30,19,26,38,54,18,22,37,49,48,38,12,19,32,18,14,30,33,16,18,29,41,48,30,48,16,34,19,16,16,52,24,48,22,22,27,37,31,28,14,20,29,44,24,20,46,12,19,20,38,18,14,19,38,13,14,26,25,16,19,21,13,26,16,20,11,20,46,39,29,30,50,51,13,15,16,22,13,20,20,24,20,16,29,72,15,74,16,21,15,8,16,21,16,40,22,20,21,51,21,17,25,23,20,19,40,32,18,42,20,18,12,24,15,10,13,9,20,36,61,55,50,55,23,19,30,37,16,17,8,20,14,20,28,36,23,76,35,10,9,18,34,18,6,18,16,32,26,19,38,25,20,51,59,27,36,22,22,18,15,18,20,38,38,18,18,30,20,32,18,24,37,31,23,20,27,37,35,42,15,8,18,12,46,42,19,22,18,22,18,30,24,24,23,32,51,8,13,10,19,18,26,11,17,25,36,24,35,26,8,25,11,17,14,21,20,21,29,14,29,23,18,20,25,28,54,14,21,22,20,16,17,16,30,37,24,14,15,34,27,20,20,20,20,32,28,30,21,24,16,11,20,8,28,16,24,36,30,20,6,21,18,30,12,11,34,16,20,20,58,15,16,41,18,19,38,49,24,27,16,10,15,22,33,24,20,14,18,10,15,9,10,17,10,34,35,28,10,64,66
4,49,8,16,0,34,1,7,8,17,33,5,14,12,5,13,4,2,5,17,1,5,4,18,14,16,16,7,12,5,7,5,15,4,9,21,41,2,6,20,32,36,22,6,9,15,5,3,13,17,5,4,12,24,34,15,35,4,17,5,8,1,36,14,33,5,7,12,24,16,12,13,5,13,27,8,5,32,4,4,4,21,6,3,4,24,6,3,10,10,3,18,6,9,10,6,5,6,5,30,23,12,13,35,37,3,1,16,6,6,10,9,10,4,1,15,57,8,58,8,7,6,9,1,6,1,23,9,8,9,35,10,2,8,7,4,5,25,17,9,28,9,6,5,9,4,7,3,7,4,19,45,40,34,40,8,6,14,21,13,8,8,7,14,19,12,20,7,62,20,6,9,4,18,22,11,4,3,16,11,6,24,10,4,34,41,11,20,8,7,2,1,2,4,21,20,6,6,14,5,19,8,10,21,15,8,5,11,20,19,27,8,8,2,4,31,27,2,6,6,7,4,13,8,8,7,16,37,8,4,8,4,17,10,6,8,10,22,8,18,13,8,8,6,2,4,10,6,8,14,4,13,6,6,4,9,14,41,2,6,8,20,16,5,3,14,22,9,5,4,18,10,4,9,8,6,15,14,14,5,8,8,8,6,8,13,7,9,21,16,5,10,8,5,15,4,9,18,5,10,6,38,4,9,24,2,4,22,37,10,11,8,6,1,7,17,8,5,3,5,6,12,8,6,4,7,20,20,14,7,45,47
5,30,28,50,34,0,32,33,35,51,2,29,22,36,30,22,32,36,30,18,36,29,36,16,19,18,18,27,22,28,28,39,19,31,26,14,7,34,30,13,4,1,14,39,32,20,34,38,20,18,36,32,22,14,1,19,2,33,18,30,34,34,2,25,1,29,28,22,12,19,23,45,31,22,24,28,31,4,40,29,30,13,31,36,30,20,38,38,24,26,33,53,28,36,23,33,31,38,30,9,13,22,21,4,4,38,34,46,27,38,28,30,24,29,33,21,34,36,30,36,29,34,45,34,28,34,13,29,30,30,1,31,32,27,27,29,30,14,19,31,8,32,32,39,25,34,40,38,41,30,16,12,7,1,6,28,31,21,17,34,34,42,31,47,50,23,16,28,32,15,39,41,33,16,56,45,30,33,18,23,32,28,25,32,2,8,24,14,28,29,34,37,33,30,13,14,31,34,22,31,16,33,27,13,18,26,30,25,15,16,15,36,41,31,38,9,13,31,28,30,28,32,22,28,26,29,20,4,41,38,39,31,42,26,38,34,26,13,26,16,23,43,26,40,33,35,28,30,28,21,36,22,29,31,30,26,20,23,38,28,28,40,35,34,35,20,14,26,35,36,17,26,30,33,28,30,19,22,21,32,27,35,41,29,42,21,34,25,13,19,29,42,28,32,19,37,38,16,34,32,30,6,37,33,10,32,32,14,2,24,23,34,38,35,28,17,28,29,38,31,40,36,42,39,34,40,15,16,20,39,29,28
6,49,8,16,1,32,0,8,7,18,31,6,14,13,5,12,4,2,4,17,1,5,4,20,14,16,16,7,12,5,7,5,15,4,9,20,42,2,6,22,32,34,20,7,10,15,5,4,13,16,6,4,12,24,34,16,34,4,17,4,7,0,36,13,33,5,7,12,21,16,12,12,6,12,26,7,6,30,4,4,5,21,7,3,4,24,7,3,10,10,4,17,6,9,10,7,6,6,5,28,21,12,13,32,36,3,1,16,6,6,10,9,10,4,1,14,58,9,57,8,7,6,9,0,7,1,22,9,8,10,35,10,2,8,7,4,5,25,16,10,26,9,6,6,8,5,7,4,7,4,18,46,40,36,39,9,6,14,22,13,7,9,8,12,19,12,20,8,60,20,7,10,4,17,20,10,4,4,16,10,6,25,10,3,35,43,10,20,7,7,3,1,2,4,20,21,7,7,13,5,18,8,9,21,15,9,5,10,20,19,27,9,8,2,4,29,26,2,6,6,6,4,13,8,7,7,15,36,8,5,9,4,16,10,6,7,10,22,8,18,13,8,8,6,2,3,10,7,9,14,4,13,6,6,4,8,14,42,3,6,8,20,14,4,2,15,22,8,4,5,18,10,4,9,9,7,15,14,14,4,8,8,8,6,9,13,8,8,22,15,6,11,9,6,15,5,10,19,5,10,6,38,4,10,23,2,4,20,34,10,10,9,6,1,7,18,8,5,4,5,6,12,9,6,4,8,20,18,13,7,44,48
7,51,8,16,7,33,8,0,15,25,34,4,13,19,4,16,4,9,6,17,8,4,4,19,15,16,16,8,15,4,7,8,16,6,9,20,41,9,7,22,31,33,21,4,3,15,12,4,16,17,3,4,15,24,34,15,35,4,18,10,15,8,36,21,33,5,6,15,21,15,12,20,4,13,28,7,4,30,6,7,6,21,2,6,10,22,4,6,12,10,4,25,6,4,11,1,5,12,5,29,22,14,13,35,37,8,7,23,6,4,18,3,9,10,8,14,56,2,56,1,4,2,9,8,6,8,21,6,4,5,34,5,6,8,7,7,3,24,17,3,26,3,3,4,12,3,8,6,8,9,19,46,41,34,40,6,3,14,22,19,15,8,4,20,26,16,18,7,64,18,6,8,4,18,26,12,9,4,15,11,3,32,10,8,32,39,10,20,7,8,5,7,8,12,22,21,3,2,13,9,18,16,16,22,16,8,5,10,21,19,27,2,8,10,8,30,26,9,6,2,9,4,16,8,8,7,16,35,10,3,7,9,24,9,9,14,16,23,7,18,22,14,8,14,10,10,5,4,6,14,4,13,6,3,10,8,19,40,7,7,7,26,21,12,10,16,22,8,12,4,19,9,7,3,5,4,15,12,15,9,8,0,6,5,8,13,1,8,22,15,5,11,6,3,15,5,6,18,3,3,4,39,11,2,24,6,11,20,35,17,11,2,6,8,8,17,8,7,5,3,6,19,8,7,4,6,20,19,13,7,43,49
8,48,10,16,8,35,7,15,0,15,34,12,14,6,11,12,11,6,10,17,7,11,11,18,15,17,16,7,13,11,12,6,15,8,10,21,43,6,8,20,30,33,20,14,17,16,3,11,14,16,12,12,12,24,33,16,32,11,18,4,1,7,36,8,34,12,10,12,22,16,12,13,13,13,26,10,12,31,9,8,8,22,14,9,6,23,13,9,10,14,11,16,13,15,12,14,12,6,12,30,23,12,13,35,38,7,8,12,8,13,6,16,13,6,8,14,53,15,61,14,14,13,14,7,14,8,22,16,15,16,35,17,9,16,8,8,12,24,15,16,26,16,13,12,8,12,7,9,12,6,20,45,40,34,38,16,13,12,21,6,1,13,15,12,16,12,20,14,62,18,14,16,10,18,21,11,6,11,16,14,13,24,10,7,34,40,11,22,8,8,10,8,7,4,20,21,14,13,13,6,19,3,9,21,16,10,11,10,20,20,26,16,14,6,6,28,26,6,13,13,7,11,14,13,10,10,15,36,8,12,16,6,9,10,6,1,8,23,13,19,10,8,9,6,6,4,17,13,16,14,12,14,12,12,6,14,14,42,8,7,8,12,8,3,5,15,21,11,3,11,18,14,8,15,16,14,15,12,14,6,13,15,15,13,14,13,15,9,22,15,12,10,16,13,14,11,16,19,12,16,13,40,4,16,23,8,4,21,36,9,11,16,12,7,7,18,15,8,10,13,10,6,15,12,11,14,20,20,13,14,46,49
9,62,22,18,17,51,18,25,15,0,50,22,28,15,20,29,22,16,20,33,18,21,22,36,32,32,31,23,29,22,22,16,31,19,23,36,56,17,22,36,45,51,37,25,26,29,17,21,30,32,22,20,27,41,49,31,48,22,33,20,17,17,49,23,51,23,22,28,38,30,28,5,22,28,41,22,23,47,19,19,20,38,24,20,20,40,22,19,25,24,22,1,23,26,27,23,22,13,22,47,38,27,27,50,51,17,18,4,21,22,20,26,25,19,18,30,71,26,72,26,24,22,25,17,25,17,36,27,24,26,48,26,19,26,22,20,22,41,32,27,41,26,23,22,24,22,18,20,22,20,33,64,55,52,54,26,24,29,36,16,16,23,26,5,2,26,36,24,76,35,24,26,20,32,5,12,20,20,30,26,23,41,26,18,47,54,25,37,22,22,20,19,17,19,36,36,23,24,28,20,32,18,24,37,30,23,20,26,35,35,42,24,25,17,16,44,41,17,22,23,23,20,30,23,23,22,30,50,16,21,27,19,7,26,16,17,22,38,23,32,24,11,23,12,17,14,26,24,26,28,21,28,23,24,21,24,29,56,19,21,24,8,13,18,15,31,35,24,13,22,34,25,20,25,27,24,30,28,30,21,23,25,24,22,24,27,25,23,36,32,22,17,25,22,30,22,26,35,21,28,23,56,14,27,38,18,19,38,51,26,27,26,23,17,21,32,25,21,20,22,21,14,26,21,21,24,36,33,28,23,61,63
10,32,25,49,33,2,31,34,34,50,0,28,20,33,28,20,33,33,28,18,32,28,37,14,18,18,18,28,21,27,26,39,17,29,26,12,8,30,26,12,4,2,13,38,29,19,31,36,19,17,33,31,21,15,2,19,2,34,15,28,33,32,4,26,2,28,26,22,10,18,22,44,30,21,26,26,28,3,39,30,30,12,32,34,29,21,36,34,22,24,32,48,28,36,22,32,29,38,28,9,11,22,19,4,5,37,34,42,27,36,27,29,24,30,32,19,32,36,31,34,30,34,41,33,28,33,12,28,31,29,2,28,32,25,26,29,30,14,18,30,7,30,29,38,26,32,39,38,40,28,15,14,9,2,7,28,29,19,16,32,33,41,30,46,48,22,14,26,32,14,37,39,29,16,51,44,31,32,18,22,29,29,24,30,2,8,22,12,26,27,31,34,30,28,12,13,31,32,20,30,14,31,25,12,18,25,28,24,13,15,17,35,41,30,36,9,14,31,28,30,26,30,20,25,26,26,20,4,41,36,41,28,43,24,39,33,24,14,25,15,23,41,26,37,31,37,28,30,27,20,35,21,28,32,28,25,19,22,37,26,25,40,36,30,34,19,12,26,36,35,16,24,30,31,29,30,18,20,20,28,26,32,37,27,40,20,32,24,12,17,27,44,26,29,18,37,38,14,35,29,28,7,34,34,9,30,29,13,2,24,23,34,36,32,28,16,25,27,35,31,38,33,40,38,32,40,13,14,20,40,30,28
