Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,0,1,9,20,16,8,4,10,2,16,12,14,6,4,18,3,18,17,2,16,17,11,10,17,6,2,8,16,7,7,2,10,2,13,2,8,16,2,10,11,3,10,2,8,1,10,5,20,12,2,8,16,2,20,16,3,12,5,16,3,5,20,11
2,1,0,10,19,18,8,4,10,2,15,11,14,6,5,18,3,16,16,2,16,17,10,10,16,7,2,9,17,8,7,2,10,1,14,3,9,15,2,10,12,3,10,1,8,0,11,5,18,11,2,8,17,2,18,15,4,11,5,16,4,4,20,11
3,9,10,0,19,8,6,6,7,7,18,12,4,10,9,10,6,14,8,8,13,8,9,9,8,3,8,3,8,2,6,8,0,8,5,7,6,17,9,7,7,7,14,10,1,10,13,12,18,21,8,16,20,11,18,12,8,12,14,14,8,12,18,16
4,20,19,19,0,26,21,19,14,18,4,8,23,14,24,27,16,5,24,18,5,25,9,25,26,15,18,19,24,18,13,18,18,19,23,20,20,4,17,13,21,17,30,18,18,18,29,14,0,10,17,11,3,19,1,8,22,8,16,5,22,15,1,8
5,16,18,8,26,0,10,13,12,16,25,20,4,17,16,2,15,20,1,16,20,1,17,12,1,10,16,9,1,10,14,15,8,17,4,14,9,24,17,12,9,14,17,18,8,16,16,21,27,29,15,24,27,19,25,17,16,20,22,22,15,20,26,23
6,8,8,6,21,10,0,4,12,6,18,14,6,8,8,12,5,20,10,7,19,9,13,4,9,8,6,3,9,4,10,6,6,8,6,6,2,18,8,12,4,5,8,9,6,8,8,12,22,19,7,14,19,10,22,18,6,14,13,18,6,11,21,14
7,4,4,6,19,13,4,0,10,2,15,11,10,5,5,16,2,16,14,2,16,13,10,7,13,4,2,5,14,4,6,2,6,4,10,2,6,15,4,9,8,2,11,5,5,4,12,8,19,15,3,10,16,6,20,15,4,11,8,16,4,6,19,11
8,10,10,7,14,12,12,10,0,8,14,8,8,5,14,14,8,9,12,8,9,12,5,15,12,5,9,10,12,8,3,9,7,9,9,10,12,14,8,0,12,8,19,9,6,9,19,8,14,17,8,12,15,9,14,6,13,8,10,9,13,8,14,12
9,2,2,7,18,16,6,2,8,0,14,10,12,4,6,17,1,16,16,1,15,16,8,9,16,5,1,7,15,6,6,1,8,2,12,2,7,14,2,8,10,1,12,3,7,2,12,6,18,14,1,8,15,4,18,13,5,10,6,15,5,5,19,10
10,16,15,18,4,25,18,15,14,14,0,6,22,10,20,28,14,5,26,14,5,26,10,21,24,16,15,17,25,16,12,14,18,14,22,16,17,0,14,14,21,14,25,14,16,15,26,11,4,6,14,8,2,15,4,9,19,6,13,5,18,12,4,5
11,12,11,12,8,20,14,11,8,10,6,0,17,6,16,22,9,6,20,10,5,20,4,17,19,10,11,12,20,11,6,10,12,11,17,12,13,6,10,8,14,9,22,10,12,11,22,7,8,9,10,4,7,12,8,4,14,0,9,5,14,8,8,4
12,14,14,4,23,4,6,10,8,12,22,17,0,14,14,6,11,18,4,12,17,4,13,8,4,7,12,5,4,7,10,12,4,13,0,12,5,21,14,8,5,12,12,15,6,14,14,16,23,26,12,20,23,15,22,13,12,16,17,18,13,16,23,20
13,6,6,10,14,17,8,5,5,4,10,6,14,0,10,20,4,12,17,4,11,16,5,12,17,7,5,9,18,8,4,4,9,5,14,6,9,10,4,5,12,4,16,4,9,6,16,4,14,12,4,6,12,6,13,10,9,6,5,11,9,3,14,7
14,4,5,9,24,16,8,5,14,6,20,16,14,10,0,18,7,21,16,6,21,16,14,10,17,10,5,9,16,8,12,6,9,6,14,4,9,20,6,14,12,7,8,6,8,5,6,9,23,14,6,12,22,5,24,19,2,16,7,21,2,8,25,16
