ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
30,2,30,5,143984,31
31,5,30,5,143984,31
32,14,32,6,115150,33
33,4,34,7,15019,35
34,35,36,9,99238,37
35,9,38,15,143237,39
36,15,40,10,113009,41
37,14,42,8,148439,43
38,14,44,15,125754,45
39,7,46,9,15971,47
40,100,48,27,150890,49
41,52,50,11,4422,51
42,15,38,15,143237,52
43,36,53,19,14093,37
44,17,54,14,137816,55
45,42,56,21,139290,57
46,19,58,14,151704,59
47,12,60,18,29184,61
48,18,40,11,113009,62
49,19,46,11,15971,43
50,6,60,17,29184,63
51,8,34,7,15019,64
52,19,46,12,15971,65
53,20,46,11,15971,66
54,10,38,14,143237,67
55,75,53,22,14093,68
56,19,40,12,113009,64
57,12,69,24,117992,70
58,23,38,19,143237,71
