Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,0,8,2,4,2,2,5,4,1,2,2,4,5,3,3,4,5,4,2,5,5,5,4,6,4,4,6,10,6,4,2,6,11,5,10,6,4,4,4,3,10,6,6,4,8,5,8,3,2,6,4,7,5,5,2,3,12,5,13,10,4,8,6,2,5,5,4,4,7,2,9
2,8,0,7,6,10,7,11,5,8,8,11,7,8,11,6,6,10,6,8,4,11,4,5,11,5,5,11,12,3,7,7,10,11,11,6,10,8,7,8,6,11,10,3,5,7,11,5,9,8,11,10,4,10,4,8,11,15,11,14,13,7,3,8,8,9,6,8,8,10,7,6
3,2,7,0,4,3,1,6,2,2,2,4,4,4,4,1,4,6,3,1,3,6,4,3,6,3,3,6,11,5,4,1,6,10,6,8,7,3,4,3,1,9,7,4,3,7,6,6,2,1,6,4,6,6,3,2,4,13,6,14,11,3,6,4,1,4,4,3,3,8,3,7
4,4,6,4,0,6,4,9,4,5,3,5,1,2,7,3,1,9,1,4,2,10,4,5,9,2,2,10,13,6,1,4,9,7,10,9,11,2,1,2,3,6,10,6,2,9,9,8,2,4,9,8,6,9,2,3,7,17,9,18,15,2,6,2,3,3,2,2,2,11,6,8
5,2,10,3,6,0,4,3,5,2,4,2,6,7,1,4,6,4,6,3,6,4,6,6,4,6,5,4,8,7,6,4,4,13,4,11,5,5,6,6,4,12,5,7,5,10,4,9,5,3,4,2,8,3,6,4,1,11,4,11,9,6,10,8,4,6,6,6,6,5,4,10
6,2,7,1,4,4,0,6,2,2,2,4,4,5,4,1,4,6,4,1,3,6,3,2,6,2,4,6,10,4,4,1,6,10,5,8,7,3,4,3,1,10,7,4,4,6,6,6,3,1,6,4,5,6,3,2,4,14,6,13,11,3,6,5,2,4,4,4,3,7,3,7
7,5,11,6,9,3,6,0,6,5,7,5,10,10,3,6,9,1,9,6,8,1,7,6,1,8,9,1,5,8,9,6,1,16,1,12,2,8,9,9,6,14,2,8,9,10,1,9,8,6,1,2,9,1,8,6,3,8,1,8,6,9,10,10,7,9,9,8,9,2,4,11
8,4,5,2,4,5,2,6,0,4,4,6,4,4,6,2,4,6,3,2,2,7,2,2,6,2,3,6,10,2,4,2,6,9,6,6,7,3,4,3,2,9,7,2,3,6,6,4,4,3,7,6,3,6,2,4,6,14,6,14,11,3,4,5,3,4,4,3,4,8,3,5
9,1,8,2,5,2,2,5,4,0,2,2,4,5,3,2,5,5,4,2,5,6,5,4,5,4,4,6,9,6,5,2,5,11,5,10,6,4,4,4,2,10,6,6,4,8,5,7,3,1,6,4,7,5,5,2,2,12,5,13,11,4,8,6,2,5,5,4,4,7,2,9
10,2,8,2,3,4,2,7,4,2,0,2,3,3,4,3,3,6,4,2,4,7,5,4,7,4,4,7,11,6,3,2,7,9,6,10,8,2,3,2,2,8,8,6,4,8,7,8,2,2,8,5,7,7,5,1,4,14,7,14,12,2,8,4,2,3,4,2,2,8,4,8
11,2,11,4,5,2,4,5,6,2,2,0,5,5,2,4,5,5,5,4,6,5,7,6,5,6,6,5,9,8,5,4,5,11,5,11,6,4,5,4,4,10,6,8,6,10,5,9,4,3,5,3,9,5,6,2,2,12,5,12,10,4,10,6,3,5,6,4,4,6,4,10
12,4,7,4,1,6,4,10,4,4,3,5,0,2,7,3,1,9,1,3,2,10,4,5,10,2,2,10,14,5,1,4,10,7,9,9,11,2,1,2,3,6,10,5,2,9,10,8,2,4,10,8,6,9,2,3,7,17,9,16,15,2,6,2,3,3,2,2,2,11,6,8
13,5,8,4,2,7,5,10,4,5,3,5,2,0,7,4,2,10,3,4,4,10,4,5,10,3,3,10,14,6,1,4,10,6,10,10,11,2,2,2,4,5,11,6,3,10,10,8,2,4,10,8,7,10,4,4,7,17,9,18,14,2,7,1,3,1,3,2,2,11,7,9
14,3,11,4,7,1,4,3,6,3,4,2,7,7,0,5,7,3,6,4,7,3,7,6,3,7,6,3,8,8,6,4,3,13,3,12,4,6,6,6,5,12,4,8,6,10,3,10,6,4,3,1,10,3,7,4,1,10,3,11,9,6,10,8,4,7,7,6,6,4,4,11
15,3,6,1,3,4,1,6,2,2,3,4,3,4,5,0,3,7,3,1,2,7,3,2,6,2,2,7,10,4,3,1,6,9,6,8,8,2,3,2,1,8,7,4,2,6,7,6,2,2,7,5,5,6,2,3,4,14,6,14,12,2,6,4,2,3,4,3,2,8,4,7
16,4,6,4,1,6,4,9,4,5,3,5,1,2,7,3,0,9,1,3,2,10,4,5,10,2,2,9,14,6,1,4,10,6,10,9,10,2,1,2,3,6,10,5,2,9,9,8,2,4,10,7,6,10,2,3,7,17,9,16,15,2,6,2,3,3,2,2,2,11,6,8
17,5,10,6,9,4,6,1,6,5,6,5,9,10,3,7,9,0,9,6,7,1,8,6,1,8,8,1,5,8,9,6,1,16,1,12,2,8,10,8,6,15,2,8,9,10,1,10,8,6,1,2,9,1,7,7,3,8,1,8,6,8,10,10,7,9,9,9,8,2,4,11
