Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,3,29,3,3,3,22,22,3,12,22,25,3,5,22,18,22,32,21,3,21,19,23,6
2,3,0,27,1,1,1,22,21,1,11,20,21,1,2,20,16,22,32,20,1,22,18,20,5
3,29,27,0,28,28,27,6,6,28,17,7,7,28,28,6,14,6,6,7,28,6,13,6,23
4,3,1,28,0,1,1,22,22,1,11,20,22,1,2,21,17,20,31,21,1,22,18,22,5
5,3,1,28,1,0,1,20,21,1,11,20,20,1,2,22,17,22,32,20,1,22,19,21,4
6,3,1,27,1,1,0,22,22,1,11,22,22,1,2,22,17,23,30,21,1,21,19,20,5
7,22,22,6,22,20,22,0,1,20,15,2,8,20,24,1,12,1,10,4,22,1,12,7,17
8,22,21,6,22,21,22,1,0,21,15,2,8,21,23,1,12,1,10,5,21,1,11,7,17
9,3,1,28,1,1,1,20,21,0,11,21,22,1,2,20,16,22,32,20,1,21,19,21,5
10,12,11,17,11,11,11,15,15,11,0,16,23,10,13,15,6,14,22,20,11,15,8,21,7
11,22,20,7,20,20,22,2,2,21,16,0,7,20,24,2,13,2,10,4,20,1,12,6,17
12,25,21,7,22,20,22,8,8,22,23,7,0,21,23,8,19,8,10,4,21,8,18,1,20
13,3,1,28,1,1,1,20,21,1,10,20,21,0,2,22,16,21,32,21,1,22,19,22,4
14,5,2,28,2,2,2,24,23,2,13,24,23,2,0,23,18,22,34,22,2,23,20,23,6
15,22,20,6,21,22,22,1,1,20,15,2,8,22,23,0,11,1,10,5,20,1,11,7,17
16,18,16,14,17,17,17,12,12,16,6,13,19,16,18,11,0,12,20,16,17,12,2,19,13
17,22,22,6,20,22,23,1,1,22,14,2,8,21,22,1,12,0,10,5,21,1,11,7,17
18,32,32,6,31,32,30,10,10,32,22,10,10,32,34,10,20,10,0,10,30,10,19,10,28
19,21,20,7,21,20,21,4,5,20,20,4,4,21,22,5,16,5,10,0,21,4,15,3,16
20,3,1,28,1,1,1,22,21,1,11,20,21,1,2,20,17,21,30,21,0,21,19,22,4
21,21,22,6,22,22,21,1,1,21,15,1,8,22,23,1,12,1,10,4,21,0,12,7,17
22,19,18,13,18,19,19,12,11,19,8,12,18,19,20,11,2,11,19,15,19,12,0,18,15
23,23,20,6,22,21,20,7,7,21,21,6,1,22,23,7,19,7,10,3,22,7,18,0,17
24,6,5,23,5,4,5,17,17,5,7,17,20,4,6,17,13,17,28,16,4,17,15,17,0
