ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
359,10,359,13,184507,360
360,21,361,18,27531,362
361,9,363,9,134812,364
362,9,365,6,42772,366
363,6,367,9,146249,368
364,9,369,15,1382,370
365,100,371,6,16867,372
366,8,373,14,94058,374
367,5,375,6,157446,376
368,60,371,5,16867,377
369,7,361,15,27531,378
370,8,379,12,142514,380
371,11,381,44,167020,382
372,5,383,12,12830,384
373,20,385,15,28464,386
374,25,387,15,13130,388
375,16,389,16,151695,390
376,39,391,23,166807,392
377,1,393,14,185069,394
378,13,395,22,2172,396
379,8,397,15,90450,398
380,7,399,12,180953,400
381,16,401,13,18260,402
382,19,403,17,39545,404
383,9,405,12,13987,406
384,3,407,13,142590,408
385,6,62,8,42794,409
386,15,410,18,188989,411
387,6,412,5,157444,413
388,100,381,44,167020,414
389,21,415,17,8894,416
390,5,417,10,114511,418
391,5,419,12,27311,420
392,9,421,13,556,422
393,23,423,10,170264,424
394,19,239,13,39917,425
395,12,426,12,159658,427
396,17,428,16,169549,429
397,1,393,14,185069,430
398,6,431,13,38354,432
399,16,433,14,192416,434
400,6,435,12,41550,436
401,1,437,14,120526,438
402,17,437,19,120526,439
403,11,440,17,189654,441
404,13,403,15,39545,442
405,12,443,16,150247,444
406,45,445,19,118419,446
407,1,447,11,7083,448
408,7,62,8,42794,449
409,8,381,44,167020,450
410,9,451,5,152845,452
411,1,453,15,182863,454
412,11,455,16,38019,456
413,19,457,22,40651,458
414,10,361,16,27531,459
415,1,460,10,125054,461
416,12,462,16,108374,463
417,36,464,3,17137,465
418,18,466,17,154451,467
419,18,468,17,119103,469
420,32,371,6,16867,470
421,9,471,13,125178,472
422,16,443,17,150247,473
423,26,474,13,142247,475
424,12,462,15,108374,476
425,100,381,44,167020,477
426,4,478,16,4023,479
427,13,405,14,13987,480
428,7,464,3,17137,481
429,1,482,13,13046,483
430,18,484,12,13634,485
431,6,361,16,27531,486
432,13,395,22,2172,487
433,10,488,18,1551,489
434,1,490,8,185279,491
435,1,492,10,5315,493
436,32,494,15,125382,495
437,7,496,13,6823,497
438,7,498,12,36037,499
439,8,500,7,166804,501
440,8,502,14,13101,503
441,21,504,19,184156,505
442,13,506,7,175541,507
443,13,508,11,20469,509
444,100,371,6,16867,510
445,100,511,5,128927,512
446,9,513,14,117993,514
447,12,361,16,27531,515
448,31,516,10,105821,517
449,10,518,9,126388,519
450,46,520,19,1141,521
451,12,462,16,108374,522
452,6,523,11,181871,524
453,29,525,11,173309,526
454,8,527,12,145317,528
455,16,492,14,5315,529
456,18,530,17,154573,531
457,7,440,15,189654,532
458,7,533,14,30159,534
459,5,535,11,40411,536
460,15,537,17,26898,538
461,5,539,6,171028,540
462,4,541,6,13114,542
463,7,466,13,154451,543
464,6,451,5,152845,544
465,28,371,3,16867,545
466,7,457,19,40651,546
467,1,547,7,120661,548
468,4,549,14,12522,550
469,2,551,14,174210,552
470,34,464,3,17137,553
471,29,554,19,158811,555
472,11,451,5,152845,556
473,15,557,25,38398,558
474,14,559,17,190755,560
475,17,561,17,6595,562
476,7,563,13,841,564
477,28,565,18,65696,566
478,8,387,10,14803,477
479,18,567,9,162977,568
480,25,437,20,120526,569
481,4,570,12,126374,571
482,23,572,15,6950,573
483,39,464,4,17137,574
484,56,428,18,169549,575
485,14,371,6,16867,576
486,33,443,18,150247,577
487,6,578,9,114723,579
488,15,580,12,142666,581
489,100,381,44,167020,477
490,9,582,13,193283,583
491,47,371,3,16867,584
492,12,361,17,27531,585
493,4,586,5,177927,587
494,6,371,6,16867,588
495,7,589,13,36804,590
496,11,504,17,178420,591
497,12,513,14,117993,592
498,17,593,8,38266,594
499,100,381,44,167020,414
500,5,595,11,157606,596
501,11,597,6,159966,598
502,9,599,9,26824,600
503,1,490,7,185279,548
504,5,601,7,29411,602
505,6,62,8,42794,603
506,1,604,11,161327,605
507,5,599,8,26824,606
508,7,363,8,134812,607
509,9,608,12,36824,609
510,16,373,16,94058,610
511,1,611,11,123462,612
512,4,567,6,162977,613
513,17,614,14,160,615
514,26,616,13,59344,617
515,10,455,16,38019,618
516,16,619,8,122870,620
517,12,621,14,2526,622
518,10,623,7,180444,624
519,1,625,8,16323,626
520,3,383,10,12830,627
521,12,496,14,6823,628
522,41,371,7,16867,629
523,17,395,23,2172,630
524,12,62,10,42794,631
525,100,511,5,128927,512
526,20,428,15,169549,632
527,21,633,19,177428,634
528,9,635,14,192598,636
529,26,428,16,169549,637
530,10,407,16,142590,638
531,13,639,12,168458,640
532,3,641,9,107,642
533,11,643,17,118699,644
534,9,645,16,146503,646
535,5,647,8,2240,648
536,20,649,14,355,650
537,60,371,6,16867,651
538,2,604,12,161327,652
539,22,653,15,169555,654
540,14,371,6,16867,655
541,23,656,21,189358,657
542,4,658,10,188296,659
543,6,451,5,152845,660
544,6,661,13,124549,662
545,10,530,16,154573,663
