ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
527,5,527,17,119689,528
528,8,529,11,3439,530
529,13,531,15,168027,532
530,6,533,10,186800,534
531,15,535,7,1761,536
532,11,537,13,2483,538
533,6,539,6,39914,540
534,18,541,13,17796,542
535,18,543,7,168332,544
536,9,545,15,120879,546
537,7,547,18,192246,548
538,100,274,11,148183,549
539,1,550,7,114521,551
540,20,552,14,28356,553
541,1,554,7,15903,555
542,19,539,16,40712,556
543,18,557,18,143578,558
544,6,559,12,840,560
545,62,561,8,113152,562
546,8,563,16,162574,564
547,25,565,12,91376,566
548,7,567,13,146866,568
549,11,569,16,158746,570
550,15,571,12,182162,572
551,6,573,15,114805,574
552,10,575,17,188606,576
553,8,577,20,161876,578
554,8,579,10,2838,580
555,12,581,13,143024,582
556,12,583,14,40405,584
557,100,585,3,16272,586
558,16,587,14,162228,588
559,28,589,13,119796,590
560,8,563,16,162574,591
561,47,592,16,113145,593
562,2,594,5,186155,595
563,4,596,10,40251,597
564,9,598,18,16202,599
565,1,600,9,13758,601
566,7,602,9,117042,603
567,16,604,18,135176,605
568,5,606,18,13968,607
569,7,608,6,5925,609
570,7,610,10,90704,611
571,3,612,12,163160,613
572,22,614,17,172967,615
573,9,616,11,118829,617
574,100,618,4,18943,619
575,1,620,7,181662,621
576,6,531,12,168027,622
577,9,623,19,24042,624
578,6,625,11,165711,626
579,22,627,6,158427,628
580,1,629,15,177675,630
581,19,631,16,117216,632
582,1,633,11,174104,634
583,10,635,17,37436,636
584,13,637,18,183004,638
585,20,639,16,1479,640
586,24,641,13,28183,642
587,1,643,5,162984,644
588,5,535,6,1761,645
589,25,646,8,128898,647
590,3,648,9,150115,649
591,26,650,14,122871,651
592,1,652,8,104335,653
593,7,654,10,156704,655
594,9,618,4,18943,656
595,63,637,24,183004,657
596,22,658,19,7802,659
597,7,660,15,169215,661
598,100,662,12,186160,663
599,10,664,11,17258,665
600,14,666,11,179706,667
601,25,668,13,34747,669
602,8,670,5,168073,671
603,19,672,22,39359,673
604,20,674,16,12629,675
605,25,676,3,17719,677
606,5,678,9,186042,679
607,8,680,19,174480,681
608,9,682,12,91320,683
609,8,676,4,17719,684
610,2,625,10,165711,685
611,2,686,6,191137,687
612,22,688,15,56139,689
613,8,690,14,24078,691
614,19,692,13,8190,693
615,19,694,16,120529,695
616,10,696,8,186056,697
617,5,678,8,186042,698
618,25,699,15,1169,700
619,9,701,5,41484,702
620,1,703,10,190405,704
621,23,618,4,18943,705
622,5,706,19,33878,707
623,100,585,3,16272,708
624,1,709,16,48093,710
625,6,711,11,186806,621
626,7,712,13,152518,713
627,14,714,21,3022,715
628,23,709,22,48093,716
629,13,717,15,29959,718
630,4,719,5,1310,720
631,5,721,6,165635,722
632,13,723,9,101539,724
633,31,725,17,124487,726
634,9,727,9,3092,728
635,62,618,4,18943,729
636,8,730,13,95835,731
637,90,732,11,185909,733
638,5,559,12,840,734
639,23,735,4,13678,736
640,16,563,7,167345,737
641,34,738,15,182916,739
642,3,740,8,183297,741
643,33,742,22,36944,743
644,5,625,12,165711,744
645,9,745,20,188926,746
646,1,747,14,40577,748
647,9,623,15,24042,749
648,100,592,17,113145,750
649,9,751,12,188640,752
650,16,753,7,133034,754
651,6,755,10,152472,756
652,5,757,14,170338,758
653,5,759,8,151132,760
654,7,761,9,169221,762
655,7,763,5,177044,764
656,14,765,10,177112,766
657,1,767,6,24832,768
658,7,769,13,171336,770
659,13,771,19,40016,772
660,9,773,13,116456,774
661,7,775,15,158331,776
662,16,777,12,5975,778
663,8,779,14,124114,780
664,28,563,8,167345,781
665,44,782,7,40960,783
666,20,706,23,33878,784
667,6,785,14,5933,786
668,30,618,4,18943,787
669,4,788,5,37967,789
670,100,592,17,113145,750
671,16,790,15,29757,791
672,14,792,14,28467,793
673,15,794,13,101292,795
674,7,745,20,188926,796
675,100,618,4,18943,619
