ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
17,6,17,14,123537,18
18,12,19,6,148937,20
19,7,21,19,125580,22
20,25,19,8,148937,23
21,6,17,14,123537,24
22,10,17,15,123537,25
23,25,26,14,13655,27
24,4,28,8,21275,29
25,32,30,22,12822,31
26,18,32,13,144667,33
27,14,19,7,148937,34
28,15,35,17,135966,36
29,20,37,25,13913,38
30,8,32,11,144667,39
31,9,40,16,100160,29
32,1,41,6,148308,42
33,12,17,15,123537,22
34,13,26,11,13655,43
35,4,44,7,13656,45
36,6,26,10,13655,46
37,20,47,14,14784,48
