ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
372,1,372,5,86484,373
373,4,374,13,95535,375
374,3,376,13,131287,377
375,4,378,5,87618,379
376,4,380,13,92156,381
377,1,382,6,79859,383
378,3,384,8,113564,385
379,1,386,7,56185,387
380,1,388,7,104721,389
381,1,390,6,68982,391
382,3,392,6,78371,393
383,2,394,7,116671,395
384,1,396,8,97200,397
385,6,398,8,126920,399
386,4,400,10,101793,401
387,1,402,10,117907,403
388,2,390,6,68982,404
389,2,405,11,114425,406
390,1,394,7,116671,407
391,3,408,10,152721,409
392,1,410,9,135714,411
393,1,412,8,130768,413
394,4,414,5,149532,415
395,2,416,7,99642,417
396,3,418,13,75750,419
397,9,420,10,55085,421
398,1,422,6,156132,423
399,1,402,8,117907,424
400,1,425,8,131194,426
401,3,427,9,154845,428
402,3,429,7,124021,430
403,15,431,7,86083,432
404,2,433,7,56564,434
405,2,435,8,86190,436
406,100,437,18,71139,438
407,2,439,13,97115,440
408,2,441,9,110170,442
409,3,443,6,69081,444
410,3,445,8,113065,446
411,5,447,10,140896,448
412,1,449,7,75705,450
413,1,451,4,141144,452
414,1,410,11,135714,453
415,1,443,7,69081,454
416,1,455,6,95700,456
417,3,457,8,135427,458
418,5,459,14,105649,460
419,2,461,6,132083,462
420,2,463,6,145320,464
421,9,465,8,54951,466
422,1,467,4,139292,468
423,5,469,17,76205,470
424,1,471,6,118958,472
425,1,425,9,131194,473
426,1,425,6,131194,474
427,1,475,6,60586,476
428,1,477,8,86518,478
429,3,479,8,85940,480
430,4,481,9,113280,482
431,1,483,6,82970,484
432,1,485,6,82445,486
433,2,487,11,141213,488
434,1,489,5,75882,490
435,2,491,7,120043,492
436,4,493,5,73193,494
437,6,495,12,54921,496
438,1,497,7,80270,498
439,27,420,11,55085,499
440,1,398,6,126920,500
441,3,501,12,115774,502
442,1,503,6,106532,504
443,3,505,10,149582,506
444,3,507,7,95551,508
445,1,509,5,139975,510
446,53,511,10,53158,512
447,2,513,7,86546,514
448,5,481,9,113280,515
449,5,516,9,54926,517
450,6,431,5,86083,518
451,1,503,8,106532,519
452,1,520,11,125843,521
453,4,429,8,124021,522
454,1,523,10,134401,524
455,3,525,9,107771,526
456,2,527,7,56434,528
457,1,529,8,64186,530
458,1,531,10,105101,532
459,3,533,6,80149,428
460,2,534,7,79480,535
461,1,531,11,105101,536
462,2,503,7,106532,537
463,5,538,10,112111,539
464,32,540,7,55018,541
465,1,425,10,131194,542
466,4,420,11,55085,543
467,1,410,11,135714,544
468,1,441,8,110170,545
469,4,546,13,61976,547
470,3,546,12,61976,548
471,3,549,11,114652,550
472,7,540,5,55018,551
473,1,372,5,86484,552
474,9,553,5,135849,554
475,3,388,8,104721,555
476,32,465,7,54951,556
477,1,557,7,128647,558
478,1,396,9,97200,559
479,17,516,9,54926,560
480,9,511,5,53158,561
481,1,562,7,137749,563
482,1,564,7,94593,565
483,1,566,8,141980,567
484,1,568,9,95063,569
485,9,570,13,94969,571
486,4,429,8,124021,572
487,1,573,5,60180,574
488,2,575,10,142427,576
489,1,577,9,147607,578
490,2,420,11,55085,579
491,3,580,8,61472,581
492,1,582,5,146044,583
493,1,584,6,122789,585
494,4,586,6,96584,587
495,1,588,8,85943,589
496,2,590,10,86192,591
497,1,592,6,81931,593
498,4,394,9,116671,594
499,1,595,8,138726,596
500,4,597,7,146331,598
501,2,599,8,85849,600
502,4,601,11,103647,602
503,1,599,7,85849,603
504,7,604,8,71259,605
505,3,527,7,56434,606
506,1,607,11,120432,608
507,1,609,6,97871,610
508,3,566,9,141980,611
509,2,612,7,137653,613
510,1,614,7,95124,615
511,4,604,9,71259,616
512,1,617,11,96571,618
513,4,619,8,133580,620
514,1,621,5,106517,622
515,2,623,8,96024,624
516,42,625,6,48063,626
517,3,627,13,156826,628
518,5,629,9,84168,630
519,1,631,8,85965,632
520,5,570,11,94969,633
521,1,634,6,59913,635
522,10,636,4,53413,637
523,3,638,8,85984,639
524,8,640,7,149713,641
525,1,425,8,131194,642
526,1,643,7,127888,644
527,1,645,10,62076,646
528,3,647,14,89350,648
529,4,649,7,113921,650
530,1,651,5,62683,652
531,2,479,8,85940,653
532,1,527,6,56434,654
533,2,516,8,54926,655
534,50,540,5,55018,656
535,3,429,8,124021,657
536,1,501,10,115774,658
537,1,659,9,57082,660
538,100,429,8,124021,661
539,2,662,7,56366,663
540,4,427,10,154845,664
541,7,431,6,86083,665
542,3,629,8,84168,666
543,7,667,7,154768,668
544,1,669,6,84423,670
545,7,505,12,149582,671
546,1,672,5,112912,673
547,2,672,6,112912,674
548,1,443,6,69081,675
549,2,676,7,71820,677
550,1,443,7,69081,678
551,1,679,8,113281,680
552,2,491,8,120043,681
553,3,682,7,137381,683
554,1,443,6,69081,684
555,9,685,12,151765,686
556,2,687,9,154667,688
557,4,689,14,114421,690
558,13,691,10,74121,692
559,3,693,8,114303,694
560,7,433,9,56564,695
561,1,696,7,97918,697
562,100,698,10,156739,699
563,2,700,8,128054,701
564,2,702,14,127016,703
565,1,704,5,120156,705
566,4,706,8,85981,707
567,2,708,5,48201,709
568,2,710,8,107474,711
569,2,599,8,85849,712
570,4,713,10,156758,714
571,1,601,9,103647,715
572,1,716,7,93396,717
573,5,718,20,147554,719
574,2,443,8,69081,720
575,3,638,9,85984,721
576,1,441,9,110170,722
577,1,723,11,95562,724
578,5,725,14,114129,726
579,1,441,9,110170,727
580,2,728,7,85986,729
581,5,718,20,147554,730
582,3,645,12,62076,731
583,1,732,5,125570,733
584,3,734,8,138725,735
585,5,429,9,124021,736
586,100,495,12,54921,737
587,2,738,8,115475,739
588,12,640,7,149713,740
589,1,741,8,121482,742
590,100,743,15,118547,744
591,4,745,6,137988,746
592,1,469,13,76205,747
593,12,748,10,156485,749
594,1,538,7,112111,750
595,3,507,7,95551,751
596,7,752,8,156339,753
597,1,531,11,105101,754
598,1,755,5,62900,756
599,1,425,9,131194,757
600,5,758,8,123740,759
601,1,760,5,81485,761
602,5,762,8,132082,763
603,1,477,8,86518,764
604,1,765,8,113656,766
605,2,477,7,86518,767
606,5,689,13,114421,768
607,5,669,10,84423,769
608,2,770,7,98441,771
609,43,420,10,55085,772
610,1,410,10,135714,773
611,3,505,9,149582,774
612,1,775,9,139594,776
613,1,582,6,146044,777
614,3,778,9,86266,779
615,1,582,5,146044,780
616,2,781,4,100164,782
617,1,783,9,141330,784
618,1,425,7,131194,785
619,27,495,12,54921,786
620,4,787,8,90570,788
621,5,505,11,149582,789
622,1,638,8,85984,790
623,1,425,6,131194,791
624,9,792,6,100934,793
625,1,443,8,69081,794
626,1,623,7,96024,795
627,1,398,6,126920,399
628,1,796,7,93403,797
629,3,798,7,106020,799
630,3,647,14,89350,800
631,3,376,14,131287,801
632,1,741,7,121482,802
633,1,443,7,69081,803
634,1,443,6,69081,804
635,93,805,7,139184,806
636,3,710,9,107474,807
637,5,808,9,109115,809
638,2,810,7,84720,811
639,1,812,8,108912,813
640,1,619,6,133580,814
641,1,815,8,153812,816
642,1,817,4,140927,818
643,1,465,8,54951,819
644,3,672,6,112912,820
645,1,821,6,76418,822
646,2,614,7,95124,823
647,21,437,5,71139,824
648,2,575,10,142427,825
649,1,826,10,128230,827
650,8,828,15,114136,829
651,1,830,6,111890,831
652,6,832,6,81339,833
653,1,834,6,93882,835
654,2,836,6,137192,837
655,1,538,7,112111,838
656,3,636,4,53413,839
657,1,394,8,116671,840
658,1,841,7,56201,842
659,37,495,10,54921,843
660,2,844,6,113587,845
661,1,485,6,82445,846
662,2,394,8,116671,847
663,1,672,5,112912,848
664,1,716,7,93396,849
665,1,443,6,69081,850
666,7,851,10,143556,852
667,2,853,9,95394,854
668,2,400,8,101793,855
669,1,625,5,48063,856
670,5,857,11,132997,858
671,10,420,10,55085,859
672,2,860,6,103227,861
673,8,540,5,55018,862
674,6,420,10,55085,863
675,5,864,6,94481,865
676,5,866,14,114650,867
677,6,868,11,83613,869
678,1,870,7,87490,871
679,1,582,5,146044,872
680,1,873,5,144320,874
681,4,875,7,127722,876
682,5,877,9,155628,878
683,1,879,5,131781,880
684,1,386,7,56185,881
685,34,540,7,55018,882
686,6,883,10,113353,884
687,1,885,6,95627,886
688,1,887,4,66153,888
689,1,412,7,130768,889
690,1,672,5,112912,890
691,3,891,6,153458,892
692,2,870,8,87490,893
693,2,386,8,56185,894
