Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0,2,10,4,2,8,2,2,3,2,8,17,2,5,2,8,2,5,3,3,3,6,4,5,1,12,3,10,2,4,10,5,5,4,3,4,8,2,3,4,6,9,7
2,2,0,10,5,1,8,1,1,2,3,8,19,1,5,2,7,1,4,2,4,2,6,4,5,2,13,2,10,1,4,10,6,6,5,4,6,10,3,4,4,8,9,6
3,10,10,0,8,10,2,10,10,10,8,2,8,10,5,9,10,11,10,10,7,11,5,6,5,10,3,11,2,11,6,1,9,15,6,10,9,8,10,8,7,15,4,15
4,4,5,8,0,5,6,6,6,7,6,6,15,6,7,3,12,6,9,6,3,6,3,3,7,4,10,6,7,6,7,8,2,8,5,3,2,4,3,2,7,8,7,11
5,2,1,10,5,0,9,1,1,2,3,9,19,1,5,3,7,1,4,2,4,2,6,4,5,2,12,2,10,1,4,10,6,6,5,4,6,9,3,4,4,8,10,6
6,8,8,2,6,9,0,8,8,9,6,4,10,8,6,7,12,8,8,8,5,10,3,4,6,8,5,9,2,8,6,2,7,13,4,8,7,6,8,7,6,14,6,13
7,2,1,10,6,1,8,0,1,1,3,9,19,1,5,3,8,1,4,1,4,2,6,4,5,2,13,1,10,1,4,10,6,6,5,5,6,9,3,5,4,8,9,6
8,2,1,10,6,1,8,1,0,2,3,8,18,1,5,3,8,1,4,2,4,2,6,4,5,2,14,2,10,1,4,11,6,6,5,4,6,9,3,4,4,8,10,6
9,3,2,10,7,2,9,1,2,0,3,10,18,2,5,4,7,1,3,1,4,1,6,4,6,3,14,1,11,2,5,11,7,7,5,6,7,11,4,6,4,9,10,5
10,2,3,8,6,3,6,3,3,3,0,6,16,2,3,3,7,3,4,3,4,4,5,4,3,2,11,4,8,3,2,8,6,7,2,5,6,10,4,5,2,8,7,7
11,8,8,2,6,9,4,9,8,10,6,0,10,9,4,8,8,8,9,9,6,10,4,5,4,8,4,10,3,9,4,2,7,13,5,8,7,9,8,7,6,13,2,14
12,17,19,8,15,19,10,19,18,18,16,10,0,18,13,16,12,18,18,19,15,19,14,15,14,18,6,20,9,19,14,9,17,22,14,18,16,14,18,16,15,23,10,24
13,2,1,10,6,1,8,1,1,2,2,9,18,0,5,2,8,1,4,2,3,2,6,4,5,2,14,2,10,1,5,10,6,6,4,4,6,9,3,4,4,8,10,6
14,5,5,5,7,5,6,5,5,5,3,4,13,5,0,4,6,5,5,6,5,6,6,5,1,5,8,6,6,5,1,5,8,10,3,6,8,11,5,6,2,10,4,10
15,2,2,9,3,3,7,3,3,4,3,8,16,2,4,0,10,3,6,4,2,4,4,3,5,2,11,4,9,3,4,9,4,6,3,2,4,7,1,2,5,6,8,8
16,8,7,10,12,7,12,8,8,7,7,8,12,8,6,10,0,7,6,7,10,8,12,10,6,8,10,7,12,7,6,10,13,13,8,12,14,16,10,12,6,15,6,11
17,2,1,11,6,1,8,1,1,1,3,8,18,1,5,3,7,0,4,1,4,2,6,4,5,2,12,1,10,1,4,10,6,6,4,5,6,10,3,5,4,8,10,6
18,5,4,10,9,4,8,4,4,3,4,9,18,4,5,6,6,4,0,3,7,3,8,6,5,5,13,3,10,4,4,10,9,9,4,8,9,13,6,8,4,11,10,5
19,3,2,10,6,2,8,1,2,1,3,9,19,2,6,4,7,1,3,0,4,1,6,4,6,3,14,1,10,1,5,11,7,7,5,5,7,10,4,6,4,9,10,5
20,3,4,7,3,4,5,4,4,4,4,6,15,3,5,2,10,4,7,4,0,4,3,1,6,3,10,4,7,4,5,7,3,7,3,3,3,6,3,2,5,8,6,9
21,3,2,11,6,2,10,2,2,1,4,10,19,2,6,4,8,2,3,1,4,0,7,5,6,2,15,1,11,1,6,11,7,7,6,5,7,10,4,5,5,8,11,5
22,6,6,5,3,6,3,6,6,6,5,4,14,6,6,4,12,6,8,6,3,7,0,2,6,6,8,6,5,6,6,5,4,10,4,5,4,5,5,4,6,11,6,11
23,4,4,6,3,4,4,4,4,4,4,5,15,4,5,3,10,4,6,4,1,5,2,0,5,4,10,5,7,4,5,7,3,8,2,4,3,7,4,2,5,9,6,8
24,5,5,5,7,5,6,5,5,6,3,4,14,5,1,5,6,5,5,6,6,6,6,5,0,5,8,6,6,6,1,6,8,9,3,6,8,11,5,6,2,10,4,10
25,1,2,10,4,2,8,2,2,3,2,8,18,2,5,2,8,2,5,3,3,2,6,4,5,0,12,3,10,2,4,10,5,5,4,3,5,8,2,3,4,6,9,7
26,12,13,3,10,12,5,13,14,14,11,4,6,14,8,11,10,12,13,14,10,15,8,10,8,12,0,14,3,14,9,3,12,17,9,13,12,9,12,11,9,17,4,18
27,3,2,11,6,2,9,1,2,1,4,10,20,2,6,4,7,1,3,1,4,1,6,5,6,3,14,0,11,2,6,11,6,7,5,5,7,10,4,6,5,9,10,5
28,10,10,2,7,10,2,10,10,11,8,3,9,10,6,9,12,10,10,10,7,11,5,7,6,10,3,11,0,10,6,2,8,15,6,10,9,6,10,8,7,15,5,15
29,2,1,11,6,1,8,1,1,2,3,9,19,1,5,3,7,1,4,1,4,1,6,4,6,2,14,2,10,0,4,10,6,6,5,4,6,10,3,4,4,8,10,6
30,4,4,6,7,4,6,4,4,5,2,4,14,5,1,4,6,4,4,5,5,6,6,5,1,4,9,6,6,4,0,6,8,9,2,6,7,10,4,6,1,10,6,10
31,10,10,1,8,10,2,10,11,11,8,2,9,10,5,9,10,10,10,11,7,11,5,7,6,10,3,11,2,10,6,0,9,14,6,10,8,7,9,8,7,16,4,14
32,5,6,9,2,6,7,6,6,7,6,7,17,6,8,4,13,6,9,7,3,7,4,3,8,5,12,6,8,6,8,9,0,6,6,2,1,4,3,2,8,6,8,11
33,5,6,15,8,6,13,6,6,7,7,13,22,6,10,6,13,6,9,7,7,7,10,8,9,5,17,7,15,6,9,14,6,0,9,5,6,8,5,7,8,2,14,11
34,4,5,6,5,5,4,5,5,5,2,5,14,4,3,3,8,4,4,5,3,6,4,2,3,4,9,5,6,5,2,6,6,9,0,4,5,8,4,4,3,9,5,10
35,3,4,10,3,4,8,5,4,6,5,8,18,4,6,2,12,5,8,5,3,5,5,4,6,3,13,5,10,4,6,10,2,5,4,0,2,5,2,2,6,6,9,10
36,4,6,9,2,6,7,6,6,7,6,7,16,6,8,4,14,6,9,7,3,7,4,3,8,5,12,7,9,6,7,8,1,6,5,2,0,4,4,2,8,7,8,12
37,8,10,8,4,9,6,9,9,11,10,9,14,9,11,7,16,10,13,10,6,10,5,7,11,8,9,10,6,10,10,7,4,8,8,5,4,0,7,5,11,9,11,14
38,2,3,10,3,3,8,3,3,4,4,8,18,3,5,1,10,3,6,4,3,4,5,4,5,2,12,4,10,3,4,9,3,5,4,2,4,7,0,2,5,6,9,8
39,3,4,8,2,4,7,5,4,6,5,7,16,4,6,2,12,5,8,6,2,5,4,2,6,3,11,6,8,4,6,8,2,7,4,2,2,5,2,0,6,8,7,10
40,4,4,7,7,4,6,4,4,4,2,6,15,4,2,5,6,4,4,4,5,5,6,5,2,4,9,5,7,4,1,7,8,8,3,6,8,11,5,6,0,10,6,8
41,6,8,15,8,8,14,8,8,9,8,13,23,8,10,6,15,8,11,9,8,8,11,9,10,6,17,9,15,8,10,16,6,2,9,6,7,9,6,8,10,0,14,13
42,9,9,4,7,10,6,9,10,10,7,2,10,10,4,8,6,10,10,10,6,11,6,6,4,9,4,10,5,10,6,4,8,14,5,9,8,11,9,7,6,14,0,14
43,7,6,15,11,6,13,6,6,5,7,14,24,6,10,8,11,6,5,5,9,5,11,8,10,7,18,5,15,6,10,14,11,11,10,10,12,14,8,10,8,13,14,0
