Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,0,8,12,22,24,2,7,15,20,20,12,23,12,22,4,25,9,11,18,9,15,13,12,8,21,2,23,25,20,24,24,24,25,4,12,15,19,25,27,22,10,22,20,23,9,25,20
2,8,0,8,18,19,9,5,10,15,16,8,19,9,16,12,18,6,6,14,9,20,9,7,3,15,10,19,20,16,19,18,19,18,11,17,22,23,19,22,17,7,17,17,16,6,20,15
3,12,8,0,10,12,11,12,12,8,11,3,11,0,10,10,11,3,12,8,15,28,2,6,9,9,11,11,14,9,14,12,12,14,10,25,27,31,13,15,10,3,10,10,10,12,14,10
4,22,18,10,0,4,22,22,8,2,4,10,2,11,4,20,7,13,12,5,27,38,9,12,14,2,21,8,3,2,7,2,2,8,20,35,39,43,9,5,4,13,5,4,1,23,4,3
5,24,19,12,4,0,22,24,10,4,8,12,3,12,2,21,3,16,14,6,29,39,10,12,17,4,24,4,3,4,11,3,4,11,22,36,38,42,6,4,3,15,2,8,4,25,2,6
6,2,9,11,22,22,0,8,14,19,22,12,22,12,20,3,23,9,12,18,11,16,13,11,10,20,1,23,24,20,24,23,23,22,3,12,16,19,24,27,22,10,21,22,22,10,26,18
7,7,5,12,22,24,8,0,14,21,22,12,23,12,21,10,23,9,10,18,4,15,13,12,7,20,8,22,25,20,22,23,24,24,10,14,16,19,25,28,21,10,21,21,21,3,24,20
8,15,10,12,8,10,14,14,0,6,7,8,10,11,8,14,11,8,4,4,18,28,11,5,7,6,13,13,11,6,9,9,10,10,14,25,31,35,13,13,9,10,10,7,8,14,11,6
9,20,15,8,2,4,19,21,6,0,4,8,4,9,4,18,7,11,10,3,23,35,7,9,13,0,19,9,6,0,7,4,4,8,18,33,34,41,9,7,5,11,5,3,2,20,5,2
10,20,16,11,4,8,22,22,7,4,0,9,6,10,8,19,10,12,10,4,24,35,11,10,14,4,20,11,5,4,4,5,4,4,18,32,35,38,12,6,8,11,8,1,4,21,8,2
11,12,8,3,10,12,12,12,8,8,9,0,12,3,10,10,12,3,8,6,15,27,4,3,6,8,12,12,14,8,11,12,12,12,10,24,29,30,13,15,9,3,10,9,10,12,14,7
12,23,19,11,2,3,22,23,10,4,6,12,0,11,3,21,6,14,13,6,28,37,10,13,17,4,22,7,2,4,9,0,2,9,20,34,39,43,8,4,3,14,4,5,2,23,2,4
13,12,9,0,11,12,12,12,11,9,10,3,11,0,10,10,12,3,12,8,15,28,2,6,9,9,12,12,13,8,14,12,12,14,10,24,28,30,12,15,10,2,10,10,10,13,13,9
14,22,16,10,4,2,20,21,8,4,8,10,3,10,0,20,3,12,12,5,25,37,8,11,14,4,22,4,4,4,12,3,4,11,20,32,36,40,5,6,1,11,1,7,4,22,4,6
15,4,12,10,20,21,3,10,14,18,19,10,21,10,20,0,20,7,15,15,13,18,12,9,12,18,3,22,23,18,22,20,21,22,0,14,19,22,22,24,20,7,19,19,20,13,24,18
16,25,18,11,7,3,23,23,11,7,10,12,6,12,3,20,0,14,14,7,28,38,10,12,17,7,22,2,6,7,13,6,7,14,20,35,39,41,3,5,3,14,2,10,6,25,4,9
17,9,6,3,13,16,9,9,8,11,12,3,14,3,12,7,14,0,9,9,12,25,5,4,6,12,9,15,17,12,14,15,15,14,7,22,26,27,16,19,12,2,13,13,14,10,16,10
18,11,6,12,12,14,12,10,4,10,10,8,13,12,12,15,14,9,0,8,14,26,12,6,3,10,12,14,15,10,14,13,14,13,15,22,25,30,14,17,12,11,11,11,12,10,16,10
19,18,14,8,5,6,18,18,4,3,4,6,6,8,5,15,7,9,8,0,21,33,8,7,10,3,18,8,8,3,7,6,6,7,16,30,32,37,10,10,5,8,6,4,4,18,7,2
20,9,9,15,27,29,11,4,18,23,24,15,28,15,25,13,28,12,14,21,0,12,17,16,11,23,11,26,28,24,28,28,29,28,14,16,13,15,28,32,24,13,24,24,26,4,28,23
