ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
23,41,23,36,71731,24
24,35,23,40,71731,25
25,51,23,40,71731,26
26,39,27,20,66088,28
27,34,29,14,75574,30
28,41,23,38,71731,31
29,16,32,13,46038,33
30,51,23,40,71731,34
31,41,23,40,71731,35
32,42,27,22,66088,36
33,33,27,22,66088,37
34,41,23,38,71731,38
35,8,39,21,13654,40
36,39,27,22,66088,41
37,40,42,27,55518,43
38,33,44,10,73543,45
39,39,42,28,55518,46
40,1,47,18,50834,48
41,56,49,22,34202,50
42,21,27,17,66088,51
43,1,47,18,50834,52
44,16,32,15,46038,53
45,34,23,38,71731,54
46,43,55,24,68202,56
47,61,57,15,23140,58
48,33,44,10,73543,59
49,65,60,19,74700,61
50,72,62,21,72465,63
51,100,49,27,34202,64
52,21,23,39,71731,65
53,16,39,21,13654,66
54,23,27,21,66088,67
55,29,23,39,71731,68
56,16,32,12,46038,69
57,29,70,16,70477,71
