ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
334,2,334,12,92020,335
335,1,336,8,88668,337
336,50,338,6,152556,339
337,1,340,7,55016,341
338,1,342,7,144858,343
339,4,344,10,82306,345
340,1,346,10,131737,347
341,1,348,7,119884,349
342,1,350,8,154653,351
343,6,352,11,139370,353
344,100,354,9,149129,355
345,27,340,7,55016,356
346,1,357,5,135452,358
347,35,359,8,54939,360
348,2,361,7,93752,362
349,5,340,7,55016,363
350,14,340,7,55016,364
351,1,365,5,93481,366
352,2,367,14,54977,368
353,1,369,5,121805,370
354,6,371,7,109222,372
355,2,373,11,119759,374
356,2,375,7,56760,376
357,1,377,5,127882,378
358,3,379,8,69589,380
359,3,381,11,127881,382
360,2,383,10,142520,384
361,5,385,10,122550,386
362,2,387,15,63104,388
363,1,336,7,88668,389
364,2,390,5,147756,391
365,5,392,12,97094,393
366,2,394,10,124116,395
367,2,359,8,54939,396
368,16,340,7,55016,397
369,8,398,15,136833,399
370,3,400,8,124423,401
371,6,361,8,93752,402
372,7,359,8,54939,403
373,4,340,7,55016,404
374,2,405,5,80554,406
375,3,407,8,99171,408
376,7,371,9,109222,409
377,3,410,8,84378,411
378,4,412,8,116756,413
379,1,414,5,142285,415
380,2,416,8,57074,417
381,4,418,14,90521,419
382,3,359,8,54939,420
383,5,381,13,127881,421
384,100,422,6,153130,423
385,31,367,14,54977,424
386,6,425,6,105710,426
387,1,427,5,109083,428
388,6,340,7,55016,429
389,100,430,10,153034,431
390,3,432,9,105900,433
391,3,434,13,132994,435
392,2,436,8,97237,437
393,4,438,7,122188,439
394,100,440,10,154732,441
395,3,385,8,122550,442
396,2,443,9,125956,444
397,4,445,6,111145,446
398,3,367,14,54977,447
399,1,448,11,124230,449
400,3,450,4,133990,451
401,3,452,12,99934,453
402,2,454,8,106755,455
403,4,456,7,127670,457
404,1,458,6,102379,459
405,2,460,14,124085,461
406,3,462,8,115916,463
407,3,464,6,132631,465
408,6,466,12,132227,467
409,3,468,9,137631,469
410,22,470,4,80824,471
411,15,472,13,135181,473
412,100,474,9,154843,475
413,3,476,7,88908,477
414,1,478,5,56549,479
415,2,480,15,142740,481
416,100,482,6,151893,483
417,1,484,7,110757,485
418,3,486,4,103583,487
419,1,488,12,95951,489
420,3,371,6,109222,490
421,5,476,9,88908,491
422,1,492,9,120958,493
423,1,494,6,117408,495
424,2,496,10,126852,497
425,1,498,8,94777,499
426,4,500,10,87404,501
427,2,359,8,54939,502
428,1,503,8,56856,504
429,3,438,8,122188,505
