ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
913,6,911,13,24755,912
914,3,913,8,111878,914
915,9,915,13,8704,916
916,6,917,18,42021,918
917,6,919,30,131398,920
918,9,921,12,5571,922
919,14,923,13,38993,924
920,3,925,8,6755,926
921,7,927,16,8619,928
922,5,929,10,102099,930
923,3,931,10,92610,932
924,4,927,15,8619,933
925,8,934,13,6807,935
926,2,936,8,12314,937
927,5,938,10,9300,939
928,7,940,13,84429,941
929,8,942,16,106478,943
930,4,944,10,4418,945
931,6,946,2,39561,947
932,4,948,13,88399,949
933,5,950,13,82732,951
934,4,952,13,128542,953
935,10,954,13,7172,955
936,8,956,10,94355,957
937,3,958,13,76669,959
938,6,960,15,105481,961
939,13,962,15,76796,963
940,3,964,15,85862,965
941,5,913,8,111878,966
942,20,967,20,72823,968
943,7,969,9,116072,970
944,3,971,26,40359,972
945,3,927,17,8619,973
946,3,974,12,105632,975
947,15,976,18,5996,977
948,3,978,6,100094,979
949,2,980,14,24756,981
950,12,982,14,2928,983
951,1,984,8,24311,985
952,6,986,11,3091,987
953,3,988,14,51155,989
954,3,990,16,126141,991
955,10,992,12,125602,993
956,9,994,14,134298,995
957,4,996,6,103966,997
958,2,927,17,8619,998
959,5,999,16,136428,1000
960,6,1001,16,39760,1002
961,6,980,16,24756,1003
962,3,1004,9,2968,1005
963,3,1006,11,71738,1007
964,4,1008,11,91127,1009
965,14,971,27,40359,1010
966,10,1011,12,3171,1012
967,12,915,16,8704,1013
968,5,927,17,8619,1014
969,2,1015,7,2860,1016
970,12,1017,8,26158,1018
971,10,1019,2,70006,1020
972,3,1021,8,93184,1022
973,3,988,14,51155,1023
974,5,1024,9,82674,1025
975,4,1026,11,101294,1027
976,3,1028,12,106613,1029
977,5,946,2,39561,1030
978,10,1031,17,96680,1032
979,8,971,22,40359,1033
980,5,988,17,51155,1034
981,4,1035,9,123472,1036
982,5,1037,11,67508,1038
983,4,1039,8,104337,1040
984,6,1041,14,72246,1042
985,4,1043,5,25743,1044
986,9,1045,10,65979,1046
987,13,942,17,106478,1047
988,9,971,22,40359,1048
989,3,1049,8,134058,1050
990,7,1051,14,6449,1052
991,9,1053,9,52110,1054
992,15,1055,14,114953,1056
993,3,927,15,8619,1057
994,8,971,27,40359,1058
995,2,1059,8,2890,1060
996,3,946,2,39561,1061
997,6,915,13,8704,1062
998,16,976,19,5996,1063
999,8,1064,9,44017,1065
1000,5,1021,7,93184,1066
1001,10,1067,11,3081,1068
1002,2,1031,13,96680,1069
1003,42,982,19,2928,1070
1004,4,1071,9,4547,1072
1005,19,1073,16,5512,1074
1006,6,1075,11,134796,1076
1007,3,1077,13,22080,1078
1008,5,1079,13,3407,1080
1009,6,962,13,76796,1081
1010,4,1082,13,84554,1083
1011,7,1084,15,72228,1085
1012,9,1086,11,12783,1087
1013,7,1088,16,2963,1089
1014,4,1090,6,133187,1091
1015,4,1092,11,24737,1093
1016,4,1094,6,3812,1095
1017,4,971,26,40359,1096
1018,17,1097,17,4100,1098
1019,3,1099,8,3134,1100
1020,3,1101,7,2980,1102
1021,4,1103,13,23212,1104
1022,3,1105,13,127133,1106
1023,5,1082,13,84554,1107
1024,4,915,13,8704,1108
1025,7,1109,11,77098,1110
1026,7,971,22,40359,1111
1027,6,988,15,51155,1112
1028,4,1113,11,77273,1114
1029,8,1115,11,2858,1116
1030,9,1117,14,125894,1118
1031,9,1119,14,50314,1120
1032,8,1121,9,70179,1122
1033,8,1123,14,5717,1124
1034,3,971,21,40359,1125
1035,4,1126,8,96555,1127
1036,4,1128,12,77256,1129
1037,5,1130,17,4337,1131
1038,3,1132,11,63883,1133
1039,4,1134,10,45341,1135
1040,5,1136,12,3168,1137
1041,4,1138,9,100828,1139
1042,5,1140,11,126216,1141
1043,9,1142,13,44897,1143
1044,9,1144,14,92012,1145
1045,5,1146,5,25375,1147
1046,3,1148,7,38409,1149
1047,4,1150,8,87640,1151
1048,3,1152,14,114014,1153
1049,9,1154,8,67619,1155
1050,4,1101,7,2980,1156
1051,3,1157,12,102677,1158
1052,9,1159,12,45512,1160
1053,5,1161,8,127005,1162
1054,3,1163,2,67993,1164
1055,6,1165,12,5390,1166
1056,17,1167,13,3164,1168
1057,9,1097,15,4100,1169
1058,3,971,21,40359,1170
1059,9,964,18,85862,1171
1060,3,971,21,40359,1172
1061,4,1173,11,8603,1174
1062,3,1019,3,70006,1175
1063,4,1176,13,101413,1177
