ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
296,7,296,12,42800,297
297,8,298,12,6595,299
298,42,300,5,16867,301
299,24,302,8,39820,303
300,8,304,14,145567,305
301,10,306,15,148307,307
302,19,308,14,191926,309
303,15,310,12,177793,311
304,7,312,17,147717,313
305,4,314,12,126374,315
306,22,316,11,161421,317
307,84,318,46,167020,319
308,12,320,12,5230,321
309,13,322,18,129180,323
310,9,324,18,161230,325
311,4,326,14,610,327
312,6,328,14,152030,329
313,16,330,5,143593,331
314,13,332,17,183111,333
315,9,334,18,107622,335
316,10,336,15,98654,337
317,9,338,11,27531,339
318,9,340,6,151421,341
319,25,342,4,17137,343
320,1,344,16,35265,345
321,27,346,9,107724,347
322,5,348,13,37227,349
323,9,350,20,40651,351
324,100,352,21,59344,353
325,30,354,11,166804,355
326,14,356,7,124817,357
327,22,358,17,158811,359
328,14,360,16,145075,361
329,100,362,17,108592,363
330,26,364,19,4884,365
331,12,366,22,169836,367
332,6,368,10,6950,369
333,11,370,14,38354,371
334,35,372,19,30099,373
335,13,374,14,113543,375
336,13,376,22,117941,377
337,5,378,9,114511,379
338,77,380,17,169549,381
339,14,382,14,179495,383
340,8,384,14,142590,385
341,17,386,11,146249,387
342,7,388,14,172966,389
343,4,390,9,159658,391
344,8,392,15,124549,393
345,4,394,14,125193,395
346,20,396,17,134634,397
347,9,398,5,127590,399
348,12,318,44,167020,400
349,6,300,4,16867,401
350,18,402,18,126194,403
351,9,394,15,125193,404
352,14,405,13,2526,406
353,7,368,11,6950,407
354,9,408,10,192280,409
355,100,410,3,128927,411
356,86,380,13,169549,412
357,6,413,6,114840,414
358,10,415,12,108236,416
359,12,396,16,134634,417
360,9,418,15,119103,419
361,19,420,15,672,421
362,22,422,18,20635,423
363,10,424,6,186074,425
364,100,342,4,17137,426
365,11,427,13,2040,428
366,38,300,5,16867,429
367,6,413,6,114840,430
368,14,390,16,142420,431
369,12,432,16,129613,433
370,10,410,3,128927,434
371,18,435,17,38019,436
372,4,437,5,42772,438
373,66,439,20,3933,440
374,14,441,15,39545,442
375,10,443,7,180444,444
376,10,445,5,163757,446
377,13,447,15,177918,448
378,7,449,13,174456,450
379,7,451,13,36037,452
380,19,300,5,16867,453
381,14,454,14,11879,455
382,16,318,44,167020,456
383,15,457,15,90450,458
384,4,459,12,183739,460
385,15,461,14,164387,462
386,6,320,11,5230,463
387,10,384,15,142590,464
388,100,352,21,59344,353
389,27,372,18,30099,465
390,10,466,10,114723,467
391,12,318,44,167020,468
392,10,469,15,29183,470
393,23,471,16,36026,472
394,54,362,18,108592,473
395,7,474,9,7646,475
396,7,476,12,192598,477
397,33,318,44,167020,478
398,23,392,21,124549,479
