ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
101,5,101,10,122556,102
102,4,103,13,114614,104
103,4,105,12,56673,106
104,1,107,8,136190,108
105,1,109,9,100577,110
106,3,111,11,107944,112
107,1,113,11,90168,114
108,1,115,15,77718,116
109,7,117,10,70659,118
110,3,119,12,100759,120
111,2,121,6,116826,122
112,5,123,12,98800,124
113,1,125,6,125716,126
114,5,127,12,91081,128
115,4,129,20,81838,130
116,28,131,5,55045,132
117,5,103,15,114614,133
118,3,134,9,144660,135
119,41,131,5,55045,136
120,1,137,4,128641,138
121,3,139,10,122114,140
122,1,141,8,83872,142
123,5,143,7,151891,144
124,1,145,6,116824,146
125,2,147,6,99541,148
126,2,125,7,125716,149
127,1,125,7,125716,150
128,4,103,14,114614,151
129,3,152,8,128112,153
130,5,134,11,144660,154
131,4,155,7,109225,156
132,1,131,5,55045,157
133,2,158,10,57391,159
134,6,155,10,109225,160
135,5,161,11,122064,162
136,1,163,16,90745,164
137,1,165,12,138379,166
138,1,167,8,106190,168
139,2,127,10,91081,169
140,2,170,8,142211,171
141,1,145,6,116824,172
142,4,103,13,114614,173
143,7,155,10,109225,174
144,100,109,10,100577,175
145,1,176,7,117680,177
146,4,178,8,120992,179
147,1,180,6,132546,181
148,6,143,7,151891,182
149,2,183,6,131951,184
150,6,185,10,56556,186
151,1,187,5,152588,188
152,4,189,8,109217,190
153,1,191,4,111091,192
154,7,134,11,144660,193
155,4,155,7,109225,194
156,2,195,9,142976,196
157,2,197,8,103688,198
158,1,199,6,154633,200
159,5,143,7,151891,201
160,1,115,15,77718,202
161,1,203,6,116847,204
162,3,205,10,116164,206
163,4,178,8,120992,207
164,4,103,15,114614,208
165,2,209,11,73479,210
166,2,211,9,59107,212
167,3,191,5,111091,213
168,4,101,10,122556,181
169,1,115,15,77718,214
170,1,215,10,99313,216
171,1,187,5,152588,217
172,37,131,5,55045,218
173,100,219,14,54282,220
174,10,221,10,154058,222
175,8,152,11,128112,223
176,1,215,7,99313,224
177,4,225,8,151590,226
178,1,109,10,100577,227
179,1,211,7,59107,228
180,4,103,14,114614,229
181,1,230,11,103334,231
182,1,232,13,147883,233
183,2,234,8,100366,235
184,3,236,8,111604,237
185,2,125,7,125716,238
186,7,239,14,90386,240
187,1,241,6,98550,242
188,100,219,14,54282,220
189,1,215,9,99313,243
190,4,197,9,103688,244
191,7,245,8,131510,246
192,4,247,8,68936,248
193,4,249,16,104748,250
194,4,225,8,151590,251
195,1,252,5,83288,132
196,5,152,10,128112,253
197,2,254,8,82336,255
198,2,256,6,93634,257
199,1,176,7,117680,177
200,2,105,10,56673,258
201,2,155,7,109225,259
202,6,260,11,59159,261
203,1,199,6,154633,262
204,2,263,6,123126,264
205,3,265,8,87778,266
206,1,254,6,82336,267
