ID,Location,Capacity
1,1,10000
2,2,10000
3,3,10000
4,4,10000
5,5,10000
6,6,10000
7,7,10000
8,8,10000
9,9,10000
10,10,10000
11,11,10000
12,12,10000
13,13,10000
14,14,10000
15,15,10000
16,16,10000
17,17,10000
18,18,10000
19,19,10000
20,20,10000
21,21,10000
22,22,10000
23,23,10000
24,24,10000
25,25,10000
26,26,10000
27,27,10000
28,28,10000
29,29,10000
30,30,10000
31,31,10000
32,32,10000
33,33,10000
34,34,10000
35,35,10000
36,36,10000
37,37,10000
38,38,10000
39,39,10000
40,40,10000
41,41,10000
42,42,10000
43,43,10000
44,44,10000
45,45,10000
46,46,10000
47,47,10000
48,48,10000
49,49,10000
50,50,10000
51,51,10000
52,52,10000
53,53,10000
54,54,10000
55,55,10000
56,56,10000
57,57,10000
58,58,10000
59,59,10000
60,60,10000
61,61,10000
62,62,10000
63,63,10000
64,64,10000
65,65,10000
66,66,10000
67,67,10000
68,68,10000
69,69,10000
70,70,10000
71,71,10000
72,72,10000
73,73,10000
74,74,10000
75,75,10000
76,76,10000
77,77,10000
78,78,10000
79,79,10000
80,80,10000
81,81,10000
82,82,10000
83,83,10000
84,84,10000
85,85,10000
86,86,10000
87,87,10000
88,88,10000
89,89,10000
90,90,10000
91,91,10000
92,92,10000
93,93,10000
94,94,10000
95,95,10000
96,96,10000
97,97,10000
98,98,10000
99,99,10000
100,100,10000
101,101,10000
102,102,10000
103,103,10000
104,104,10000
105,105,10000
106,106,10000
107,107,10000
108,108,10000
109,109,10000
110,110,10000
111,111,10000
112,112,10000
113,113,10000
114,114,10000
115,115,10000
116,116,10000
117,117,10000
118,118,10000
119,119,10000
120,120,10000
121,121,10000
122,122,10000
123,123,10000
124,124,10000
125,125,10000
126,126,10000
127,127,10000
128,128,10000
129,129,10000
