ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
130,10,130,2,43224,131
131,7,132,12,48228,133
132,9,134,15,88023,135
133,5,136,17,99936,137
134,5,138,8,97392,139
135,13,140,14,74739,141
136,7,142,16,128856,143
137,6,144,11,8171,145
138,7,146,9,129295,147
139,5,148,15,108011,149
140,11,150,13,7640,151
141,3,152,12,135883,153
142,2,150,10,7640,154
143,4,155,12,45387,156
144,4,157,13,18638,158
145,5,159,17,70649,160
146,6,161,13,87509,162
147,2,163,12,108164,164
148,4,165,16,7381,166
149,2,167,10,7550,168
150,9,136,19,99936,169
151,7,170,10,107376,171
152,8,172,14,85362,173
153,8,174,13,101138,175
154,2,136,14,99936,176
155,1,163,11,108164,177
156,2,136,15,99936,178
157,3,179,12,118523,180
158,3,181,12,20871,182
159,2,167,10,7550,183
160,4,163,15,108164,184
161,2,148,14,108011,185
162,100,186,11,8083,187
163,6,174,12,101138,188
164,3,189,12,46860,190
165,5,191,12,119135,192
166,5,134,13,88023,193
167,4,194,14,69764,195
168,6,196,14,115794,197
169,5,196,14,115794,198
170,6,199,15,9689,200
171,1,201,5,123126,202
172,4,167,12,7550,203
173,4,204,9,135027,205
174,3,206,12,8154,207
175,4,155,13,45387,208
176,5,209,16,10138,210
177,5,172,13,85362,211
178,5,212,16,20084,213
179,8,201,7,123126,214
180,8,130,1,43224,215
181,8,155,15,45387,216
182,3,144,10,8171,217
183,3,194,14,69764,218
184,1,155,12,45387,219
185,6,220,10,91316,221
186,5,174,12,101138,222
187,7,148,17,108011,223
188,3,130,2,43224,156
189,6,224,12,7851,225
190,3,136,15,99936,226
191,3,227,16,111152,228
192,4,229,13,115342,230
193,9,206,14,8154,231
194,3,130,1,43224,232
195,8,132,12,48228,233
196,2,155,9,45387,234
197,3,204,8,135027,235
198,2,155,11,45387,236
199,4,130,2,43224,237
