Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237
1,0,40,1,24,37,14,27,15,13,2,4,15,13,20,18,10,10,10,38,9,4,42,24,20,14,16,4,21,1,48,17,15,25,15,38,6,8,23,41,17,20,24,18,25,25,38,2,8,19,14,20,29,21,20,24,2,25,2,46,22,25,9,23,39,4,38,21,2,4,24,51,23,16,22,4,18,18,4,38,13,24,2,44,38,32,4,2,17,38,38,8,16,22,26,21,24,56,4,22,12,22,25,14,11,24,29,20,13,18,23,20,2,24,48,30,46,26,28,16,22,26,4,43,37,23,22,2,10,43,13,21,21,23,14,62,36,22,20,58,8,27,26,16,10,9,7,44,38,20,25,18,24,14,28,11,20,39,35,14,53,45,49,3,24,24,19,16,13,36,16,13,36,70,23,23,31,27,27,20,24,24,32,8,24,22,29,18,20,38,64,23,27,13,22,22,2,26,13,10,47,26,18,48,25,50,3,9,40,2,44,44,25,25,30,7,26,9,27,18,37,49,23,67,8,30,42,36,23,4,11,20,30,33,25,20,28,6
2,40,0,38,16,47,44,10,24,35,39,41,24,34,18,31,28,29,27,2,42,43,12,40,29,33,54,43,25,36,54,26,24,34,23,2,43,31,16,16,34,33,15,20,30,25,2,38,42,21,25,47,16,30,29,34,36,20,42,82,16,25,34,17,7,36,2,28,40,38,40,11,16,23,28,41,54,33,44,2,45,18,42,9,2,39,43,39,26,2,2,36,22,25,28,28,17,55,40,28,26,17,26,44,28,15,64,18,24,28,16,24,42,16,20,10,22,37,36,22,27,12,42,78,2,15,29,40,33,7,26,19,30,29,44,70,2,16,30,21,41,36,26,44,28,34,40,86,45,23,26,39,33,43,9,29,19,2,5,33,14,7,14,40,20,34,33,22,25,6,32,25,2,31,16,17,7,25,15,30,50,16,41,45,54,30,16,29,59,46,47,36,12,25,15,25,42,30,27,28,11,35,32,11,25,12,36,40,8,42,80,12,29,41,39,35,21,34,50,31,9,9,18,74,30,66,13,2,16,44,44,49,38,6,16,22,11,41
3,1,38,0,22,37,14,28,15,12,3,4,15,13,22,18,10,10,10,38,9,4,45,24,21,13,16,4,23,1,47,18,15,26,15,36,7,7,24,39,17,20,24,20,25,24,36,2,8,19,13,19,26,20,20,24,2,25,3,44,22,26,9,21,40,3,36,21,3,4,24,47,22,14,21,4,19,17,4,38,13,24,3,44,36,32,4,3,17,35,38,7,16,23,27,20,23,53,5,23,12,23,26,13,10,24,30,21,12,20,23,20,3,24,45,28,47,24,27,16,22,26,4,41,38,25,23,2,9,44,12,20,22,22,13,62,38,21,20,58,8,25,25,16,10,9,8,46,35,20,26,17,23,16,30,10,18,41,34,14,51,44,50,3,24,22,18,16,14,37,16,12,36,68,23,22,32,28,27,21,25,24,32,8,24,23,28,20,19,35,61,24,27,13,24,20,3,26,13,10,47,24,17,46,24,49,3,8,37,2,44,45,26,25,31,7,25,10,26,19,37,46,24,64,8,28,42,38,23,4,10,20,30,33,23,20,28,6
4,24,16,22,0,30,26,25,8,19,26,28,8,18,13,24,14,13,14,15,26,27,21,29,15,20,41,27,27,22,39,12,8,32,8,16,30,17,27,16,24,26,28,5,32,31,16,23,28,5,11,32,5,14,26,28,22,6,25,64,1,30,18,12,22,20,16,14,26,21,30,25,1,8,13,26,41,24,28,17,27,3,24,20,15,24,26,24,23,15,15,22,7,27,30,25,2,46,27,28,11,2,32,29,13,29,52,10,11,13,1,10,25,26,25,22,25,30,21,7,28,16,26,62,15,12,28,24,19,22,10,13,14,13,28,56,14,15,14,34,25,21,31,27,14,19,26,67,32,9,32,22,18,28,20,14,4,17,18,20,30,22,26,25,30,30,23,8,10,20,17,10,14,46,26,14,22,11,5,14,36,1,28,27,43,15,5,13,42,30,43,28,6,10,1,10,26,31,18,14,28,32,16,24,29,26,20,26,16,25,66,22,30,29,26,17,7,19,37,25,15,24,30,58,16,50,21,14,14,27,28,32,24,20,30,8,6,24
5,37,47,37,30,0,22,54,40,49,37,36,31,49,42,54,43,38,46,46,43,36,39,61,16,52,50,40,58,35,36,20,34,61,38,47,34,42,58,36,56,55,60,37,64,58,46,40,28,30,33,55,30,17,54,59,40,24,33,68,31,62,46,40,53,38,47,17,37,40,59,44,32,37,18,38,54,53,39,46,52,28,36,38,47,25,39,38,54,44,48,44,33,58,60,57,29,52,38,59,36,31,59,49,45,58,36,42,33,19,31,20,38,56,42,54,44,61,10,30,60,48,36,66,46,44,58,38,45,44,35,46,16,18,52,27,47,47,17,53,30,10,60,21,45,43,29,67,1,22,62,52,14,22,50,42,28,43,50,49,49,44,45,36,60,58,54,35,35,51,22,42,47,66,60,43,54,23,32,17,19,30,6,45,24,18,30,19,49,1,56,61,37,40,31,20,36,62,49,44,46,61,20,43,59,56,38,44,38,36,65,42,62,60,6,45,24,44,19,57,37,41,58,28,38,36,39,46,45,37,44,55,26,52,62,23,36,44
6,14,44,14,26,22,0,32,19,26,16,16,19,26,24,32,23,17,22,42,23,17,49,39,15,28,26,18,34,15,45,14,20,38,18,39,11,22,36,44,32,34,35,22,38,38,41,17,7,23,16,35,30,17,33,38,16,28,12,46,26,38,23,26,42,18,42,26,16,18,38,50,27,19,24,16,33,33,17,43,28,27,16,46,42,33,16,16,32,41,41,21,20,38,40,35,27,62,14,35,16,26,38,29,22,38,26,25,16,17,27,25,14,37,52,32,53,40,18,20,36,31,17,46,39,27,36,16,23,48,17,24,16,26,28,47,38,25,17,59,7,16,39,2,22,24,8,43,23,24,38,32,16,1,33,22,22,44,38,29,53,48,52,13,37,38,34,19,16,39,10,19,39,71,35,24,36,30,30,15,11,28,20,22,16,25,31,17,28,23,64,38,28,16,26,25,14,40,26,22,54,40,11,52,39,53,17,23,41,14,44,48,40,37,17,22,28,23,12,32,41,50,38,51,18,26,46,39,25,15,23,33,36,38,38,23,32,21
7,27,10,28,25,54,32,0,17,24,31,32,25,23,12,23,18,18,18,10,31,32,22,29,41,24,44,32,15,29,64,38,20,24,19,10,34,22,6,26,23,25,6,20,20,16,10,28,33,26,21,37,25,38,20,26,27,30,30,71,25,16,24,14,12,27,10,38,30,26,28,22,24,19,38,33,48,25,33,12,35,28,30,18,10,47,31,31,17,10,10,25,21,16,20,19,28,70,32,18,18,24,17,33,19,5,58,14,22,38,24,36,31,6,29,4,32,26,46,24,18,10,32,72,10,12,20,29,24,17,23,11,38,39,33,86,10,10,39,30,30,44,15,36,20,24,32,76,54,34,18,29,44,34,4,19,26,12,8,23,23,16,23,30,10,24,22,20,21,8,36,16,10,40,6,11,4,35,25,40,42,25,51,32,47,41,26,36,45,55,61,26,20,18,26,34,30,21,18,18,21,25,37,20,16,21,26,33,17,29,73,23,18,29,48,24,32,25,43,22,19,19,9,80,21,56,23,11,11,33,32,37,48,6,6,34,19,29
8,15,24,15,8,40,19,17,0,11,16,18,8,11,7,16,5,5,6,23,19,18,28,22,23,12,32,18,20,15,51,20,4,24,3,22,22,9,19,26,15,18,20,4,22,21,21,15,20,10,6,24,14,22,17,22,12,14,16,60,9,23,10,8,25,13,21,22,18,13,21,35,9,4,22,19,34,15,19,26,20,11,17,27,22,32,19,16,15,21,23,13,6,21,23,18,10,52,20,19,3,8,22,19,6,23,44,6,6,22,9,18,17,19,33,15,32,24,30,8,20,12,18,55,23,9,19,17,11,31,6,6,22,22,19,68,22,8,23,42,16,29,23,19,6,10,17,59,38,16,22,16,26,20,14,6,10,26,20,12,38,32,33,17,22,20,15,4,4,21,18,3,22,53,19,8,16,19,12,23,28,9,37,20,35,24,14,20,35,40,52,22,12,2,9,18,18,23,10,6,35,23,20,32,22,32,12,18,23,18,60,30,24,22,32,10,15,11,31,15,22,33,22,69,8,45,28,22,8,19,19,24,30,18,21,17,13,16
9,13,35,12,19,49,26,24,11,0,12,11,19,1,16,6,6,11,6,31,8,12,38,12,34,1,22,10,10,13,59,30,14,13,14,33,16,6,19,34,4,7,18,14,12,11,32,11,20,19,15,14,23,32,7,11,12,23,16,48,19,12,4,17,34,10,32,33,12,9,11,45,19,14,30,12,22,5,12,34,10,21,12,38,32,42,11,12,8,32,32,6,16,10,14,7,20,64,13,9,12,18,12,10,6,19,32,16,16,31,19,29,13,18,45,24,45,12,39,18,9,23,12,49,34,20,9,13,4,41,16,15,33,32,10,73,31,18,34,54,20,41,12,28,5,4,19,48,50,27,14,5,37,27,25,6,21,35,30,2,50,42,45,16,13,10,6,14,15,30,29,9,33,67,19,18,28,28,23,35,37,19,44,10,35,34,23,32,23,50,57,10,22,12,19,27,14,13,7,6,45,12,32,43,11,43,10,8,32,15,45,43,12,11,44,7,26,4,40,6,34,44,16,75,9,33,38,33,18,12,10,14,42,28,19,26,23,7
10,2,39,3,26,37,16,31,16,12,0,2,17,12,22,18,12,12,12,38,7,2,44,23,22,13,15,3,21,3,47,19,18,24,18,38,5,9,26,39,16,18,25,22,24,22,38,2,9,20,16,18,31,22,20,22,4,28,4,44,25,23,8,24,44,4,38,24,1,4,23,49,26,18,24,2,16,17,2,41,12,24,1,47,40,33,2,1,16,40,38,6,18,21,26,19,24,58,3,21,15,23,23,13,12,25,26,24,16,20,25,22,2,26,48,32,52,23,28,18,22,30,2,42,41,25,21,1,8,49,16,23,22,24,12,64,39,25,21,61,8,28,24,16,12,8,8,42,36,23,25,16,24,15,30,13,20,41,36,13,54,47,50,4,24,22,18,18,16,40,17,15,38,68,24,24,32,30,30,20,26,25,33,6,25,24,31,20,16,39,68,22,28,15,26,23,2,24,13,12,53,24,18,47,24,49,5,8,42,3,42,49,26,23,32,7,28,8,26,18,40,49,22,66,10,27,47,37,25,2,10,20,34,35,24,21,31,6
