Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,0,8,1,10,7,7,10,1,1,7,6,12,5,8,1,1,6,12,1,3,8,12,5,5,1,10,9,5,11,2,11,5,6,8,8,12,8,6,7,10,11,3,12,10,4,8,10,6,3,6,7,4,2,4,10,13,8,11,10,3,4,17,4
2,8,0,9,3,5,2,8,8,8,10,5,20,12,16,9,8,11,20,8,5,15,16,12,12,9,17,1,11,19,9,3,12,14,15,7,20,16,13,2,3,4,10,19,13,4,1,3,8,11,2,10,7,7,10,18,5,15,19,18,5,4,8,6
3,1,9,0,11,8,8,10,1,1,8,6,11,5,7,1,2,5,12,1,4,8,12,4,5,1,9,10,5,10,1,12,4,5,7,8,11,7,4,7,11,12,2,12,10,5,9,11,6,2,7,7,4,3,3,10,13,7,11,9,4,5,17,5
4,10,3,11,0,3,4,10,11,10,8,5,22,14,18,11,10,13,21,10,7,17,19,15,13,11,20,2,13,22,11,1,16,15,17,10,23,17,16,4,2,2,13,22,15,6,3,1,10,13,4,8,10,9,13,19,3,18,21,20,7,6,6,6
5,7,5,8,3,0,5,12,8,7,5,2,18,12,14,8,7,10,18,7,4,14,16,11,10,8,16,5,11,18,8,4,12,12,14,10,19,14,12,5,4,4,10,18,13,4,5,4,8,10,6,5,6,6,10,17,6,14,18,17,4,3,9,3
6,7,2,8,4,5,0,8,8,7,10,4,18,11,14,8,6,10,17,7,4,14,15,11,10,7,17,3,10,18,8,4,11,12,14,6,18,14,12,1,4,5,8,18,13,3,2,4,6,10,1,9,6,6,9,16,6,14,17,17,4,3,10,6
7,10,8,10,10,12,8,0,10,10,17,11,12,10,11,10,10,5,22,10,9,7,8,6,6,10,14,10,6,11,10,11,10,11,10,3,12,10,7,8,11,12,12,22,20,9,8,11,5,11,7,17,14,12,7,9,13,10,11,10,9,10,16,13
8,1,8,1,11,8,8,10,0,1,7,6,11,4,7,1,2,6,12,1,4,8,12,5,5,1,9,10,5,11,1,11,4,5,7,8,12,7,5,8,11,12,2,12,11,5,9,12,6,2,7,7,4,2,3,10,13,7,10,9,4,5,17,5
9,1,8,1,10,7,7,10,1,0,7,5,12,6,8,1,1,6,12,1,3,8,12,5,5,1,10,9,5,12,2,11,6,6,8,8,12,8,6,6,10,12,3,12,10,4,8,10,6,3,6,7,4,2,3,10,13,8,10,10,4,4,17,4
10,7,10,8,8,5,10,17,7,7,0,6,15,8,10,7,7,12,14,7,8,15,19,12,12,7,12,10,12,17,8,9,8,8,10,14,17,10,10,10,9,10,6,14,8,8,10,9,12,6,10,1,4,5,10,16,11,10,18,16,8,8,14,5
