ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
132,5,132,27,108327,133
133,17,134,16,86644,135
134,70,136,2,113147,137
135,51,138,8,108748,139
136,30,140,22,106788,141
137,6,142,8,113665,143
138,11,144,12,17174,145
139,11,146,5,86823,147
140,16,136,2,113147,148
141,17,149,24,86859,150
142,51,151,3,1281,152
143,50,134,17,86644,153
144,18,154,8,114384,155
145,27,142,9,113665,156
146,12,157,4,20202,158
147,100,159,13,108867,160
148,1,161,6,16415,162
149,20,144,12,17174,163
150,8,138,5,108748,164
151,5,165,6,93095,166
152,2,165,6,93095,167
153,8,168,5,915,169
154,10,132,27,108327,170
155,10,149,23,86859,171
156,3,172,4,109308,173
157,1,174,5,94188,175
158,35,176,23,86569,177
159,8,178,11,23198,179
160,1,161,6,16415,180
161,1,174,5,94188,181
162,5,182,7,16967,183
163,38,134,17,86644,184
164,1,174,6,94188,185
165,1,186,8,101304,187
166,9,165,8,93095,188
167,33,157,4,20202,189
168,18,144,12,17174,190
169,26,136,2,113147,191
170,8,178,9,23198,192
171,71,157,5,20202,193
172,4,194,5,20205,195
173,24,157,4,20202,196
174,38,197,9,110531,198
175,14,199,8,16400,200
176,8,197,7,110531,201
177,7,142,7,113665,202
178,4,182,7,16967,203
179,14,157,6,20202,204
180,56,136,2,113147,205
181,10,157,4,20202,206
182,9,207,14,112923,208
183,1,209,20,113967,210
184,14,211,23,103925,212
185,8,213,11,113066,214
186,12,215,5,9596,216
187,14,217,4,1102,218
188,6,157,6,20202,219
189,74,136,2,113147,220
190,21,221,11,86816,222
191,25,223,23,100595,224
192,5,157,4,20202,225
193,27,149,24,86859,226
194,100,227,6,93095,165
195,9,228,12,114512,229
196,9,230,9,105169,231
197,5,197,7,110531,232
198,45,233,9,16530,234
199,24,144,13,17174,235
200,16,157,5,20202,236
201,1,161,6,16415,237
202,3,165,6,93095,238
203,100,157,3,20202,239
204,55,240,25,110608,241
205,1,242,20,696,243
206,3,244,6,113877,245
207,3,207,14,112923,246
208,7,247,4,96759,248
209,25,134,16,86644,249
210,5,250,7,113490,251
211,1,186,7,101304,252
212,1,211,23,103925,253
213,31,157,6,20202,254
214,39,157,4,20202,255
215,24,250,10,113490,256
216,13,157,4,20202,257
217,54,258,30,5573,259
218,2,186,9,101304,260
219,4,157,5,20202,261
220,21,149,24,86859,262
221,1,186,8,101304,263
222,1,228,12,114512,264
223,2,165,6,93095,265
224,8,144,12,17174,266
225,12,178,10,23198,267
226,19,157,4,20202,268
227,1,230,8,105169,269
228,53,270,6,110866,271
229,30,136,2,113147,272
230,5,230,9,105169,273
231,46,176,24,86569,274
232,31,223,23,100595,275
233,12,276,11,100833,277
234,1,211,22,103925,278
235,32,149,25,86859,279
236,64,144,15,17174,280
237,28,281,19,111220,282
238,26,144,13,17174,283
239,10,178,11,23198,284
240,19,136,2,113147,285
241,44,136,2,113147,286
242,85,136,2,113147,287
243,1,174,5,94188,288
244,7,142,8,113665,289
245,1,290,21,88674,291
246,22,144,14,17174,292
247,11,157,4,20202,293
248,1,294,12,22710,295
249,28,223,23,100595,296
250,19,157,5,20202,297
251,77,258,30,5573,298
252,25,178,12,23198,299
253,1,174,5,94188,300
254,10,144,10,17174,301
255,4,186,9,101304,302
256,10,144,11,17174,303
257,18,136,2,113147,304
258,1,305,22,9842,306
259,10,182,8,16967,307
260,2,165,7,93095,308
261,5,165,6,93095,309
262,10,194,6,20205,310
263,37,157,4,20202,311
264,76,312,8,689,313
265,26,294,17,22710,314
266,12,315,7,102395,316
267,32,142,9,113665,317
268,4,318,5,14959,319
269,33,149,25,86859,320
270,7,244,7,113877,196
271,1,161,7,16415,321
272,18,322,6,113121,323
273,11,132,27,108327,324
274,19,207,16,112923,325
275,8,326,7,16547,327
276,1,211,23,103925,328
277,9,157,4,20202,329
278,8,330,19,112077,331
279,38,330,22,112077,332
280,1,140,19,106788,333
281,1,211,23,103925,334
