Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0,9,13,8,18,4,16,11,12,12,12,1,12,12,7,1,13,5,8,8,12,11,16,10,12,16,8,3,16,13,1,16,12,12,9,10,3,13,9,10,2,10,7
2,9,0,20,17,24,12,24,19,19,17,22,9,20,20,16,8,20,13,16,16,18,21,25,17,21,24,1,11,24,21,8,23,20,20,1,19,10,16,15,18,10,18,16
3,13,20,0,5,5,9,4,2,1,6,2,13,4,1,6,12,2,8,5,5,2,1,5,3,2,4,21,10,10,2,14,3,2,2,21,6,11,6,6,3,12,3,6
4,8,17,5,0,9,5,9,3,4,6,5,8,4,5,4,8,5,5,1,1,4,4,10,2,4,9,16,6,11,5,8,8,5,4,18,6,6,7,3,2,7,2,4
5,18,24,5,9,0,13,3,6,6,9,5,17,6,5,10,17,5,13,10,10,6,6,1,8,5,3,25,14,8,4,18,5,4,5,26,8,15,9,10,7,16,8,10
6,4,12,9,5,13,0,13,8,9,12,10,4,8,9,3,4,9,2,6,6,8,8,13,6,9,13,12,2,15,10,4,12,10,10,12,7,2,12,8,6,3,6,4
7,16,24,4,9,3,13,0,6,5,8,4,17,6,4,10,17,4,12,9,9,6,5,3,7,4,1,24,14,11,4,17,2,4,4,26,6,15,8,10,7,15,7,10
8,11,19,2,3,6,8,6,0,1,5,2,11,5,2,5,11,2,7,4,4,1,1,6,3,2,6,19,9,10,3,12,5,2,2,20,7,10,6,4,3,10,2,5
9,12,19,1,4,6,9,5,1,0,7,2,12,4,1,5,12,2,7,4,4,1,1,6,2,1,5,19,9,10,2,12,4,2,2,21,6,10,7,5,2,11,2,5
10,12,17,6,6,9,12,8,5,7,0,5,13,10,6,10,12,5,11,6,5,6,6,9,8,7,8,17,12,6,8,12,9,5,5,18,12,9,1,4,9,11,8,10
11,12,22,2,5,5,10,4,2,2,5,0,12,6,2,7,13,1,8,6,5,2,2,4,4,3,4,22,10,9,3,13,4,1,1,22,8,11,5,6,4,12,4,6
12,1,9,13,8,17,4,17,11,12,13,12,0,11,13,6,1,12,5,8,8,12,12,16,10,12,16,8,3,15,13,1,15,13,13,9,10,3,12,9,10,2,10,7
13,12,20,4,4,6,8,6,5,4,10,6,11,0,4,5,12,6,7,4,5,4,4,6,2,3,6,20,9,14,2,11,4,5,6,20,3,9,10,6,2,11,2,5
14,12,20,1,5,5,9,4,2,1,6,2,13,4,0,6,12,2,8,5,5,2,1,5,3,2,4,21,10,10,2,12,3,2,2,22,6,11,6,6,3,11,3,6
15,7,16,6,4,10,3,10,5,5,10,7,6,5,6,0,7,6,2,4,4,5,6,11,3,6,10,15,4,14,6,7,9,7,6,16,4,5,10,6,4,6,3,1
16,1,8,12,8,17,4,17,11,12,12,13,1,12,12,7,0,13,5,8,8,12,12,18,10,12,16,9,3,17,13,1,16,13,12,9,10,3,12,8,10,2,10,7
17,13,20,2,5,5,9,4,2,2,5,1,12,6,2,6,13,0,8,5,5,2,2,5,4,3,4,20,10,9,4,12,4,1,1,21,8,11,5,6,4,12,4,6
18,5,13,8,5,13,2,12,7,7,11,8,5,7,8,2,5,8,0,6,6,7,8,12,5,8,12,12,3,15,9,5,10,8,8,14,6,3,12,8,5,4,5,2
19,8,16,5,1,10,6,9,4,4,6,6,8,4,5,4,8,5,6,0,1,4,4,10,3,5,9,16,6,10,6,8,8,6,5,17,7,6,6,2,3,7,2,5
20,8,16,5,1,10,6,9,4,4,5,5,8,5,5,4,8,5,6,1,0,4,4,10,4,5,9,16,7,9,6,8,8,6,5,17,7,6,6,2,4,6,3,5
21,12,18,2,4,6,8,6,1,1,6,2,12,4,2,5,12,2,7,4,4,0,1,6,3,2,6,18,9,9,3,12,5,2,2,20,7,9,6,4,3,10,3,5
22,11,21,1,4,6,8,5,1,1,6,2,12,4,1,6,12,2,8,4,4,1,0,6,2,1,5,20,10,10,2,12,4,2,2,20,6,10,7,5,2,10,2,5
23,16,25,5,10,1,13,3,6,6,9,4,16,6,5,11,18,5,12,10,10,6,6,0,8,5,3,26,14,8,4,17,5,4,5,26,8,15,8,10,8,16,8,10
24,10,17,3,2,8,6,7,3,2,8,4,10,2,3,3,10,4,5,3,4,3,2,8,0,3,7,17,7,12,4,10,6,4,4,18,4,8,9,5,1,9,1,3
25,12,21,2,4,5,9,4,2,1,7,3,12,3,2,6,12,3,8,5,5,2,1,5,3,0,4,21,10,11,1,12,4,3,3,21,5,11,8,5,3,12,3,6
26,16,24,4,9,3,13,1,6,5,8,4,16,6,4,10,16,4,12,9,9,6,5,3,7,4,0,23,14,11,4,16,2,4,4,26,6,14,8,10,7,15,7,9
27,8,1,21,16,25,12,24,19,19,17,22,8,20,21,15,9,20,12,16,16,18,20,26,17,21,23,0,11,22,20,8,23,22,20,1,19,10,17,16,19,10,18,15
28,3,11,10,6,14,2,14,9,9,12,10,3,9,10,4,3,10,3,6,7,9,10,14,7,10,14,11,0,15,11,3,13,11,10,12,8,2,12,8,8,2,7,5
29,16,24,10,11,8,15,11,10,10,6,9,15,14,10,14,17,9,15,10,9,9,10,8,12,11,11,22,15,0,12,16,12,9,9,25,16,14,7,8,13,15,12,15
30,13,21,2,5,4,10,4,3,2,8,3,13,2,2,6,13,4,9,6,6,3,2,4,4,1,4,20,11,12,0,13,3,3,4,21,4,12,8,6,3,12,4,6
31,1,8,14,8,18,4,17,12,12,12,13,1,11,12,7,1,12,5,8,8,12,12,17,10,12,16,8,3,16,13,0,15,13,12,9,11,3,13,9,10,2,10,7
32,16,23,3,8,5,12,2,5,4,9,4,15,4,3,9,16,4,10,8,8,5,4,5,6,4,2,23,13,12,3,15,0,4,4,23,6,13,9,8,6,14,6,9
33,12,20,2,5,4,10,4,2,2,5,1,13,5,2,7,13,1,8,6,6,2,2,4,4,3,4,22,11,9,3,13,4,0,1,22,8,12,6,6,4,12,4,6
34,12,20,2,4,5,10,4,2,2,5,1,13,6,2,6,12,1,8,5,5,2,2,5,4,3,4,20,10,9,4,12,4,1,0,22,8,11,5,6,4,12,4,6
35,9,1,21,18,26,12,26,20,21,18,22,9,20,22,16,9,21,14,17,17,20,20,26,18,21,26,1,12,25,21,9,23,22,22,0,20,11,17,17,20,10,19,16
36,10,19,6,6,8,7,6,7,6,12,8,10,3,6,4,10,8,6,7,7,7,6,8,4,5,6,19,8,16,4,11,6,8,8,20,0,9,13,9,4,9,4,4
37,3,10,11,6,15,2,15,10,10,9,11,3,9,11,5,3,11,3,6,6,9,10,15,8,11,14,10,2,14,12,3,13,12,11,11,9,0,10,6,9,2,8,6
38,13,16,6,7,9,12,8,6,7,1,5,12,10,6,10,12,5,12,6,6,6,7,8,9,8,8,17,12,7,8,13,9,6,5,17,13,10,0,4,9,11,8,10
39,9,15,6,3,10,8,10,4,5,4,6,9,6,6,6,8,6,8,2,2,4,5,10,5,5,10,16,8,8,6,9,8,6,6,17,9,6,4,0,5,8,4,6
40,10,18,3,2,7,6,7,3,2,9,4,10,2,3,4,10,4,5,3,4,3,2,8,1,3,7,19,8,13,3,10,6,4,4,20,4,9,9,5,0,9,1,3
41,2,10,12,7,16,3,15,10,11,11,12,2,11,11,6,2,12,4,7,6,10,10,16,9,12,15,10,2,15,12,2,14,12,12,10,9,2,11,8,9,0,8,6
42,10,18,3,2,8,6,7,2,2,8,4,10,2,3,3,10,4,5,2,3,3,2,8,1,3,7,18,7,12,4,10,6,4,4,19,4,8,8,4,1,8,0,3
43,7,16,6,4,10,4,10,5,5,10,6,7,5,6,1,7,6,2,5,5,5,5,10,3,6,9,15,5,15,6,7,9,6,6,16,4,6,10,6,3,6,3,0
