ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
148,100,148,10,2735,149
149,28,150,7,41918,151
150,17,152,5,94071,153
151,100,150,7,41918,154
152,19,155,14,100602,156
153,18,150,7,41918,157
154,12,158,6,103030,159
155,36,160,15,44378,161
156,10,162,14,19221,163
157,100,164,21,5213,165
158,1,166,1,15493,167
159,100,168,25,5403,169
160,23,170,5,70051,171
161,30,172,13,119508,173
162,24,174,14,41938,175
163,50,155,16,100602,176
164,7,162,12,19221,177
165,18,162,15,19221,178
166,34,150,7,41918,179
167,34,180,5,96329,181
168,53,182,8,96241,183
169,40,150,7,41918,184
170,30,162,15,19221,185
171,25,160,13,44378,186
172,57,148,6,2735,187
173,42,188,5,67919,189
174,29,150,7,41918,190
175,33,191,5,88554,192
176,20,193,5,51183,194
177,26,195,5,68861,196
178,89,197,5,98431,198
179,28,199,5,79420,171
180,28,200,8,128720,201
181,39,202,13,51097,203
182,33,204,5,36973,205
183,36,160,15,44378,161
184,52,206,30,83048,207
185,16,208,8,75079,209
186,100,210,25,82295,211
187,49,212,20,5402,213
188,60,214,10,20444,215
189,52,216,5,67271,217
190,57,150,7,41918,218
191,67,219,5,95813,220
192,23,221,9,86406,222
193,20,162,16,19221,223
194,1,224,1,15493,225
195,100,150,7,41918,226
196,24,150,7,41918,227
197,40,228,10,7358,229
198,25,230,5,87519,231
199,31,232,8,64764,233
200,21,150,7,41918,234
201,59,235,8,4574,236
202,16,237,6,1469,238
203,35,239,14,77495,240
204,25,241,6,216,242
205,35,243,6,81282,244
206,21,245,5,39878,246
207,1,247,1,15493,248
208,34,150,7,41918,249
209,36,250,5,121005,251
210,42,150,7,41918,252
211,51,168,25,5403,253
212,18,254,8,17218,255
213,15,256,9,5685,257
214,11,162,14,19221,258
215,97,206,30,83048,259
216,52,150,7,41918,260
217,76,212,20,5402,261
218,24,262,13,125966,263
219,1,264,1,15493,265
220,40,155,14,100602,266
221,20,267,13,129864,268
222,19,269,10,4827,270
223,53,150,7,41918,271
224,19,150,7,41918,272
225,43,241,7,216,273
226,45,274,6,97392,275
227,15,162,14,19221,276
228,1,277,1,45913,278
229,46,237,7,1469,279
230,56,280,5,15364,281
231,35,282,12,409,283
232,100,150,7,41918,226
233,42,284,6,41170,285
234,43,286,6,34355,287
235,52,288,13,5400,289
236,1,290,1,15493,291
237,16,292,5,77085,293
238,8,294,6,65389,295
239,14,296,5,85155,297
240,1,298,1,15493,299
241,45,300,15,80620,301
242,84,168,25,5403,302
243,70,303,11,84962,304
244,33,202,13,51097,305
245,49,150,7,41918,306
246,53,307,8,1480,308
247,22,182,7,96241,309
248,19,310,17,18587,311
249,18,162,11,19221,312
250,22,150,7,41918,313
251,35,314,8,1447,315
252,39,316,8,115758,317
253,13,150,7,41918,318
254,9,162,11,19221,319
255,26,320,5,20210,321
256,21,322,5,41172,323
257,10,162,14,19221,324
258,66,325,7,106150,326
259,26,155,13,100602,327
260,1,328,1,15493,329
261,38,330,10,17339,331
262,21,332,9,110264,333
263,100,334,20,77767,335
264,25,150,7,41918,336
265,10,162,13,19221,337
266,46,168,25,5403,338
267,58,160,17,44378,339
268,9,162,15,19221,340
269,1,341,5,103594,342
270,17,314,13,73870,343
271,63,241,12,122253,344
272,39,310,21,18587,345
273,7,162,14,19221,346
274,52,330,9,6424,347
275,42,168,25,5403,348
276,56,219,5,95813,349
277,23,350,5,44670,351
278,15,162,14,19221,352
279,20,162,15,19221,279
280,23,254,7,111557,353
281,33,354,5,39769,355
282,9,162,13,19221,356
283,43,357,5,68892,358
284,57,150,15,41918,359
285,7,162,13,19221,360
286,29,150,7,41918,361
287,10,162,15,19221,362
288,20,310,18,18587,363
289,38,267,14,129864,364
290,7,162,14,19221,365
291,5,366,15,128784,367
292,20,310,18,18587,368
293,41,369,11,51556,370
294,29,371,13,125595,372
295,51,300,16,80620,181
296,58,369,12,51556,373
297,10,162,14,19221,374
298,70,375,16,75109,376
299,18,377,15,31585,378
300,42,303,10,84962,379
301,81,380,9,52129,381
302,1,382,1,15493,383
