Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0,34,11,23,9,12,23,35,1,1,4,46,1,8,3,5,36
2,34,0,43,34,41,41,33,22,35,36,42,11,37,40,38,41,48
3,11,43,0,25,1,2,25,40,11,10,6,50,10,3,8,6,28
4,23,34,25,0,24,24,1,15,24,22,23,44,22,24,21,22,14
5,9,41,1,24,0,3,25,38,9,10,6,47,9,2,7,6,28
6,12,41,2,24,3,0,24,40,12,11,8,48,12,4,10,8,26
7,23,33,25,1,25,24,0,14,24,24,22,45,23,25,21,23,15
8,35,22,40,15,38,40,14,0,34,32,38,32,32,38,36,38,24
9,1,35,11,24,9,12,24,34,0,1,4,46,1,8,3,4,38
10,1,36,10,22,10,11,24,32,1,0,4,42,1,8,2,4,37
11,4,42,6,23,6,8,22,38,4,4,0,48,4,4,2,1,33
12,46,11,50,44,47,48,45,32,46,42,48,0,42,48,46,49,56
13,1,37,10,22,9,12,23,32,1,1,4,42,0,8,2,5,36
14,8,40,3,24,2,4,25,38,8,8,4,48,8,0,6,4,30
15,3,38,8,21,7,10,21,36,3,2,2,46,2,6,0,3,34
16,5,41,6,22,6,8,23,38,4,4,1,49,5,4,3,0,34
17,36,48,28,14,28,26,15,24,38,37,33,56,36,30,34,34,0
