Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,0,7,7,21,27,15,20,12,26,1,15,16,3,10,16,34,2,15,27,4,23,7,19,2,28,14,32,16,4,7,26,7,31,6,21,16,23,18,15,13,20,14,19,14,22
2,7,0,1,26,19,11,19,8,32,8,12,11,4,16,11,25,6,11,34,4,29,1,16,8,35,9,26,11,3,1,20,12,38,2,26,12,20,18,11,8,24,10,12,9,17
3,7,1,0,26,19,12,18,8,34,8,12,11,4,17,11,26,6,12,32,4,30,1,15,8,35,9,25,11,3,1,19,12,36,2,26,11,19,16,11,8,25,10,12,10,17
4,21,26,26,0,36,37,40,33,35,20,36,36,24,14,35,38,19,35,37,22,18,26,41,20,26,35,35,35,25,24,34,14,25,25,1,37,44,38,36,33,15,35,29,34,44
5,27,19,19,36,0,14,38,16,50,26,16,27,23,34,16,8,24,12,50,21,46,19,32,26,53,16,8,16,22,20,1,28,54,20,35,14,20,34,14,18,42,16,8,12,15
6,15,11,12,37,14,0,24,4,40,16,3,14,14,23,3,19,17,2,39,13,36,11,18,16,40,3,20,3,13,12,14,23,44,12,37,1,9,23,2,5,35,2,6,2,6
7,20,19,18,40,38,24,0,23,16,20,22,10,18,27,22,43,21,25,15,16,36,19,6,20,43,21,42,22,18,19,37,27,37,17,39,23,18,2,24,20,41,23,30,26,22
8,12,8,8,33,16,4,23,0,37,13,4,12,11,21,4,22,14,4,38,10,33,8,16,14,38,2,22,4,10,8,15,20,38,9,35,4,12,20,4,3,32,2,8,4,9
9,26,32,34,35,50,40,16,37,0,27,36,26,30,22,38,58,27,40,4,32,32,34,20,26,38,36,59,38,32,34,54,25,32,32,35,39,33,17,39,34,32,38,44,40,38
10,1,8,8,20,26,16,20,13,27,0,16,16,4,9,17,33,2,17,26,5,22,8,22,1,29,15,33,16,5,8,28,7,28,6,20,16,25,19,17,13,18,15,20,16,22
11,15,12,12,36,16,3,22,4,36,16,0,11,13,24,1,22,18,4,35,13,33,12,16,17,39,2,22,1,13,12,16,22,41,12,38,2,8,21,2,4,35,2,8,4,6
12,16,11,11,36,27,14,10,12,26,16,11,0,14,22,11,35,18,15,24,13,32,11,6,16,37,11,34,12,12,11,28,24,32,12,35,13,9,10,13,9,36,12,18,16,12
13,3,4,4,24,23,14,18,11,30,4,13,14,0,13,14,28,4,15,30,1,24,4,18,4,30,12,29,13,1,4,23,9,32,2,22,14,21,16,14,11,23,12,16,12,20
14,10,16,17,14,34,23,27,21,22,9,24,22,13,0,24,44,11,24,24,14,13,17,28,9,20,22,40,23,15,17,34,8,19,15,14,23,31,27,22,21,13,22,29,24,28
15,16,11,11,35,16,3,22,4,38,17,1,11,14,24,0,22,18,4,38,14,32,12,16,17,40,2,23,1,13,11,16,24,40,13,36,2,8,20,2,4,36,2,9,4,6
16,34,25,26,38,8,19,43,22,58,33,22,35,28,44,22,0,31,19,60,30,53,26,40,34,64,23,1,23,29,26,7,35,60,28,34,20,26,42,20,24,50,22,14,18,22
17,2,6,6,19,24,17,21,14,27,2,18,18,4,11,18,31,0,18,26,4,23,6,21,3,29,15,30,17,5,6,26,6,30,6,21,17,25,20,17,14,19,16,16,15,23
18,15,11,12,35,12,2,25,4,40,17,4,15,15,24,4,19,18,0,40,14,36,12,20,18,44,5,18,4,13,11,12,22,43,12,36,2,9,23,3,6,35,4,7,3,6
19,27,34,32,37,50,39,15,38,4,26,35,24,30,24,38,60,26,40,0,31,34,32,21,25,39,34,60,38,31,33,53,24,35,32,37,38,34,17,36,36,36,36,45,39,36
20,4,4,4,22,21,13,16,10,32,5,13,13,1,14,14,30,4,14,31,0,25,3,17,5,33,12,28,12,1,3,22,10,32,2,24,14,21,16,13,10,22,12,15,11,19
21,23,29,30,18,46,36,36,33,32,22,33,32,24,13,32,53,23,36,34,25,0,28,38,21,7,30,52,34,26,29,46,20,8,28,20,33,41,36,32,32,4,32,39,34,38
22,7,1,1,26,19,11,19,8,34,8,12,11,4,17,12,26,6,12,32,3,28,0,16,8,35,10,25,11,3,1,20,12,34,2,27,12,19,16,11,8,24,10,12,9,18
23,19,16,15,41,32,18,6,16,20,22,16,6,18,28,16,40,21,20,21,17,38,16,0,22,42,17,38,16,18,16,31,27,39,16,40,19,13,4,18,15,41,16,25,20,18
24,2,8,8,20,26,16,20,14,26,1,17,16,4,9,17,34,3,18,25,5,21,8,22,0,26,16,33,16,5,8,27,6,28,7,20,18,25,20,17,14,18,16,20,15,24
25,28,35,35,26,53,40,43,38,38,29,39,37,30,20,40,64,29,44,39,33,7,35,42,26,0,39,61,39,32,34,56,25,5,34,27,42,45,41,40,36,11,39,49,44,46
26,14,9,9,35,16,3,21,2,36,15,2,11,12,22,2,23,15,5,34,12,30,10,17,16,39,0,23,2,11,10,17,21,39,10,36,3,10,21,2,2,33,1,9,4,8
27,32,26,25,35,8,20,42,22,59,33,22,34,29,40,23,1,30,18,60,28,52,25,38,33,61,23,0,23,28,27,7,36,61,28,37,21,25,44,22,23,49,23,14,18,22
28,16,11,11,35,16,3,22,4,38,16,1,12,13,23,1,23,17,4,38,12,34,11,16,16,39,2,23,0,13,11,16,22,39,11,36,2,9,20,2,3,36,2,8,4,7
29,4,3,3,25,22,13,18,10,32,5,13,12,1,15,13,29,5,13,31,1,26,3,18,5,32,11,28,13,0,3,22,11,32,2,23,14,21,16,12,10,22,12,14,11,19
30,7,1,1,24,20,12,19,8,34,8,12,11,4,17,11,26,6,11,33,3,29,1,16,8,34,10,27,11,3,0,19,11,35,2,25,12,19,16,11,9,24,10,12,9,18
31,26,20,19,34,1,14,37,15,54,28,16,28,23,34,16,7,26,12,53,22,46,20,31,27,56,17,7,16,22,19,0,28,55,21,35,15,19,36,14,18,44,15,8,12,16
32,7,12,12,14,28,23,27,20,25,7,22,24,9,8,24,35,6,22,24,10,20,12,27,6,25,21,36,22,11,11,28,0,28,11,14,23,32,24,23,19,15,21,20,20,29
33,31,38,36,25,54,44,37,38,32,28,41,32,32,19,40,60,30,43,35,32,8,34,39,28,5,39,61,39,32,35,55,28,0,34,25,41,43,38,40,37,12,39,46,45,40
34,6,2,2,25,20,12,17,9,32,6,12,12,2,15,13,28,6,12,32,2,28,2,16,7,34,10,28,11,2,2,21,11,34,0,26,12,21,15,12,9,25,11,13,10,18
